short_delta_target,wing_delta_width,vix_threshold,entry_date,expiry,actual_dte,short_strike,long_strike,spread_width,short_delta,long_delta,short_mid,short_bid,net_credit_mid,net_credit_worst,credit_pct_of_width,max_loss,vix_on_entry,near_iv,far_iv,sigma_fwd,fwd_vol_factor,exit_date,exit_net_value,exit_type,days_held,net_pnl,net_pnl_worst,pnl_pct,roc,annualized_roc,is_win,is_open,split_flag,missing_exit_data
0.15,0.05,,2018-09-28,2018-10-19,21,125.0,120.0,5.0,-0.2244,-0.0749,0.775,0.7,0.55,0.44999999999999996,0.11000000000000001,445.0,12.12,0.21504443749027222,0.22109520360209706,0.22552676842475178,1.0487449527028745,2018-10-17,0.09999999999999999,early,19,45.00000000000001,35.0,0.8181818181818182,0.10112359550561799,1.9426374926079246,True,False,False,False
0.15,0.05,,2018-11-30,2018-12-21,21,120.0,115.0,5.0,-0.1826,-0.0881,1.125,1.0,0.65,0.44999999999999996,0.13,434.99999999999994,18.07,0.37015401922498203,0.29517379200882987,0.2229635500350218,0.6023534487126644,2018-12-11,0.22499999999999998,early,11,42.50000000000001,22.499999999999996,0.653846153846154,0.09770114942528739,3.241901776384536,True,False,False,False
0.15,0.05,,2018-12-28,2019-01-18,21,120.0,115.0,5.0,-0.2171,-0.0937,1.175,1.1,0.75,0.6000000000000001,0.15,425.0,28.34,0.23575392286066976,0.3798441762208371,0.45913817392741935,1.9475314274993818,2019-01-04,0.35,early,7,40.0,25.00000000000001,0.5333333333333333,0.09411764705882353,4.9075630252100835,True,False,False,False
0.15,0.05,,2019-05-31,2019-06-21,21,120.0,115.0,5.0,-0.2052,-0.1048,1.325,1.2,0.725,0.5,0.145,427.50000000000006,18.71,0.41447989420999864,0.32692069256695544,0.241225634254638,0.5819959849063743,2019-06-06,0.25,early,6,47.5,25.0,0.6551724137931034,0.11111111111111109,6.759259259259259,True,False,False,False
0.15,0.05,,2019-08-30,2019-09-20,21,155.0,150.0,5.0,-0.1747,-0.0971,1.45,1.3,0.75,0.5,0.15,425.0,18.98,0.43368259099808076,0.3208511507448529,0.19772231622634834,0.45591481034852827,2019-09-20,0.0,early,21,75.0,50.0,1.0,0.17647058823529413,3.067226890756303,True,False,False,False
0.15,0.05,,2019-10-25,2019-11-15,21,160.0,155.0,5.0,-0.2211,-0.0949,1.125,1.05,0.7,0.55,0.13999999999999999,430.0,12.65,0.18298909433061145,0.2546271529043241,0.2892144083677312,1.5805007911848536,2019-11-15,-0.025,early,21,72.5,57.50000000000001,1.0357142857142858,0.1686046511627907,2.9305094130675524,True,False,False,False
0.15,0.05,,2019-11-29,2019-12-20,21,160.0,155.0,5.0,-0.1353,-0.0676,0.975,0.9,0.55,0.4,0.11000000000000001,445.0,12.62,0.35277107834741117,0.28663277701136064,0.22459193042355996,0.6366506332539552,2019-12-20,1.11,expiry,21,-56.00000000000001,-71.00000000000001,-1.018181818181818,-0.1258426966292135,-2.1872659176029963,False,False,False,False
0.15,0.05,,2020-04-24,2020-05-15,21,135.0,130.0,5.0,-0.1256,-0.0803,1.275,1.15,0.4999999999999999,0.2499999999999999,0.09999999999999998,450.0,35.93,0.5016002451470561,0.5234922476525992,0.5361985917594714,1.0689759364098235,2020-04-29,0.2,early,5,29.99999999999999,4.999999999999988,0.6,0.06666666666666664,4.8666666666666645,True,False,False,False
0.15,0.05,,2024-02-23,2024-03-15,21,280.0,270.0,10.0,-0.1741,-0.0908,2.125,2.0,1.125,0.8500000000000001,0.1125,887.5,13.75,0.31361450823574666,0.24818775968114445,0.19885428490053542,0.6340723393799593,2024-02-29,0.35,early,6,77.5,50.000000000000014,0.6888888888888889,0.08732394366197183,5.312206572769953,True,False,False,False
0.15,0.05,,2024-08-30,2024-09-20,21,330.0,320.0,10.0,-0.1438,-0.0899,2.375,2.25,0.9750000000000001,0.75,0.0975,902.5,15.0,0.3171060466878694,0.2543159157782093,0.19433692430205912,0.6128452179700845,2024-09-05,0.0,early,6,97.50000000000001,75.0,1.0,0.10803324099722993,6.57202216066482,True,False,False,False
