short_delta_target,wing_delta_width,vix_threshold,entry_date,expiry,actual_dte,short_strike,long_strike,spread_width,short_delta,long_delta,short_mid,short_bid,net_credit_mid,net_credit_worst,credit_pct_of_width,max_loss,vix_on_entry,near_iv,far_iv,sigma_fwd,fwd_vol_factor,exit_date,exit_net_value,exit_type,days_held,net_pnl,net_pnl_worst,pnl_pct,roc,annualized_roc,is_win,is_open,split_flag,missing_exit_data
0.15,0.05,,2024-01-26,2024-02-16,21,27.5,25.0,2.5,-0.179,-0.0842,0.6,0.55,0.35,0.25000000000000006,0.13999999999999999,215.0,13.26,0.8099830498685209,0.6316997330429619,0.4541734926938474,0.5607197493423725,2024-02-16,0.0,early,21,35.0,25.000000000000007,1.0,0.16279069767441862,2.8294573643410854,True,False,False,False
0.15,0.05,,2024-05-31,2024-06-21,21,50.0,47.5,2.5,-0.1711,-0.0934,0.6,0.55,0.3,0.20000000000000007,0.12,220.00000000000003,12.92,0.42107455734760113,0.579976572834004,0.6750367446882988,1.603128787786267,2024-06-12,0.15,early,12,15.0,5.000000000000007,0.5,0.06818181818181818,2.0738636363636362,True,False,False,False
0.15,0.05,,2024-06-28,2024-07-19,21,52.5,50.0,2.5,-0.2145,-0.1199,0.8,0.75,0.4,0.3,0.16,210.0,12.44,0.5126277986801522,0.6159925459487934,0.683331167281348,1.3329967064616879,2024-07-02,0.175,early,4,22.500000000000004,12.5,0.5625000000000001,0.10714285714285716,9.776785714285717,True,False,False,False
0.15,0.05,,2024-07-26,2024-08-16,21,47.0,45.0,2.0,-0.1686,-0.1015,0.65,0.6,0.30000000000000004,0.19999999999999996,0.15000000000000002,170.0,16.39,0.5795259818320774,0.5939116407408729,0.6079569971606529,1.049059086598146,2024-08-13,0.05,early,18,25.000000000000007,14.999999999999996,0.8333333333333335,0.1470588235294118,2.98202614379085,True,False,False,False
0.15,0.05,,2024-08-09,2024-08-30,21,43.0,39.0,4.0,-0.2239,-0.0978,0.95,0.85,0.575,0.39999999999999997,0.14375,342.5,20.37,0.5299595587799699,0.5477713337332983,0.5650218882288124,1.0661603868973704,2024-08-13,0.0,early,4,57.49999999999999,40.0,1.0,0.1678832116788321,15.31934306569343,True,False,False,False
0.15,0.05,,2024-08-16,2024-09-06,21,50.0,44.0,6.0,-0.2012,-0.1011,0.775,0.7,0.050000000000000044,-0.7,0.00833333333333334,595.0,14.8,0.38297473912181723,0.5333668032541916,0.649838936061673,1.6968193190803929,2024-09-06,6.0,expiry,21,-595.0,-670.0,-118.9999999999999,-1.0,-17.38095238095238,False,False,False,False
0.15,0.05,,2024-08-30,2024-09-20,21,45.0,43.0,2.0,-0.1453,-0.0854,0.45,0.4,0.2,0.10000000000000003,0.1,180.0,15.0,0.4788917068659071,0.47113852752223195,0.4632556069025954,0.9673494033428941,2024-09-18,-0.14999999999999997,early,19,35.0,25.0,1.75,0.19444444444444445,3.735380116959065,True,False,False,False
0.15,0.05,,2024-09-06,2024-09-27,21,37.0,35.0,2.0,-0.2286,-0.1392,0.875,0.8,0.4,0.25,0.2,160.0,22.38,0.5929756951365354,0.6981536234954282,0.7894408077727771,1.3313206835416833,2024-09-11,0.024999999999999994,early,5,37.5,22.5,0.9375,0.234375,17.109375,True,False,False,False
0.15,0.05,,2024-09-13,2024-10-04,21,40.0,39.0,1.0,-0.1398,-0.1054,0.45,0.4,0.125,0.0,0.125,87.5,16.56,0.5354206817907688,0.6722975399550284,0.7856797426241013,1.4674064139553138,2024-09-18,-0.9750000000000001,early,5,110.00000000000001,97.50000000000001,8.8,1.2571428571428573,91.77142857142859,True,False,False,False
0.15,0.05,,2024-09-20,2024-10-11,21,43.0,42.0,1.0,-0.1413,-0.1022,0.45,0.4,0.15000000000000002,0.050000000000000044,0.15000000000000002,85.0,16.15,0.4979770794816256,0.6626210938963958,0.7938213000819914,1.594092043168589,2024-10-11,0.0,expiry,21,15.000000000000002,5.000000000000004,1.0,0.17647058823529413,3.067226890756303,True,False,False,False
0.15,0.05,,2024-09-27,2024-10-18,21,45.0,44.0,1.0,-0.1379,-0.109,0.45,0.4,0.10000000000000003,0.0,0.10000000000000003,89.99999999999999,16.96,0.4686158890249774,0.7173661077555361,0.8997929837834839,1.9201077147760233,2024-10-04,0.024999999999999994,early,7,7.5000000000000036,-2.4999999999999996,0.7500000000000001,0.08333333333333338,4.345238095238098,True,False,False,False
0.15,0.05,,2024-10-04,2024-10-25,21,46.0,44.0,2.0,-0.1393,-0.0916,0.6,0.55,0.22499999999999998,0.10000000000000003,0.11249999999999999,177.5,19.21,0.6325453035947083,0.6782109841641331,0.7209900949264437,1.1398236471429164,2024-10-09,0.07499999999999998,early,5,15.0,2.500000000000005,0.6666666666666667,0.08450704225352113,6.169014084507042,True,False,False,False
0.15,0.05,,2024-10-11,2024-11-01,21,55.0,49.0,6.0,-0.1666,-0.0544,0.9,0.8,0.65,0.5,0.10833333333333334,535.0,20.46,0.7075689383358632,0.6197716138281686,0.5172812620969413,0.7310683582486521,2024-11-01,0.20000000000000007,early,21,44.99999999999999,29.999999999999993,0.6923076923076922,0.08411214953271026,1.4619492656875832,True,False,False,False
0.15,0.05,,2024-10-25,2024-11-15,21,62.0,60.0,2.0,-0.1613,-0.1097,0.7,0.65,0.24999999999999994,0.15000000000000002,0.12499999999999997,175.0,20.33,0.535420681790768,0.5253966307912292,0.5151775740502101,0.9621921445528538,2024-11-15,-0.375,early,21,62.5,52.5,2.500000000000001,0.35714285714285715,6.207482993197279,True,False,False,False
0.15,0.05,,2024-11-08,2024-11-29,21,78.0,75.0,3.0,-0.1685,-0.0936,0.825,0.75,0.42499999999999993,0.3,0.14166666666666664,257.5,14.94,0.42572673232636266,0.5211462328719689,0.6016174377924949,1.4131540072782984,2024-11-29,-0.47500000000000003,early,21,89.99999999999999,77.5,2.1176470588235294,0.3495145631067961,6.074895977808598,True,False,False,False
0.15,0.05,,2024-11-15,2024-12-06,21,75.0,71.0,4.0,-0.1928,-0.0973,1.0,0.9,0.55,0.35,0.1375,345.0,16.14,0.5291042211588757,0.5082429139165063,0.48648786443707115,0.9194556478334955,2024-12-06,-0.65,early,21,120.00000000000001,100.0,2.1818181818181817,0.3478260869565218,6.045548654244307,True,False,False,False
0.15,0.05,,2024-11-22,2024-12-13,21,79.0,77.0,2.0,-0.1563,-0.1123,0.9,0.8,0.30000000000000004,0.10000000000000009,0.15000000000000002,170.0,15.24,0.505969869131313,0.5732314906410851,0.6333902235245212,1.2518338781951048,2024-12-13,0.0,early,21,30.000000000000004,10.000000000000009,1.0,0.17647058823529413,3.067226890756303,True,False,False,False
0.15,0.05,,2024-11-29,2024-12-20,21,76.0,73.0,3.0,-0.1597,-0.0981,0.875,0.8,0.375,0.20000000000000007,0.125,262.5,13.51,0.5354206817907691,0.5213192093356528,0.5068255415381198,0.9465931346600024,2024-12-04,-0.2,early,5,57.49999999999999,40.00000000000001,1.5333333333333332,0.21904761904761902,15.990476190476187,True,False,False,False
0.15,0.05,,2024-12-06,2024-12-27,21,88.0,83.0,5.0,-0.2106,-0.0958,1.225,1.1,0.7500000000000001,0.55,0.15000000000000002,425.0,12.77,0.4808184931868699,0.5570101849421103,0.6239665606969622,1.2977174745532465,2024-12-27,0.0,early,21,75.00000000000001,55.00000000000001,1.0,0.17647058823529416,3.067226890756303,True,False,False,False
0.15,0.05,,2024-12-20,2025-01-10,21,85.0,80.0,5.0,-0.1618,-0.1001,1.125,1.05,0.375,-0.050000000000000044,0.075,462.5,18.36,0.5732604133723389,0.7709455381165844,0.9274085097430985,1.6177787408821767,2025-01-10,-0.42499999999999993,early,21,80.0,37.499999999999986,2.1333333333333333,0.17297297297297298,3.0064350064350065,True,False,False,False
0.15,0.05,,2024-12-27,2025-01-17,21,82.5,80.0,2.5,-0.132,-0.0915,0.85,0.8,0.29999999999999993,0.20000000000000007,0.11999999999999997,220.00000000000003,15.95,0.5845806633974693,0.7403798368532551,0.8686714301849003,1.485973595391183,2025-01-03,0.125,early,7,17.499999999999993,7.500000000000007,0.5833333333333333,0.0795454545454545,4.147727272727271,True,False,False,False
0.15,0.05,,2025-01-10,2025-01-31,21,87.0,85.0,2.0,-0.1522,-0.1013,1.625,1.5,0.7,0.050000000000000044,0.35,130.0,19.54,0.8153742463520367,0.7240717098612234,0.6194550188904433,0.7597186465747098,2025-01-14,0.3250000000000002,early,4,37.49999999999998,-27.500000000000014,0.5357142857142854,0.2884615384615383,26.322115384615373,True,False,False,False
0.15,0.05,,2025-01-17,2025-02-07,21,95.0,90.0,5.0,-0.1486,-0.0943,1.725,1.65,0.7250000000000001,0.5499999999999998,0.14500000000000002,427.50000000000006,15.97,0.8229928105775228,0.7467504138235648,0.6617818332570335,0.8041161778711506,2025-02-07,-0.675,early,21,140.0,122.49999999999999,1.9310344827586203,0.32748538011695905,5.692007797270954,True,False,False,False
