id,position_id,trade_id,leg_role
1,1,9104195743,open_long
2,1,9104195757,open_long
3,1,9104195818,open_long
4,1,9104197122,open_short
5,1,9104197228,open_short
6,1,9104197341,open_short
7,2,9138176217,open_short
8,2,9138176914,open_long
9,3,9138004629,open_short
10,3,9138004693,open_short
11,3,9138004744,open_short
12,3,9138009167,open_long
13,3,9138009194,open_long
14,3,9138009369,open_long
15,4,9120023773,open_short
16,4,9120023730,open_short
17,4,9120027932,open_long
18,4,9120028042,open_long
19,5,9132780012,open_short
20,5,9132780010,open_short
21,5,9132779988,open_short
22,5,9132779922,open_short
23,5,9132779868,open_short
24,5,9132760784,open_long
25,5,9132760774,open_long
26,5,9132760770,open_long
27,5,9132760697,open_long
28,5,9132760701,open_long
29,6,9132479617,open_short
30,6,9132479513,open_short
31,6,9132479507,open_short
32,6,9132479782,open_short
33,6,9132478445,open_long
34,6,9132478584,open_long
35,6,9132478488,open_long
36,6,9132478421,open_long
37,7,9137445628,open_short
38,7,9137446295,open_short
39,7,9137450561,open_long
40,7,9137451522,open_long
41,4,9145807530,close_short
42,4,9145807539,close_short
43,4,9145807540,close_short
44,4,9145807546,close_short
45,4,9145807549,close_short
46,4,9145807550,close_short
47,4,9145807555,close_short
48,4,9145807558,close_short
49,4,9145807561,close_short
50,4,9145804755,close_long
51,4,9145804781,close_long
52,4,9145804785,close_long
53,4,9145804799,close_long
54,4,9145804813,close_long
55,4,9145804824,close_long
56,4,9145804827,close_long
57,4,9145804845,close_long
58,4,9145804861,close_long
59,5,9145772788,close_short
60,5,9145773106,close_short
61,5,9145773152,close_short
62,5,9145782133,close_short
63,5,9145782162,close_short
64,5,9145799681,close_short
65,5,9145799692,close_short
66,5,9145812725,close_short
67,5,9145829095,close_short
68,5,9145836060,close_short
69,5,9145836117,close_short
70,5,9145771860,close_long
71,5,9145772037,close_long
72,5,9145772039,close_long
73,5,9145781673,close_long
74,5,9145781682,close_long
75,5,9145799133,close_long
76,5,9145799171,close_long
77,5,9145812506,close_long
78,5,9145828891,close_long
79,5,9145836020,close_long
80,5,9145836053,close_long
81,9,9146105770,open_short
82,9,9146105777,open_short
83,9,9146105796,open_short
84,9,9146105811,open_short
85,9,9146105825,open_short
86,9,9146105826,open_short
87,9,9146103497,open_long
88,9,9146103518,open_long
89,9,9146103531,open_long
90,9,9146103549,open_long
91,9,9146103560,open_long
92,9,9146103585,open_long
93,10,9146122263,open_short
94,10,9146122280,open_short
95,10,9146122286,open_short
96,10,9146122294,open_short
97,10,9146120107,open_long
98,10,9146120129,open_long
99,10,9146120140,open_long
100,10,9146120180,open_long
101,8,9146360220,open_short
102,8,9146360227,open_long
103,11,9165322066,open_long
104,11,9165322085,open_long
105,11,9165322143,open_long
106,11,9165322263,open_long
107,11,9165322326,open_long
108,11,9165324131,open_short
109,11,9165324155,open_short
110,11,9165324174,open_short
111,11,9165324175,open_short
112,11,9165324199,open_short
113,12,9178897233,open_long
114,12,9178897250,open_long
115,12,9178897296,open_long
116,12,9178897343,open_long
117,12,9178897346,open_long
118,12,9178897354,open_long
119,12,9178906551,open_short
120,12,9178906553,open_short
121,12,9178906603,open_short
122,12,9178906605,open_short
123,12,9178906631,open_short
124,12,9178906640,open_short
125,13,9181108812,open_short
126,13,9181108832,open_short
127,13,9181108834,open_short
128,13,9181108863,open_short
129,13,9181108911,open_short
130,13,9181108952,open_short
131,13,9181112438,open_long
132,13,9181112464,open_long
133,13,9181112475,open_long
134,13,9181112547,open_long
135,13,9181112584,open_long
136,13,9181112623,open_long
137,13,9181112687,open_long
138,6,9181219219,close_long
139,6,9181219220,close_long
140,6,9181219222,close_long
141,6,9181227501,close_short
142,6,9181227668,close_short
143,6,9181227698,close_short
144,14,9194380016,open_short
145,14,9194380025,open_short
146,14,9194385128,open_long
147,14,9194385205,open_long
148,15,9194406072,open_short
149,15,9194406122,open_short
150,15,9194406139,open_short
151,15,9194406157,open_short
152,15,9194410617,open_long
153,15,9194410622,open_long
154,15,9194410765,open_long
155,15,9194410809,open_long
156,16,9194425135,open_short
157,16,9194422450,open_long
158,17,9211990160,open_short
159,17,9211990253,open_short
160,17,9211990255,open_short
161,17,9211990259,open_short
162,17,9211990260,open_short
163,17,9211990261,open_short
164,17,9211990263,open_short
165,17,9211990267,open_short
166,17,9211985651,open_long
167,17,9211993391,open_long
168,17,9211993393,open_long
169,17,9211993412,open_long
170,17,9211993421,open_long
171,17,9211993426,open_long
172,17,9211993433,open_long
173,17,9211993447,open_long
