cik,company,first_10_12b,n
0000033185,EQUIFAX INC,2010-07-30,1
0000096664,"Renewal Fuels, Inc.",2026-03-12,1
0000104918,AVISTA CORP,2015-02-26,2
0000353681,ANV SECURITY GROUP INC.,2009-10-08,1
0000711772,CAMBRIDGE BANCORP,2017-08-09,3
0000721693,CHINA RECYCLING ENERGY CORP,2010-02-05,2
0000726513,TRIBUNE MEDIA CO,2014-09-22,3
0000799288,LANDS END INC,2013-12-06,8
0000828146,INTERLINK ELECTRONICS INC,2015-12-14,3
0000844538,ROCKFORD MINERALS INC                                   /FI,2010-10-15,5
0000845385,REGAL ONE Corp,2011-11-14,1
0000859598,SEACOR HOLDINGS INC /NEW/,2012-12-17,1
0000880631,"WisdomTree Investments, Inc.",2011-03-31,3
0000886093,Arizona Gold & Onyx Mining Co,2020-01-03,1
0000893691,MASONITE INTERNATIONAL CORP,2013-08-19,1
0000904163,AMERICAN NATIONAL INSURANCE CO /TX/,2009-04-10,3
0000928447,RADIANT OIL & GAS INC,2011-05-13,1
0001007587,KVH INDUSTRIES INC \DE\,2013-03-18,1
0001016546,ALTAIR NANOTECHNOLOGIES INC,2012-07-10,1
0001024725,TENNECO INC,2018-10-01,1
0001031235,"Self Storage Group, Inc.",2015-06-30,6
0001070050,AppTech Corp.,2019-12-10,1
0001071411,FUSION TELECOMMUNICATIONS INTERNATIONAL INC,2011-11-15,1
0001091566,CYIOS CORP,2011-03-31,2
0001098343,TURNER VALLEY OIL & GAS INC,2018-02-27,1
0001102358,BLASTGARD INTERNATIONAL INC,2014-03-31,2
0001103384,ALL Fuels & Energy Co,2012-03-30,1
0001109067,"MOVIE STUDIO, INC.",2015-03-27,1
0001111118,"MOTOR SPORT COUNTRY CLUB HOLDINGS, INC.",2011-11-14,1
0001136294,GLOBAL POWER EQUIPMENT GROUP INC/,2010-04-30,4
0001142406,"CarePayment Technologies, Inc.",2011-10-03,1
0001145604,CENTENNIAL GROWTH EQUITIES INC,2020-12-03,1
0001192323,"Dinewise, Inc.",2011-12-16,1
0001211805,Mysize Inc.,2015-05-01,2
0001216596,NORTEK INC,2010-04-15,4
0001231074,KOHLER CAPITAL III CORP,2010-09-22,1
0001286459,ALL FOR ONE MEDIA CORP.,2016-10-13,1
0001320350,"LENSAR, Inc.",2020-08-26,2
0001325950,"Energy Holdings, Inc.",2023-03-22,1
0001340476,DIRTT ENVIRONMENTAL SOLUTIONS LTD,2019-09-20,1
0001347491,ALEXANDER TECH CORP,2026-07-30,1
0001349365,"WiFi Wireless, Inc.",2009-07-24,1
0001357878,Eternelle Skincare Products Inc.,2017-06-23,1
