date,open,high,low,close,volume
2026-04-01,128.0,130.23,126.98,127.28,10210654
2026-04-02,125.23,127.0,124.0101,126.8,8575338
2026-04-06,126.56,127.43,123.71,125.73,8038584
2026-04-07,125.065,125.41,121.99,124.07,8840394
2026-04-08,128.65,128.885,125.62,127.51,12535801
2026-04-09,127.255,128.59,126.8,127.75,9352747
2026-04-10,128.8,130.61,127.85,128.06,8427437
2026-04-13,128.0,131.305,126.46,131.24,8614997
2026-04-14,132.2,132.935,131.05,132.84,7608292
2026-04-15,133.44,134.34,132.28,133.05,9691504
2026-04-16,131.79,135.7014,131.79,134.47,8163727
2026-04-17,136.69,136.965,134.41,136.2,9667577
2026-04-20,136.41,138.5,136.08,137.52,7953827
2026-04-21,138.12,138.26,135.045,135.56,11874602
2026-04-22,136.64,137.49,135.55,136.07,9432669
2026-04-23,136.0,136.99,132.05,133.95,10164899
2026-04-24,145.61,151.5399,143.58,148.85,29449568
2026-04-27,156.305,161.0,147.05,150.26,41743959
2026-04-28,145.08,151.5,144.0001,150.0,22921335
2026-04-29,151.45,157.29,151.0,156.0,37571189
2026-04-30,172.05,186.8899,163.56,179.58,61132672
2026-05-01,179.13,179.99,171.15,177.01,21111476
2026-05-04,177.22,180.49,166.8305,168.38,23117408
2026-05-05,167.65,187.22,164.79,186.55,34274858
2026-05-06,195.18,197.5,188.22,192.57,30145049
2026-05-07,190.67,223.66,187.64,202.55,51092199
2026-05-08,213.0,228.05,208.63,219.09,37850000
2026-05-11,232.005,247.9,231.2,237.53,45473983
2026-05-12,229.84,230.0,202.0,210.31,38590144
2026-05-13,216.625,219.49,207.15,213.17,26226305
2026-05-14,208.51,209.53,199.66,200.08,24883885
2026-05-15,201.65,207.4,199.16,201.49,25876821
2026-05-18,206.77,210.8,193.58,203.64,21082525
2026-05-19,196.855,201.5,191.02,195.61,19605199
2026-05-20,197.0,203.59,194.0,202.51,19037516
2026-05-21,202.78,214.01,197.6,213.41,28163721
2026-05-22,214.43,243.0,214.17,238.16,30375674
2026-05-26,240.715,258.0,235.8001,248.82,30646376
2026-05-27,245.43,248.265,224.18,233.4,25694709
2026-05-28,236.0,249.46,231.52,243.29,21118350
2026-05-29,250.19,259.92,247.5101,251.02,28781844
2026-06-01,233.33,238.02,226.8118,228.99,21185170
2026-06-02,232.0,245.187,226.05,240.84,18508465
2026-06-03,235.02,255.09,233.02,250.01,19466984
2026-06-04,239.45,246.7,235.32,242.57,14185629
2026-06-05,237.65,238.44,215.0,215.94,24189155
2026-06-08,221.03,221.93,214.63,217.77,17180587
2026-06-09,216.46,219.64,192.67,205.42,29906287
2026-06-10,199.455,204.895,190.1,191.2,18426634
2026-06-11,190.92,203.84,190.745,202.96,18933065
2026-06-12,201.85,215.01,200.1,211.72,14134862
2026-06-15,219.77,226.46,216.28,220.81,13993753
2026-06-16,225.83,231.19,213.8,214.07,19629556
2026-06-17,219.04,221.32,212.68,212.97,11955848
2026-06-18,220.71,229.42,214.73,226.11,47081544
2026-06-22,222.93,233.444,215.5,221.9,18203388
2026-06-23,207.34,209.18,198.44,204.13,23781891
2026-06-24,202.57,202.9704,191.02,197.41,25519633
2026-06-25,219.43,219.43,199.82,204.9,34879266
2026-06-26,201.7,208.86,186.18,189.39,37128918
2026-06-29,193.03,194.59,183.58,188.72,21599518
2026-06-30,188.99,193.5,183.5,184.79,22056134
2026-07-01,183.585,190.99,181.6,181.92,23313179
2026-07-02,182.17,185.799,172.12,176.25,18682459
2026-07-06,178.13,188.67,177.1,186.48,15510548
2026-07-07,179.0,185.88,179.0,182.97,16253635
2026-07-08,180.52,187.12,180.505,186.56,10306836
2026-07-09,192.465,196.09,187.44,191.11,12895171
2026-07-10,187.508,190.19,185.72,189.16,7063957
2026-07-13,185.06,188.16,181.81,183.98,13007256
2026-07-14,189.33,189.99,177.45,178.1,13090378
2026-07-15,180.0,180.71,174.76,177.98,9440875
2026-07-16,173.08,173.96,168.99,170.61,15951600
2026-07-17,166.64,172.39,164.774,171.78,16291100
2026-07-20,175.55,176.25,169.9,170.32,9649579
2026-07-21,175.49,175.49,170.14,173.5,13243154
2026-07-22,170.71,178.65,170.595,175.63,7777610
2026-07-23,171.18,173.9495,168.31,171.11,10827502
2026-07-24,169.69,171.1,165.77,166.97,9997964
2026-07-27,169.77,171.19,165.29,170.04,12487074
2026-07-28,164.896,167.92,162.16,162.88,16147498
2026-07-29,162.575,164.56,155.0,155.68,19240744
2026-07-30,146.55,154.1595,146.0,151.6,24336846
2026-07-31,152.96,153.73,146.15,147.61,13811248
2026-08-03,146.2,151.68,142.89,151.57,13700732
2026-08-04,156.975,163.48,155.3123,162.67,16351486
2026-08-05,161.3,162.8,157.1,157.53,9725677
2026-08-06,155.42,162.6,155.22,160.39,7232784
2026-08-07,163.07,167.99,162.3,167.86,9723292
2026-08-10,168.155,168.87,162.08,162.17,9259983
2026-08-11,163.75,164.605,161.43,162.68,6326722
2026-08-12,166.889,166.94,161.07,163.07,7731711
2026-08-13,163.34,166.77,162.51,164.79,7716553
2026-08-14,165.63,166.965,163.18,165.79,5807737
2026-08-17,166.25,166.34,161.45,162.18,8967659
2026-08-18,157.89,161.81,156.725,160.19,11069527
2026-08-19,163.025,166.4999,160.19,161.91,8099521
2026-08-20,163.15,165.11,159.41,160.74,8509930
2026-08-21,162.92,163.33,159.17,160.75,8523097
2026-08-24,159.395,160.24,156.225,158.53,10517620
2026-08-25,160.34,161.79,159.08,160.56,11424247
2026-08-26,160.1,163.87,159.889,163.72,10480308
2026-08-27,165.155,166.95,161.9234,164.78,15074245
2026-08-28,164.59,165.49,161.9,164.19,7754515
2026-08-31,164.79,171.38,164.19,170.48,12740709
2026-09-01,165.47,167.29,162.21,166.61,8908364
2026-09-02,166.04,170.6,165.08,169.96,7531030
2026-09-03,168.5,170.03,164.8756,168.57,6994984
2026-09-04,169.98,170.63,167.04,168.74,8537131
2026-09-08,180.4,183.49,172.0352,174.09,26129191
