universe,slots,entry,stop,exit,taken,skipped,fill%,avg_expo%,final_x,CAGR%,maxDD%,Sharpe,MAR
BROAD,10,BOTH,2.0ATR,close<50EMA,1001,1231,44.84767025089606,19.796996975099105,1.2671077174823737,1.2442103752026146,-18.108521866207195,0.18842838728367883,0.06870855525345056
BROAD,10,BOTH,2.0ATR,hold 20d,1508,724,67.56272401433692,14.0922962657029,0.9419757919924887,-0.31828450284437926,-22.103374253131435,-0.03375489198398922,-0.014399815123217542
BROAD,10,BOTH,2.0ATR,target 4R,1011,1221,45.295698924731184,21.203835907553124,1.572009086865971,2.4235262194051366,-13.297292882093148,0.34442750162667757,0.18225711360158034
BROAD,10,BOTH,20EMA,close<50EMA,911,1312,40.98065677013045,15.172490326619718,1.1316801766392883,0.6457215350141432,-15.423628093845043,0.13413019149790653,0.041865735551016366
BROAD,10,BOTH,20EMA,hold 20d,1422,801,63.96761133603239,11.188739505556251,1.0467261056550308,0.24302913186056152,-17.802863422385716,0.06977875958602649,0.013651126006784465
BROAD,10,BOTH,20EMA,target 4R,645,1578,29.01484480431849,16.98843308930697,1.7726905272351972,2.9460202208331454,-11.766549171347052,0.5311531548934076,0.2503724905180404
BROAD,10,BOTH,3.0%,close<50EMA,1660,573,74.33945364979847,32.49438202247164,0.3444577109055074,-5.394463842968555,-74.63575607904697,-0.2523659510361774,-0.07227720500687715
BROAD,10,BOTH,3.0%,hold 20d,1952,281,87.41603224361845,21.89581205311566,0.19032058358861045,-8.440654425485405,-82.40734857956828,-0.734854643175976,-0.10242599198948314
BROAD,10,BOTH,3.0%,target 4R,2026,207,90.72995969547694,18.872318692543708,0.1870419249401076,-8.534689970717713,-82.11592614231627,-0.8447441989611113,-0.10393464911941834
BROAD,10,BREAKOUT,2.0ATR,close<50EMA,1619,9754,14.235469972742461,30.456474804308655,0.8826260688966034,-0.649370350242573,-38.16423200730079,-0.048214767372581596,-0.017015155712247765
BROAD,10,BREAKOUT,2.0ATR,hold 20d,2958,8415,26.00896860986547,28.63358555183437,0.7528503939385706,-1.5004386149929272,-35.69275122934776,-0.15420564671562156,-0.0420376284627568
BROAD,10,BREAKOUT,2.0ATR,target 4R,1290,10083,11.342653653389608,30.420540273497544,0.9677520719317001,-0.17247354617767607,-25.95072011650562,0.0052703624652140416,-0.006646194995875143
BROAD,10,BREAKOUT,20EMA,close<50EMA,1469,9728,13.119585603286595,26.438052508519586,1.108913006905891,0.5399683121782406,-38.88456150741371,0.09683899488175743,0.013886444677414983
BROAD,10,BREAKOUT,20EMA,hold 20d,2798,8399,24.98883629543628,25.377079339315976,0.85583253693561,-0.8255074884243596,-39.916215114058005,-0.08459171054089673,-0.020681006104048827
BROAD,10,BREAKOUT,20EMA,target 4R,973,10224,8.689827632401537,26.43549538373678,1.1861886428332202,0.9017954411635998,-26.475726370033527,0.16437083877146208,0.03406121624614969
BROAD,10,BREAKOUT,3.0%,close<50EMA,3362,8017,29.545654275419633,73.78140960163259,0.10459971120117985,-11.065154503697695,-92.68125468572185,-0.45703353774290767,-0.11938934729810421
BROAD,10,BREAKOUT,3.0%,hold 20d,5188,6191,45.5927585903858,64.97037793666746,0.052761800245120144,-14.47020774387886,-95.41681043118693,-0.7519180980866148,-0.15165260375491738
BROAD,10,BREAKOUT,3.0%,target 4R,6055,5324,53.212057298532386,65.93667007149854,0.04465526014677482,-15.216745665643838,-95.96472261309566,-0.8474411153285494,-0.15856603605257868
BROAD,10,CONFIRMED,2.0ATR,close<50EMA,1499,4925,23.33437110834371,29.20205579718526,1.1912708189297507,0.9149463927083268,-29.161255341973003,0.13445301787244285,0.031375411722807646
BROAD,10,CONFIRMED,2.0ATR,hold 20d,2633,3791,40.98692403486924,25.29019867097171,0.9279376711557905,-0.39720598456838285,-30.44798110456646,-0.020557085638436178,-0.013045396448594471
BROAD,10,CONFIRMED,2.0ATR,target 4R,1279,5145,19.909713574097136,29.904972071349285,1.5569913007905913,2.324089078823177,-27.173205019175228,0.32247010285897415,0.08552870657631828
BROAD,10,CONFIRMED,20EMA,close<50EMA,1366,4863,21.92968373735752,23.442038336671637,0.8733229968313008,-0.7022861476896236,-29.207689985499485,-0.08053867202349141,-0.024044563196825294
BROAD,10,CONFIRMED,20EMA,hold 20d,2443,3786,39.21977845561085,20.781478336677367,0.8755034065252615,-0.7043100427442495,-25.44489607212772,-0.08401460271481859,-0.02767981605221603
BROAD,10,CONFIRMED,20EMA,target 4R,840,5389,13.485310643763043,23.20306996304048,1.154770637783634,0.7398005074192193,-24.40846739591047,0.14877121832084067,0.03030917490309816
BROAD,10,CONFIRMED,3.0%,close<50EMA,2994,3435,46.570228651423236,65.31767109295025,0.221685920806881,-7.61533542603291,-83.5470955363154,-0.3239936583852286,-0.09115021147231568
BROAD,10,CONFIRMED,3.0%,hold 20d,4257,2172,66.21558562762482,50.71910112359358,0.07522992173535085,-12.82889017681007,-93.31385692231777,-0.7161567040297684,-0.13748108373111087
