cooldown,entry,stop,slots,taken,skipped,fill%,avg_expo%,final_x,CAGR%,maxDD%,Sharpe,MAR
10,BREAKOUT,1.5%,30,2283,6786,25.173668541184256,56.01634320735386,0.3537165273628451,-5.331111186902982,-75.26586541143641,-0.12448990087578013,-0.07083039778737384
10,BREAKOUT,1.5%,50,2283,6786,25.173668541184256,56.01634320735386,0.3537165273628451,-5.331111186902982,-75.26586541143641,-0.12448990087578013,-0.07083039778737384
10,BREAKOUT,2.0ATR,30,3073,5990,33.9070947809776,60.978206374570206,2.3871577689136383,4.67975632837534,-26.239734441222883,0.32226048872757207,0.1783461772015267
10,BREAKOUT,2.0ATR,50,3113,5950,34.34844974070396,61.44022303964193,2.6075474708756543,5.166777341123674,-27.106605522844017,0.3459474913827735,0.19060953009292833
10,BREAKOUT,3.0%,30,2591,6478,28.56985334656522,59.28935043779131,0.4648663774488687,-3.9314190599966214,-66.03880151841639,-0.13065532985572872,-0.05953195651045026
10,BREAKOUT,3.0%,50,2591,6478,28.56985334656522,59.28935043779131,0.4648663774488687,-3.9314190599966214,-66.03880151841639,-0.13065532985572872,-0.05953195651045026
10,BREAKOUT,bar low,30,2742,6115,30.958563847803998,61.427990580712105,1.1254968090866537,0.6221944105670119,-42.03661648440363,0.09445320496027754,0.014801248592351804
10,BREAKOUT,bar low,50,2742,6115,30.958563847803998,61.427990580712105,1.1254968090866537,0.6221944105670119,-42.03661648440363,0.09445320496027754,0.014801248592351804
10,GATES,1.5%,30,2656,12973,16.99404952332203,62.74974463738317,0.1625618233409053,-9.003611345594598,-92.85120129354672,-0.21780203792403294,-0.09696817294942592
10,GATES,1.5%,50,2656,12973,16.99404952332203,62.74974463738317,0.1625618233409053,-9.003611345594598,-92.85120129354672,-0.21780203792403294,-0.09696817294942592
10,GATES,2.0ATR,30,3507,12070,22.5139628940104,66.64016411292961,2.344396933884609,4.575631198634578,-25.430076355142216,0.3280080557922551,0.17992990405273948
10,GATES,2.0ATR,50,3625,11952,23.27149001733325,67.77844271595698,2.4221097152597415,4.711161521315499,-25.67237945438667,0.3305305747117406,0.18351090243450327
10,GATES,3.0%,30,2880,12749,18.427282615650395,65.55623596652208,0.655906789548665,-2.184001006351022,-64.20909555599046,-0.003733626912232016,-0.03401388833528372
10,GATES,3.0%,50,2880,12749,18.427282615650395,65.55623596652208,0.655906789548665,-2.184001006351022,-64.20909555599046,-0.003733626912232016,-0.03401388833528372
10,GATES,bar low,30,3273,11889,21.586861891571033,67.26504733946692,0.7853855451321703,-1.25963728846612,-59.79303360932457,-0.0018123918432263293,-0.02106662285603925
10,GATES,bar low,50,3281,11881,21.639625379237568,67.26026375941096,0.7612434201509883,-1.421269135915637,-61.02896367416235,-0.009614899831544359,-0.02328843634809017
