setup,h,n,mean%,med%,win%,base%,basewin%,edge%,dates,t_date
fire (any direction),5,12361,0.3630911679169822,0.2442854650148263,52.099344713210904,0.35959343492275114,52.09886501398447,0.0034977329942310724,241,-1.1609857772824175
fire (any direction),10,12191,0.7712518761400365,0.4204753199268607,52.80124682142564,0.743402254006927,53.00108659821505,0.027849622133109455,236,-1.0136626045454633
fire (any direction),20,11638,1.8513809028402735,1.1468549448550247,55.04382196253652,1.484610015773607,53.80736774480872,0.36677088706666644,226,0.863402681148261
fire + mom>0  [LONG],5,6432,0.25528793042128484,0.20285202250593937,51.7568407960199,0.35959343492275114,52.09886501398447,-0.10430550450146628,241,-2.318485222354337
fire + mom>0  [LONG],10,6342,0.6399372191422239,0.36034439352627956,52.53863134657837,0.743402254006927,53.00108659821505,-0.10346503486470313,236,-1.5917640999747238
fire + mom>0  [LONG],20,6005,1.3894877966733976,0.6587072869493671,53.23896752706079,1.484610015773607,53.80736774480872,-0.09512221910020942,226,-0.9203146769410373
fire + mom<0  [SHORT sig],5,5929,0.4800401346183359,0.279660105410362,52.470905717658965,0.35959343492275114,52.09886501398447,0.12044669969558477,241,0.6545738218789009
fire + mom<0  [SHORT sig],10,5849,0.913634771452077,0.4879476920074177,53.08599760642845,0.743402254006927,53.00108659821505,0.17023251744514994,236,0.008536458891689804
fire + mom<0  [SHORT sig],20,5633,2.34377715750601,1.6976297245355543,56.96786792117877,1.484610015773607,53.80736774480872,0.8591671417324026,226,1.3042592908333577
fire + mom>0 + rising,5,5592,0.2592605784525266,0.22842266431520875,51.98497854077253,0.35959343492275114,52.09886501398447,-0.10033285647022454,241,-1.9879060959014112
fire + mom>0 + rising,10,5517,0.66289697817634,0.3996003996004083,52.8910639840493,0.743402254006927,53.00108659821505,-0.08050527583058709,236,-1.8590966100834028
fire + mom>0 + rising,20,5214,1.3123232125480908,0.5820362862621331,52.89604909858075,1.484610015773607,53.80736774480872,-0.1722868032255161,226,-1.5287557828378775
fire + mom>0 + dur>=6,5,3007,0.2336303495025358,0.20258962388797208,51.878949118722986,0.35959343492275114,52.09886501398447,-0.12596308542021534,241,-1.7605774544615755
fire + mom>0 + dur>=6,10,2964,0.6436899258445596,0.5409724589937936,53.71120107962213,0.743402254006927,53.00108659821505,-0.09971232816236748,236,-1.9164066357675247
fire + mom>0 + dur>=6,20,2797,1.5024745797965857,0.8289676425269565,54.34393993564534,1.484610015773607,53.80736774480872,0.017864564022978743,226,-1.9921201953882601
fire + mom>0 + dur>=12,5,1383,0.1868020638936887,0.16891891891892552,51.91612436731743,0.35959343492275114,52.09886501398447,-0.17279137102906245,236,-1.7259616208416422
fire + mom>0 + dur>=12,10,1365,0.5729207723017352,0.5732723513564242,53.62637362637363,0.743402254006927,53.00108659821505,-0.1704814817051918,231,-1.833989027239458
fire + mom>0 + dur>=12,20,1286,1.4633857844079423,1.1321839702888803,55.90979782270607,1.484610015773607,53.80736774480872,-0.021224231365664717,221,-1.4440994944139447
still IN squeeze + mom>0 (control),5,46007,0.2738752710548961,0.09753718605218786,50.84661029843285,0.35959343492275114,52.09886501398447,-0.085718163867855,241,-2.586681273641707
still IN squeeze + mom>0 (control),10,45277,0.5401583847097374,0.28608210556431146,51.97561675906089,0.743402254006927,53.00108659821505,-0.20324386929718963,236,-3.568871546171793
still IN squeeze + mom>0 (control),20,43452,1.3669239766353145,0.667631427633264,53.040136242290345,1.484610015773607,53.80736774480872,-0.11768603913829244,226,-0.9719617597701912
