strike,expiration,open_1_8,delta_eod_1_8,close_1_19,profit,return_pct
5.0,2024-01-19,506.25,1.0,568.8,6255.0,12.4
85.0,2024-01-19,432.15,1.0,508.07,7592.5,17.6
90.0,2024-01-19,422.21,1.0,503.02,8081.5,19.1
100.0,2024-01-19,401.1,1.0,492.88,9178.0,22.9
125.0,2024-01-19,383.98,1.0,454.55,7057.0,18.4
130.0,2024-01-19,386.5,1.0,453.5,6700.0,17.3
135.0,2024-01-19,380.08,1.0,456.73,7665.0,20.2
140.0,2024-01-19,375.27,1.0,453.0,7773.0,20.7
145.0,2024-01-19,366.55,1.0,446.36,7981.0,21.8
150.0,2024-01-19,360.38,1.0,440.55,8017.0,22.2
155.0,2024-01-19,344.05,1.0,433.8,8975.0,26.1
160.0,2024-01-19,350.0,1.0,431.25,8125.0,23.2
165.0,2024-01-19,349.55,1.0,425.09,7554.0,21.6
170.0,2024-01-19,336.29,1.0,422.7,8641.0,25.7
175.0,2024-01-19,320.2,1.0,417.35,9715.0,30.3
180.0,2024-01-19,320.0,1.0,412.99,9299.0,29.1
185.0,2024-01-19,314.2,1.0,407.84,9364.0,29.8
190.0,2024-01-19,321.1,1.0,401.55,8045.0,25.1
195.0,2024-01-19,313.71,1.0,394.95,8124.0,25.9
200.0,2024-01-19,312.0,1.0,395.0,8300.0,26.6
205.0,2024-01-19,294.15,1.0,386.2,9205.0,31.3
215.0,2024-01-19,300.0,1.0,373.01,7301.0,24.3
220.0,2024-01-19,285.0,1.0,373.0,8800.0,30.9
225.0,2024-01-19,283.67,1.0,368.13,8446.0,29.8
230.0,2024-01-19,283.0,1.0,362.1,7910.0,28.0
235.0,2024-01-19,267.75,1.0,358.23,9048.0,33.8
240.0,2024-01-19,273.95,1.0,354.74,8079.0,29.5
245.0,2024-01-19,267.2,1.0,349.55,8235.0,30.8
250.0,2024-01-19,250.0,1.0,342.94,9294.0,37.2
255.0,2024-01-19,265.0,1.0,336.85,7185.0,27.1
260.0,2024-01-19,245.0,1.0,332.76,8776.0,35.8
265.0,2024-01-19,230.4,1.0,325.42,9502.0,41.2
270.0,2024-01-19,245.0,1.0,323.02,7802.0,31.8
275.0,2024-01-19,238.95,1.0,316.15,7720.0,32.3
280.0,2024-01-19,220.45,1.0,315.0,9455.0,42.9
285.0,2024-01-19,230.0,1.0,308.26,7826.0,34.0
290.0,2024-01-19,215.05,1.0,304.71,8966.0,41.7
295.0,2024-01-19,216.81,1.0,296.7,7989.0,36.8
300.0,2024-01-19,195.87,1.0,294.68,9881.0,50.4
305.0,2024-01-19,206.01,1.0,285.86,7985.0,38.8
310.0,2024-01-19,189.5,1.0,284.65,9515.0,50.2
315.0,2024-01-19,199.5,1.0,278.15,7865.0,39.4
320.0,2024-01-19,175.65,1.0,271.41,9576.0,54.5
325.0,2024-01-19,184.53,1.0,265.82,8129.0,44.1
330.0,2024-01-19,188.0,1.0,265.73,7773.0,41.3
335.0,2024-01-19,183.3,1.0,256.31,7301.0,39.8
