strike,expiration,open_1_8,delta_eod_1_8,close_1_19,profit,return_pct
5.0,2024-01-19,506.25,1.0,589.91,8366.0,16.5
85.0,2024-01-19,432.15,1.0,509.91,7776.0,18.0
90.0,2024-01-19,422.21,1.0,504.91,8270.0,19.6
100.0,2024-01-19,401.1,1.0,494.91,9381.0,23.4
125.0,2024-01-19,383.98,1.0,469.91,8593.0,22.4
130.0,2024-01-19,386.5,1.0,464.91,7841.0,20.3
135.0,2024-01-19,380.08,1.0,459.91,7983.0,21.0
140.0,2024-01-19,375.27,1.0,454.91,7964.0,21.2
145.0,2024-01-19,366.55,1.0,449.91,8336.0,22.7
150.0,2024-01-19,360.38,1.0,444.91,8453.0,23.5
155.0,2024-01-19,344.05,1.0,439.91,9586.0,27.9
160.0,2024-01-19,350.0,1.0,434.91,8491.0,24.3
165.0,2024-01-19,349.55,1.0,429.91,8036.0,23.0
170.0,2024-01-19,336.29,1.0,424.91,8862.0,26.4
175.0,2024-01-19,320.2,1.0,419.91,9971.0,31.1
180.0,2024-01-19,320.0,1.0,414.91,9491.0,29.7
185.0,2024-01-19,314.2,1.0,409.91,9571.0,30.5
190.0,2024-01-19,321.1,1.0,404.91,8381.0,26.1
195.0,2024-01-19,313.71,1.0,399.91,8620.0,27.5
200.0,2024-01-19,312.0,1.0,394.91,8291.0,26.6
205.0,2024-01-19,294.15,1.0,389.91,9576.0,32.6
210.0,2024-01-19,312.7,1.0,384.91,7221.0,23.1
215.0,2024-01-19,300.0,1.0,379.91,7991.0,26.6
220.0,2024-01-19,285.0,1.0,374.91,8991.0,31.5
225.0,2024-01-19,283.67,1.0,369.91,8624.0,30.4
230.0,2024-01-19,283.0,1.0,364.91,8191.0,28.9
235.0,2024-01-19,267.75,1.0,359.91,9216.0,34.4
240.0,2024-01-19,273.95,1.0,354.91,8096.0,29.6
245.0,2024-01-19,267.2,1.0,349.91,8271.0,31.0
250.0,2024-01-19,250.0,1.0,344.91,9491.0,38.0
255.0,2024-01-19,265.0,1.0,339.91,7491.0,28.3
260.0,2024-01-19,245.0,1.0,334.91,8991.0,36.7
265.0,2024-01-19,230.4,1.0,329.91,9951.0,43.2
270.0,2024-01-19,245.0,1.0,324.91,7991.0,32.6
275.0,2024-01-19,238.95,1.0,319.91,8096.0,33.9
280.0,2024-01-19,220.45,1.0,314.91,9446.0,42.8
285.0,2024-01-19,230.0,1.0,309.91,7991.0,34.7
290.0,2024-01-19,215.05,1.0,304.91,8986.0,41.8
295.0,2024-01-19,216.81,1.0,299.91,8310.0,38.3
300.0,2024-01-19,195.87,1.0,294.91,9904.0,50.6
305.0,2024-01-19,206.01,1.0,289.91,8390.0,40.7
310.0,2024-01-19,189.5,1.0,284.91,9541.0,50.3
315.0,2024-01-19,199.5,1.0,279.91,8041.0,40.3
320.0,2024-01-19,175.65,1.0,274.91,9926.0,56.5
325.0,2024-01-19,184.53,1.0,269.91,8538.0,46.3
330.0,2024-01-19,188.0,1.0,264.91,7691.0,40.9
335.0,2024-01-19,183.3,1.0,259.91,7661.0,41.8
340.0,2024-01-19,175.07,1.0,254.91,7984.0,45.6
345.0,2024-01-19,155.0,1.0,249.91,9491.0,61.2
350.0,2024-01-19,149.5,1.0,244.91,9541.0,63.8
355.0,2024-01-19,154.61,1.0,239.91,8530.0,55.2
360.0,2024-01-19,149.5,1.0,234.91,8541.0,57.1
365.0,2024-01-19,145.3,1.0,229.91,8461.0,58.2
370.0,2024-01-19,148.37,1.0,224.91,7654.0,51.6
375.0,2024-01-19,137.7,1.0,219.91,8221.0,59.7
380.0,2024-01-19,130.1,1.0,214.91,8481.0,65.2
385.0,2024-01-19,129.1,1.0,209.91,8081.0,62.6
390.0,2024-01-19,124.17,1.0,204.91,8074.0,65.0
395.0,2024-01-19,120.25,0.9999,199.91,7966.0,66.2
400.0,2024-01-19,97.6,0.9999,194.91,9731.0,99.7
405.0,2024-01-19,91.25,0.9997,189.91,9866.0,108.1
410.0,2024-01-19,103.33,0.9995,184.91,8158.0,79.0
415.0,2024-01-19,81.35,0.9991,179.91,9856.0,121.2
420.0,2024-01-19,76.25,0.9984,174.91,9866.0,129.4
425.0,2024-01-19,70.7,0.9974,169.91,9921.0,140.3
430.0,2024-01-19,67.15,0.9957,164.91,9776.0,145.6
435.0,2024-01-19,61.03,0.9933,159.91,9888.0,162.0
440.0,2024-01-19,56.75,0.9905,154.91,9816.0,173.0
442.5,2024-01-19,73.4,0.9888,152.41,7901.0,107.6
445.0,2024-01-19,52.0,0.9869,149.91,9791.0,188.3
