video_id,title,duration,upload_date,playlist,playlist_id
wG0yvxmDuXI,Why the Options Market Is Always Wrong About Volatility,2704.0,NA,"Read the Market Like a Pro: Charts, Market Regime, and Volatility Made Simple",PLIGitRqe747I
Ox-hTIjrWvM,The Stock Market Just Sent a Warning Sign (Here's Proof),2738.0,NA,"Read the Market Like a Pro: Charts, Market Regime, and Volatility Made Simple",PLIGitRqe747I
iXOULnIGEKk,Why You're Selling Winning Stocks Too Early (Fix This),2810.0,NA,"Read the Market Like a Pro: Charts, Market Regime, and Volatility Made Simple",PLIGitRqe747I
jmD1S47yjjA,From Buying Calls to Building Spreads,11811.0,NA,The Stock Investor's Guide to Options: Learn Options From the Ground Up,PLVEQTSRBu6hY
0ZUAuh-LpxY,Do More With Less (Vertical Spreads Explained),3229.0,NA,The Stock Investor's Guide to Options: Learn Options From the Ground Up,PLVEQTSRBu6hY
ZWf03H0Yrpg,Get Paid on Stocks You Already Own (Covered Calls Explained),2764.0,NA,The Stock Investor's Guide to Options: Learn Options From the Ground Up,PLVEQTSRBu6hY
JjvxtSfgWzk,Get Paid to Place a Limit Buy Order (Cash-Secured Puts Explained),2974.0,NA,The Stock Investor's Guide to Options: Learn Options From the Ground Up,PLVEQTSRBu6hY
s7p0chRlcBc,The Options Version of Buying a Stock (Long Calls Explained),3271.0,NA,The Stock Investor's Guide to Options: Learn Options From the Ground Up,PLVEQTSRBu6hY
nTqAK_mXX6E,How to Find Your Next Trade on OptionsPlay | Growth Lab Full Series,9553.0,NA,Where Your Next Trade Comes From: Finding Opportunities on OptionsPlay,PLB67PRV4BFJ0
VSLc-kHxFlw,How to Screen Both Legs of the Wheel Before You Trade,2703.0,NA,Where Your Next Trade Comes From: Finding Opportunities on OptionsPlay,PLB67PRV4BFJ0
YfrZT_kTo_4,The Three Filters That Make a Credit Spread Worth Trading,2015.0,NA,Where Your Next Trade Comes From: Finding Opportunities on OptionsPlay,PLB67PRV4BFJ0
yLQt8UZNS8Q,How to Find the Few Earnings Setups Worth Trading,2028.0,NA,Where Your Next Trade Comes From: Finding Opportunities on OptionsPlay,PLB67PRV4BFJ0
2H1z0vauisg,How the Early Breakout Detector Finds Trends Before They Go Mainstream,3306.0,NA,Where Your Next Trade Comes From: Finding Opportunities on OptionsPlay,PLB67PRV4BFJ0
ITjKK9fbayw,"The Complete Trading Profitability Playbook: Account Math, Risk Control, Winners, and Rules",10885.0,NA,Why Winning Trades Aren't Enough: How Traders Actually Grow an Account,PLSC1eKlsCR8SaERPJ0qEzvpCwgsKm5i_a
W72DcmaJizA,The Rules That Keep Traders Profitable,2972.0,NA,Why Winning Trades Aren't Enough: How Traders Actually Grow an Account,PLSC1eKlsCR8SaERPJ0qEzvpCwgsKm5i_a
DqtBkL1qalU,Why Cutting Winners Too Early Destroys Your Edge,3076.0,NA,Why Winning Trades Aren't Enough: How Traders Actually Grow an Account,PLSC1eKlsCR8SaERPJ0qEzvpCwgsKm5i_a
zp3mf2o_EMc,The One Mistake That Wrecks Every Trader,2762.0,NA,Why Winning Trades Aren't Enough: How Traders Actually Grow an Account,PLSC1eKlsCR8SaERPJ0qEzvpCwgsKm5i_a
Rsdou65pTCY,Why You Win Trades but Still Lose Money,2548.0,NA,Why Winning Trades Aren't Enough: How Traders Actually Grow an Account,PLSC1eKlsCR8SaERPJ0qEzvpCwgsKm5i_a
4zwgKjj8-fk,"Your Options Guide for Profitability: How to Find, Plan, and Manage Every Trade",8958.0,NA,Stop Chasing Trades: How to Build an Options Trading Plan,PLSC1eKlsCR8TjQh6IlKD3eNRegzgVELZk
xM_-GFgvMnM,How to Manage a Trade and Review the Decision,2976.0,NA,Stop Chasing Trades: How to Build an Options Trading Plan,PLSC1eKlsCR8TjQh6IlKD3eNRegzgVELZk
JnbKJCHsuCE,How to Choose the Right Options Strategy for a Trade Idea,3025.0,NA,Stop Chasing Trades: How to Build an Options Trading Plan,PLSC1eKlsCR8TjQh6IlKD3eNRegzgVELZk
2_xrlDfinQA,How to Know If a Trade Idea Is Worth It?,3312.0,NA,Stop Chasing Trades: How to Build an Options Trading Plan,PLSC1eKlsCR8TjQh6IlKD3eNRegzgVELZk
Zd5SBkHm2Zc,The SECRET to Passive Income - Learn Credit Spreads Fast!,2197.0,NA,Weekly Income with Options,PLSC1eKlsCR8TM6hda2LnA_Wxho5pKG1o4
xdrXTASIwAs,Get Maximum Weekly Income – Trade Adjustments!,3603.0,NA,Weekly Income with Options,PLSC1eKlsCR8TM6hda2LnA_Wxho5pKG1o4
La8vxQCgl6k,BEST Stocks for Max Weekly Income,3625.0,NA,Weekly Income with Options,PLSC1eKlsCR8TM6hda2LnA_Wxho5pKG1o4
9ndDRDgM1To,Top 3 Income Strategies for Weekly Income - During Trade Wars,3957.0,NA,Weekly Income with Options,PLSC1eKlsCR8TM6hda2LnA_Wxho5pKG1o4
n5wPJvxCdFA,Make Passive Income with THIS Wheel Options Trading Strategy,4236.0,NA,Weekly Income with Options,PLSC1eKlsCR8TM6hda2LnA_Wxho5pKG1o4
bablegECtWE,Top 3 Options Strategies for Monthly Income,4048.0,NA,Weekly Income with Options,PLSC1eKlsCR8TM6hda2LnA_Wxho5pKG1o4
GnMIZdMgG1o,Grow A Small Account: Options WEEKLY Income Strategy,3851.0,NA,Weekly Income with Options,PLSC1eKlsCR8TM6hda2LnA_Wxho5pKG1o4
x2ZRbApa-Mc,Earn WEEKLY Income with Cash-Secured Puts: Step-by-Step Guide,3668.0,NA,Weekly Income with Options,PLSC1eKlsCR8TM6hda2LnA_Wxho5pKG1o4
eeEW_XyQkW4,(EASY) How to Make Weekly Income Selling Options,3634.0,NA,Weekly Income with Options,PLSC1eKlsCR8TM6hda2LnA_Wxho5pKG1o4
KFmoZGi_SGE,How Option Pricing Works: A Complete Beginner's Guide,4624.0,NA,Options Trading for Beginners,PLSC1eKlsCR8S5f9XyTcrygpVsa2L4F4PW
fWglDvWLXLY,Options Trading for Beginners l 2024 ULTIMATE In-Depth Guide,3249.0,NA,Options Trading for Beginners,PLSC1eKlsCR8S5f9XyTcrygpVsa2L4F4PW
nw-Woiz1OpQ,Options Trading for Beginners: Calls & Puts (with DETAILED EXAMPLES),3304.0,NA,Options Trading for Beginners,PLSC1eKlsCR8S5f9XyTcrygpVsa2L4F4PW
7bc6pwJlJ2Y,OptionsPlay Platform Walkthrough,419.0,NA,OptionsPlay Walkthrough Videos,PLSC1eKlsCR8S3yI4w35KS6eb8guk4g0mK
lT2zqGZAPfo,OptionsPlay Live Coaching,140.0,NA,OptionsPlay Walkthrough Videos,PLSC1eKlsCR8S3yI4w35KS6eb8guk4g0mK
9bpgTPJh4GQ,OptionsPlay - Live Coaching (short),70.0,NA,OptionsPlay Walkthrough Videos,PLSC1eKlsCR8S3yI4w35KS6eb8guk4g0mK
SL3Vie6ZjZw,OptionsPlay - DailyPlay,207.0,NA,OptionsPlay Walkthrough Videos,PLSC1eKlsCR8S3yI4w35KS6eb8guk4g0mK
ffmJfk3VvcA,OptionsPlay Position Alerts,248.0,NA,OptionsPlay Walkthrough Videos,PLSC1eKlsCR8S3yI4w35KS6eb8guk4g0mK
ju1ENbeCgfU,OptionsPlay Watchlists,188.0,NA,OptionsPlay Walkthrough Videos,PLSC1eKlsCR8S3yI4w35KS6eb8guk4g0mK
m2zKgB7X-zs,OptionsPlay Trade Ideas,220.0,NA,OptionsPlay Walkthrough Videos,PLSC1eKlsCR8S3yI4w35KS6eb8guk4g0mK
fRoTSNT9Psg,How to Use OptionsPlay Strategy Builder,302.0,NA,OptionsPlay Walkthrough Videos,PLSC1eKlsCR8S3yI4w35KS6eb8guk4g0mK
729I_NCMEH4,"BEFORE Trading Options Learn The GREEKS |  (Delta, Gamma, Theta, Vega, Rho)",3107.0,NA,February Summit 2024: Advanced Plays,PLSC1eKlsCR8ROLUecrkAfdguK15kZ5HNV
5TRN9mJNbnQ,Long Call and Put Butterfly Option Strategy l 2024 Best Tips,3423.0,NA,February Summit 2024: Advanced Plays,PLSC1eKlsCR8ROLUecrkAfdguK15kZ5HNV
JICXKYnOVjY,Iron Butterfly Option Strategy Explained | Option Strategies,3132.0,NA,February Summit 2024: Advanced Plays,PLSC1eKlsCR8ROLUecrkAfdguK15kZ5HNV
FsOdi9gu-rM,Revealing the Secrets of Index Options: Hedging Strategy,2720.0,NA,February Summit 2024: Advanced Plays,PLSC1eKlsCR8ROLUecrkAfdguK15kZ5HNV
iYE9gKsOs-c,Why You Suck at Trading.,3647.0,NA,January 2024 Summit: 2024Trading Kickoff: Your Path to Profitable Trading,PLSC1eKlsCR8STVrEUFkvyTuZjceUTdXtD
hci2NRDul08,Q1 Earnings Season: Kickoff,3168.0,NA,January 2024 Summit: 2024Trading Kickoff: Your Path to Profitable Trading,PLSC1eKlsCR8STVrEUFkvyTuZjceUTdXtD
jBu1Oxv19Rc,Risk Management & Position Sizing Strategy for Trading: Maximize Profits FAST,3882.0,NA,January 2024 Summit: 2024Trading Kickoff: Your Path to Profitable Trading,PLSC1eKlsCR8STVrEUFkvyTuZjceUTdXtD
yhECcDujOls,The ONLY Trading Plan You will EVER need,3272.0,NA,January 2024 Summit: 2024Trading Kickoff: Your Path to Profitable Trading,PLSC1eKlsCR8STVrEUFkvyTuZjceUTdXtD
0c_9yfY-AeM,You Need to Know these Options Trading Strategies...,3815.0,NA,November 2023 Summit: Introduction to Options Strategies,PLSC1eKlsCR8TNwdc3yen46IEdJjjGqsVm
tNjM98YLw9Q,How to Multiply your Dividends l One Strategy You Need to Know,4359.0,NA,November 2023 Summit: Introduction to Options Strategies,PLSC1eKlsCR8TNwdc3yen46IEdJjjGqsVm
03gK2JTqEZE,Growing Your Trading Account Using Options,3032.0,NA,November 2023 Summit: Introduction to Options Strategies,PLSC1eKlsCR8TNwdc3yen46IEdJjjGqsVm
4_U7TMOsxyI,Options Trading Crash Course,3545.0,NA,November 2023 Summit: Introduction to Options Strategies,PLSC1eKlsCR8TNwdc3yen46IEdJjjGqsVm
KrMXAZJk9n0,Introduction to Technical Analysis,3304.0,NA,October 2023 Summit: Navigating Changes in Market Trends,PLSC1eKlsCR8SPBmvgE5htLvN1FHCo62Us
