PLIGitRqe747I	Read the Market Like a Pro: Charts, Market Regime, and Volatility Made Simple
PLVEQTSRBu6hY	The Stock Investor's Guide to Options: Learn Options From the Ground Up
PLB67PRV4BFJ0	Where Your Next Trade Comes From: Finding Opportunities on OptionsPlay
PLSC1eKlsCR8SaERPJ0qEzvpCwgsKm5i_a	Why Winning Trades Aren't Enough: How Traders Actually Grow an Account
PLSC1eKlsCR8TjQh6IlKD3eNRegzgVELZk	Stop Chasing Trades: How to Build an Options Trading Plan
PLSC1eKlsCR8TM6hda2LnA_Wxho5pKG1o4	Weekly Income with Options
PLSC1eKlsCR8S5f9XyTcrygpVsa2L4F4PW	Options Trading for Beginners
PLSC1eKlsCR8S3yI4w35KS6eb8guk4g0mK	OptionsPlay Walkthrough Videos
PLSC1eKlsCR8ROLUecrkAfdguK15kZ5HNV	February Summit 2024: Advanced Plays
PLSC1eKlsCR8STVrEUFkvyTuZjceUTdXtD	January 2024 Summit: 2024Trading Kickoff: Your Path to Profitable Trading
PLSC1eKlsCR8TNwdc3yen46IEdJjjGqsVm	November 2023 Summit: Introduction to Options Strategies
PLSC1eKlsCR8SPBmvgE5htLvN1FHCo62Us	October 2023 Summit: Navigating Changes in Market Trends
PLSC1eKlsCR8RrVLU3re6oYs75Yw1FaL6n	OptionsPlay Platform Walkthrough
PLSC1eKlsCR8QuyCiXmpQ1-lcCz-1YGobF	In The Money
PLSC1eKlsCR8T66Ot1KQMxilsuyM69-wU6	Ads/Marketing
PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp	Options Education
PLSC1eKlsCR8S-nVFAZcTOOW5PMAFju_uZ	Interviews with Industry Leaders
PLSC1eKlsCR8TNzgtfZ-mjeUsQqUZ3jBxL	Nasdaq-100 Index Options Education Event
PLSC1eKlsCR8R5CIRhL6ISHXPNCbqst76U	Advanced Options Course
PLSC1eKlsCR8TD7e65jkBOh3L5FXr6gRDl	Market Outlook Series
PLSC1eKlsCR8S1RPs4b8aecyw7Vwx614Jh	Intermediate Options Trading Course
PLSC1eKlsCR8TH5S6IHhyTkIk7im-8Dfph	Beginners Options Trading Course
PLSC1eKlsCR8TaLPKyfNGb8HVoq4Qyo0M0	Nasdaq-100 Index Options Trading Strategies
PLSC1eKlsCR8SWT3w4VMRk916_GWxl1d3F	OptionsPlay Canada Webinar Series: Learn to Trade Options
PLSC1eKlsCR8Tsa4_ONvZ9rfaFIzKPZzPc	Webinar Series: Learn to Trade Options
PLSC1eKlsCR8RnaHKF12c7y-9prdvt07Ow	Webinar Recordings
