snapshot,rank,ticker,price,ivp_1y,iv_rv,opt_volume,ic_ret,ic_win,straddle_ret,straddle_win,strangle_ret,strangle_win,fly_ret,fly_win
2026-09-14,1,MUU,28.45,1%,1.17,19.89K,14.3%,85.7%,39.8%,85.7%,75.9%,85.7%,19.5%,85.7%
2026-09-14,2,DRAM,55.53,7%,1.24,256.83K,11.1%,80%,35.1%,60%,60.9%,80%,15.8%,60%
2026-09-14,3,EWZ,37.66,100%,1.7,330.68K,6.9%,73.6%,12.6%,64.7%,37.4%,76.1%,5.4%,62.7%
2026-09-14,4,XRT,85.94,10%,1.19,10.14K,6.2%,74.8%,12.8%,59.9%,33.9%,77.2%,5.9%,59.4%
2026-09-14,5,USO,155.06,66%,1.59,185.29K,6%,77.3%,13.4%,67.2%,30%,78.8%,6.7%,65.2%
2026-09-14,6,TMF,29.66,81%,1.28,14.1K,4.7%,74%,12.4%,67.7%,31.6%,75.5%,4.9%,66.2%
2026-09-14,7,XOP,193.88,80%,1.49,15.9K,4.2%,73.3%,6.1%,58.9%,26%,75.7%,1.6%,56.4%
2026-09-14,8,XLE,64.47,71%,1.43,148.06K,3.5%,73.8%,10%,63.4%,26.1%,75.7%,3%,62.9%
2026-09-14,9,TLT,81.18,83%,1.32,679.31K,3.3%,75%,10.4%,66.7%,26.4%,76.5%,3.2%,64.2%
2026-09-14,10,KWEB,24.84,8%,1.59,90.8K,2.9%,71.5%,1.2%,59.5%,4.2%,74%,2.9%,56%
2026-09-14,11,XLP,84.57,61%,1.2,21.25K,2.5%,73.8%,8%,62.9%,24.7%,75.3%,2.2%,61.4%
2026-09-14,12,SPY,762.50,35%,1.73,9.5M,2.4%,66.8%,10.8%,58.9%,27.2%,68.8%,2.2%,57.4%
2026-09-14,13,DIA,525.28,42%,1.51,47.02K,2.3%,68.3%,7.9%,60.9%,25.2%,71.8%,1.6%,57.9%
2026-09-14,14,SQQQ,39.36,30%,1.68,74.29K,2.1%,68.8%,17.6%,63.9%,30.3%,72.3%,3.7%,63.4%
2026-09-14,15,QQQ,712.10,29%,1.56,6.7M,1.9%,71.6%,9.3%,61.7%,20.1%,73.1%,2.3%,59.2%
2026-09-14,16,XBI,157.78,50%,1.01,30.14K,1.9%,69.3%,10.1%,60.9%,15.7%,70.8%,4.9%,60.4%
2026-09-14,17,EFA,106.23,47%,1.58,36.3K,1.8%,71.1%,6.1%,56.9%,25%,74.1%,0.3%,53.3%
2026-09-14,18,FXI,34.95,15%,1.66,95.14K,1.8%,72.8%,3.5%,64.4%,5.4%,74.3%,3.1%,62.4%
2026-09-14,19,EEM,66.38,51%,1.46,125.34K,1.7%,66.3%,6.2%,59.9%,18.4%,68.8%,1.5%,58.9%
2026-09-14,20,IWM,288.64,14%,1.51,1.3M,1.6%,68.8%,5%,58.3%,17.6%,70.8%,1%,55.3%
