Number,Entry Date,Ticker,Expiration,Call / Put, Days_In_Trade, Setup_Type,Entry_Price, Return
1,1/8/24,NVDA,1/19/24,C,11,Breakout,2.5, 2500
2,1/19/24,SMCI,1/26/24,C,7,Breakout,5,2120
3,2/8/24,MSTR,2/16/24,C,8,Breakout,5,3340
4,2/8/24,ARM,2/16/24,C,5,Earnings,3,1966
5,2/9/24,COIN,3/15/24,C,37,Breakout,5,2300
6,2/16/24,SMCI,2/16/24,P,1,Exhaustion,5,2880
7,3/1/24,GLD,4/19/24,C,48,Breakout,0.75,3233
8,3/8/24,NVDA,3/8/24,P,1,Exhaustion,2,1600
9,6/11/24,AAPL,6/21/24,C,9,Breakout,1.3,977
10,7/11/24,BRKB,8/16/24,C,13,Breakout,2.4,858
11,7/11/24,IWM,7/19/24,C,8,Breakout,1.24,1197
12,8/29/24,GEV,9/20/24,C,15,Breakout,3.4,1332
13,9/11/24,APP,9/20/24,C,9,Breakout,1.5,1747
14,9/19/24,BABA,10/18/24,C,20,Breakout,0.95,2269
15,10/11/24,MSTR,10/18/24,C,8,Breakout,4,268
16,10/22/24,DJT,11/22/24,C,9,Catalyst,6,217
17,11/5/24,PLTR,12/20/24,C,45,Breakout,0.51,4018
18,11/5/24,TSLA,11/22/24,C,17,Catalyst,1.44,4205
19,11/6/24,BTC,11/22/24,C,15,Breakout,4.2,1505
20,11/8/24,COST,11/15/24,C,1,Breakout,2.23,842
