number,ticker,cp,entry,exit,expiration,dte,hold_days,strike,open_entry,delta_entry,value_at_exit,exit_src,profit,return_pct
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,565.0,0.4,0.0957,29.6,tradier_close,2920.0,7300.0
1,NVDA,C,2024-01-08,2024-01-19,2024-01-26,18,11,390.0,125.0,0.9984,201.62,tradier_close,7662.0,61.3
1,NVDA,C,2024-01-08,2024-01-19,2024-01-26,18,11,480.0,24.23,0.8586,115.3,tradier_close,9107.0,375.9
1,NVDA,C,2024-01-08,2024-01-19,2024-01-26,18,11,507.5,9.65,0.6598,84.4,tradier_close,7475.0,774.6
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,385.0,127.45,0.9946,209.8,tradier_close,8235.0,64.6
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,440.0,69.32,0.9312,155.15,tradier_close,8583.0,123.8
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,560.0,4.27,0.289,46.61,tradier_close,4234.0,991.6
1,NVDA,C,2024-01-08,2024-01-19,2024-02-23,46,11,435.0,78.31,0.8856,161.45,athena_mid,8314.0,106.2
1,NVDA,C,2024-01-08,2024-01-19,2024-04-19,102,11,535.0,35.39,0.5147,83.6,tradier_close,4821.0,136.2
1,NVDA,C,2024-01-08,2024-01-19,2024-05-17,130,11,265.0,255.49,0.9906,332.27,athena_mid,7678.5,30.1
1,NVDA,C,2024-01-08,2024-01-19,2024-05-17,130,11,655.0,11.05,0.2072,33.45,tradier_close,2240.0,202.7
1,NVDA,C,2024-01-08,2024-01-19,2025-06-20,529,11,480.0,134.84,0.7085,193.0,tradier_close,5816.0,43.1
1,NVDA,C,2024-01-08,2024-01-19,2025-06-20,529,11,540.0,106.0,0.6246,159.22,tradier_close,5322.0,50.2
1,NVDA,C,2024-01-08,2024-01-19,2025-12-19,711,11,840.0,48.95,0.3433,77.07,tradier_close,2812.0,57.4
1,NVDA,C,2024-01-08,2024-01-19,2026-06-18,892,11,560.0,134.13,0.6489,188.92,tradier_close,5479.0,40.8
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,500.0,9.3,0.7751,95.0,tradier_close,8570.0,921.5
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,555.0,0.56,0.1432,39.47,tradier_close,3891.0,6948.2
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,645.0,0.03,0.0029,0.01,tradier_close,-2.0,-66.7
1,NVDA,C,2024-01-08,2024-01-19,2024-01-26,18,11,475.0,30.0,0.8813,119.7,tradier_close,8970.0,299.0
1,NVDA,C,2024-01-08,2024-01-19,2024-01-26,18,11,482.5,36.4,0.8457,109.34,tradier_close,7294.0,200.4
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,335.0,184.98,0.9999,257.92,tradier_close,7294.0,39.4
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,585.0,2.43,0.1728,30.14,tradier_close,2771.0,1140.3
1,NVDA,C,2024-01-08,2024-01-19,2024-09-20,256,11,380.0,162.64,0.866,234.47,athena_mid,7183.5,44.2
1,NVDA,C,2024-01-08,2024-01-19,2024-12-20,347,11,630.0,45.28,0.4337,87.6,tradier_close,4232.0,93.5
1,NVDA,C,2024-01-08,2024-01-19,2025-01-17,375,11,700.0,31.0,0.3471,69.03,tradier_close,3803.0,122.7
1,NVDA,C,2024-01-08,2024-01-19,2026-06-18,892,11,400.0,194.55,0.8091,267.0,tradier_close,7245.0,37.2
1,NVDA,C,2024-01-08,2024-01-19,2026-12-18,1075,11,350.0,250.13,0.8548,319.1,tradier_close,6897.0,27.6
1,NVDA,C,2024-01-08,2024-01-19,2026-12-18,1075,11,440.0,199.0,0.7772,266.02,tradier_close,6702.0,33.7
1,NVDA,C,2024-01-08,2024-01-19,2024-02-09,32,11,640.0,0.27,0.0354,6.6,tradier_close,633.0,2344.4
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,740.0,0.13,0.0013,0.74,tradier_close,61.0,469.2
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,920.0,0.02,0.0,0.02,tradier_close,0.0,0.0
1,NVDA,C,2024-01-08,2024-01-19,2024-03-15,67,11,900.0,0.07,0.0024,0.55,tradier_close,48.0,685.7
1,NVDA,C,2024-01-08,2024-01-19,2024-05-17,130,11,625.0,15.8,0.273,43.65,tradier_close,2785.0,176.3
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,160.0,357.0,0.9997,426.38,tradier_close,6938.0,19.4
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,340.0,185.78,0.94,262.93,athena_mid,7714.5,41.5
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,445.0,104.35,0.7826,166.5,tradier_close,6215.0,59.6
1,NVDA,C,2024-01-08,2024-01-19,2024-07-19,193,11,400.0,137.2,0.8583,210.85,tradier_close,7365.0,53.7
1,NVDA,C,2024-01-08,2024-01-19,2024-07-19,193,11,685.0,14.3,0.2322,38.15,tradier_close,2385.0,166.8
1,NVDA,C,2024-01-08,2024-01-19,2024-09-20,256,11,590.0,46.0,0.4619,91.2,tradier_close,4520.0,98.3
1,NVDA,C,2024-01-08,2024-01-19,2024-09-20,256,11,770.0,13.7,0.1834,30.39,tradier_close,1669.0,121.8
1,NVDA,C,2024-01-08,2024-01-19,2024-12-20,347,11,560.0,75.45,0.5549,123.67,tradier_close,4822.0,63.9
1,NVDA,C,2024-01-08,2024-01-19,2025-06-20,529,11,1000.0,14.35,0.1594,31.16,tradier_close,1681.0,117.1
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,345.0,155.0,1.0,235.48,tradier_close,8048.0,51.9
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,660.0,0.02,0.0011,0.01,tradier_close,-1.0,-50.0
1,NVDA,C,2024-01-08,2024-01-19,2024-01-26,18,11,570.0,0.59,0.1354,28.17,tradier_close,2758.0,4674.6
1,NVDA,C,2024-01-08,2024-01-19,2024-02-09,32,11,440.0,75.5,0.93,156.56,tradier_close,8106.0,107.4
1,NVDA,C,2024-01-08,2024-01-19,2024-03-15,67,11,140.0,375.78,0.9999,454.25,athena_mid,7847.0,20.9
1,NVDA,C,2024-01-08,2024-01-19,2024-03-15,67,11,550.0,15.55,0.4268,67.07,tradier_close,5152.0,331.3
1,NVDA,C,2024-01-08,2024-01-19,2024-05-17,130,11,695.0,6.35,0.1379,22.3,tradier_close,1595.0,251.2
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,565.0,31.7,0.4676,83.55,tradier_close,5185.0,163.6
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,710.0,7.75,0.1678,27.9,tradier_close,2015.0,260.0
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,745.0,6.7,0.1254,20.2,tradier_close,1350.0,201.5
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,1000.0,0.41,0.0144,2.46,tradier_close,205.0,500.0
1,NVDA,C,2024-01-08,2024-01-19,2024-09-20,256,11,560.0,58.78,0.5244,106.5,tradier_close,4772.0,81.2
1,NVDA,C,2024-01-08,2024-01-19,2025-01-17,375,11,495.0,104.0,0.6742,162.73,tradier_close,5873.0,56.5
