ticker,entry,hold_days,mae_close_%,mae_low_%,close<pivot?,close<10EMA?,close<20EMA?,intraday_pokes_<10EMA_that_held
NVDA,2024-01-08,8,0.0,-5.3,—,—,—,0
SMCI,2024-01-19,5,0.0,-20.0,—,—,—,0
MSTR,2024-02-08,6,0.0,-10.7,—,—,—,0
COIN,2024-02-09,24,-1.1,-3.4,—,d23,—,1
GLD,2024-03-01,34,0.0,-1.8,—,—,—,4
AAPL,2024-06-11,7,0.0,-6.5,—,d7,—,0
IWM,2024-07-11,6,0.0,-1.8,—,—,—,0
APP,2024-09-11,7,0.0,-10.7,—,—,—,0
MSTR,2024-10-11,5,-9.0,-12.6,d2,—,—,1
PLTR,2024-11-05,32,0.0,-8.4,—,d30,—,4
TSLA,2024-11-05,13,0.0,-2.1,—,—,—,0
BTC,2024-11-06,12,0.0,-3.5,—,—,—,0
