n,ticker,cp,setup,entry_px,dte,days_in,infer_strike,matched_open,delta,ret_at_exp_%,exit_basis,note
1,NVDA,C,Breakout,2.5,11,11,525.0,2.41,0.455,2801.0,~held to expiry,
2,SMCI,C,Breakout,5.0,7,7,375.0,4.8,0.8781,1966.0,~held to expiry,
3,MSTR,C,Breakout,5.0,8,8,605.0,4.5,0.389,2001.0,~held to expiry,
4,ARM,C,Earnings,3.0,8,5,108.0,3.0,0.6541,578.0,EARLY (needs exit-date px),
5,COIN,C,Breakout,5.0,35,37,175.0,4.5,0.2697,1397.0,~held to expiry,
6,SMCI,P,Exhaustion,5.0,0,1,970.0,5.0,-1.0,3234.0,~held to expiry,
7,GLD,C,Breakout,0.75,49,48,199.0,0.75,0.3045,2837.0,~held to expiry,
8,NVDA,P,Exhaustion,2.0,0,1,925.0,1.88,-1.0,2545.0,~held to expiry,
9,AAPL,C,Breakout,1.3,10,9,197.5,1.43,0.8419,599.0,~held to expiry,
10,BRKB,C,Breakout,2.4,36,13,430.0,2.28,0.2695,516.0,EARLY (needs exit-date px),
11,IWM,C,Breakout,1.24,8,8,210.0,1.24,0.5977,452.0,~held to expiry,
12,GEV,C,Breakout,3.4,22,15,200.0,3.4,0.3608,1237.0,EARLY (needs exit-date px),
13,APP,C,Breakout,1.5,9,9,96.0,1.31,0.5919,2197.0,~held to expiry,
14,BABA,C,Breakout,0.95,29,20,95.0,0.8,0.2237,829.0,EARLY (needs exit-date px),
15,MSTR,C,Breakout,4.0,7,8,202.5,4.05,0.6783,230.0,~held to expiry,
16,DJT,C,Catalyst,6.0,31,9,48.0,5.98,0.4553,-100.0,EARLY (needs exit-date px),
17,PLTR,C,Breakout,0.51,45,45,60.0,0.51,0.2317,3929.0,~held to expiry,
18,TSLA,C,Catalyst,1.44,17,17,300.0,1.44,0.124,3550.0,~held to expiry,
19,BTC,C,Breakout,4.2,16,15,,,,,,no results row (BTC excluded)
20,COST,C,Breakout,2.23,7,1,945.0,2.0,0.5083,-100.0,EARLY (needs exit-date px),
