number,ticker,entry,expiry,cp,status,entry_close,exp_close,mfe_px,und_move_to_exp_%,und_mfe_%,bars,profitable_dir
1,NVDA,2024-01-08,2024-01-19,C,ok,52.25,59.49,59.5,13.9,13.9,9,True
2,SMCI,2024-01-19,2024-01-26,C,ok,42.34,47.41,49.68,12.0,17.3,6,True
3,MSTR,2024-02-08,2024-02-16,C,ok,58.78,69.96,80.68,19.0,37.3,7,True
4,ARM,2024-02-08,2024-02-16,C,ok,113.89,128.34,164.0,12.7,44.0,7,True
5,COIN,2024-02-09,2024-03-15,C,ok,141.99,242.36,271.65,70.7,91.3,25,True
6,SMCI,2024-02-16,2024-02-16,P,ok,80.33,80.33,80.11,0.0,0.3,1,True
7,GLD,2024-03-01,2024-04-19,C,ok,192.89,221.03,225.09,14.6,16.7,35,True
8,NVDA,2024-03-08,2024-03-08,P,ok,87.53,87.53,86.51,0.0,1.2,1,True
9,AAPL,2024-06-11,2024-06-21,C,ok,207.15,207.49,220.2,0.2,6.3,8,True
10,BRKB,2024-07-11,2024-08-16,C,ok,418.78,444.51,449.25,6.1,7.3,27,True
11,IWM,2024-07-11,2024-07-19,C,ok,210.68,216.84,226.64,2.9,7.6,7,True
12,GEV,2024-08-29,2024-09-20,C,ok,191.36,245.46,250.85,28.3,31.1,16,True
13,APP,2024-09-11,2024-09-20,C,ok,97.57,126.09,128.19,29.2,31.4,8,True
14,BABA,2024-09-19,2024-10-18,C,ok,88.49,102.43,117.82,15.8,33.1,22,True
15,MSTR,2024-10-11,2024-10-18,C,ok,212.59,215.86,227.15,1.5,6.8,6,True
16,DJT,2024-10-22,2024-11-22,C,ok,34.39,30.77,54.68,-10.5,59.0,24,True
17,PLTR,2024-11-05,2024-12-20,C,ok,51.13,80.55,80.91,57.5,58.2,33,True
18,TSLA,2024-11-05,2024-11-22,C,ok,251.44,352.56,361.53,40.2,43.8,14,True
19,BTC,2024-11-06,2024-11-22,C,ok,43.4,56.49,56.86,30.2,31.0,13,True
20,COST,2024-11-08,2024-11-15,C,ok,943.8,907.07,962.0,-3.9,1.9,6,True
