number,ticker,cp,entry_date,expiration,strike,open_entry,delta_entry,underlying_at_exp,exit_intrinsic,profit,return_pct
1,NVDA,C,2024-01-08,2024-01-19,5.0,506.25,1.0,594.91,589.91,8366.0,16.5
1,NVDA,C,2024-01-08,2024-01-19,85.0,432.15,1.0,594.91,509.91,7776.0,18.0
1,NVDA,C,2024-01-08,2024-01-19,90.0,422.21,1.0,594.91,504.91,8270.0,19.6
1,NVDA,C,2024-01-08,2024-01-19,100.0,401.1,1.0,594.91,494.91,9381.0,23.4
1,NVDA,C,2024-01-08,2024-01-19,125.0,383.98,1.0,594.91,469.91,8593.0,22.4
1,NVDA,C,2024-01-08,2024-01-19,130.0,386.5,1.0,594.91,464.91,7841.0,20.3
1,NVDA,C,2024-01-08,2024-01-19,135.0,380.08,1.0,594.91,459.91,7983.0,21.0
1,NVDA,C,2024-01-08,2024-01-19,140.0,375.27,1.0,594.91,454.91,7964.0,21.2
1,NVDA,C,2024-01-08,2024-01-19,145.0,366.55,1.0,594.91,449.91,8336.0,22.7
1,NVDA,C,2024-01-08,2024-01-19,150.0,360.38,1.0,594.91,444.91,8453.0,23.5
1,NVDA,C,2024-01-08,2024-01-19,155.0,344.05,1.0,594.91,439.91,9586.0,27.9
1,NVDA,C,2024-01-08,2024-01-19,160.0,350.0,1.0,594.91,434.91,8491.0,24.3
1,NVDA,C,2024-01-08,2024-01-19,165.0,349.55,1.0,594.91,429.91,8036.0,23.0
1,NVDA,C,2024-01-08,2024-01-19,170.0,336.29,1.0,594.91,424.91,8862.0,26.4
1,NVDA,C,2024-01-08,2024-01-19,175.0,320.2,1.0,594.91,419.91,9971.0,31.1
1,NVDA,C,2024-01-08,2024-01-19,180.0,320.0,1.0,594.91,414.91,9491.0,29.7
1,NVDA,C,2024-01-08,2024-01-19,185.0,314.2,1.0,594.91,409.91,9571.0,30.5
1,NVDA,C,2024-01-08,2024-01-19,190.0,321.1,1.0,594.91,404.91,8381.0,26.1
1,NVDA,C,2024-01-08,2024-01-19,195.0,313.71,1.0,594.91,399.91,8620.0,27.5
1,NVDA,C,2024-01-08,2024-01-19,200.0,312.0,1.0,594.91,394.91,8291.0,26.6
1,NVDA,C,2024-01-08,2024-01-19,205.0,294.15,1.0,594.91,389.91,9576.0,32.6
1,NVDA,C,2024-01-08,2024-01-19,215.0,300.0,1.0,594.91,379.91,7991.0,26.6
1,NVDA,C,2024-01-08,2024-01-19,220.0,285.0,1.0,594.91,374.91,8991.0,31.5
1,NVDA,C,2024-01-08,2024-01-19,225.0,283.67,1.0,594.91,369.91,8624.0,30.4
1,NVDA,C,2024-01-08,2024-01-19,230.0,283.0,1.0,594.91,364.91,8191.0,28.9
1,NVDA,C,2024-01-08,2024-01-19,235.0,267.75,1.0,594.91,359.91,9216.0,34.4
