n,ticker,setup,tito_ret,my_at_exp,my_exit,exit_type
1,NVDA,Breakout,2500.0,2801.0,,held
2,SMCI,Breakout,2120.0,1966.0,,held
3,MSTR,Breakout,3340.0,2001.0,,held
4,ARM,Earnings,1966.0,578.0,368.0,early
5,COIN,Breakout,2300.0,1397.0,,held
6,SMCI,Exhaustion,2880.0,3234.0,,held
7,GLD,Breakout,3233.0,2837.0,,held
8,NVDA,Exhaustion,1600.0,2545.0,,held
9,AAPL,Breakout,977.0,599.0,,held
10,BRKB,Breakout,858.0,516.0,298.0,early
11,IWM,Breakout,1197.0,452.0,,held
12,GEV,Breakout,1332.0,1237.0,672.0,early
13,APP,Breakout,1747.0,2197.0,,held
14,BABA,Breakout,2269.0,829.0,1343.0,early
15,MSTR,Breakout,268.0,230.0,,held
16,DJT,Catalyst,217.0,-100.0,18.0,early
17,PLTR,Breakout,4018.0,3929.0,,held
18,TSLA,Catalyst,4205.0,3550.0,,held
19,BTC,Breakout,1505.0,,,held
20,COST,Breakout,842.0,-100.0,117.0,early
