ticker,date,ext10_%,gap_%,newhigh_over_open_%,open_to_close_%,close_pctl,range_%,vol_x,nextday_ft_%
MARA,2023-01-11,46.0,-0.9,7.9,-5.8,0.18,16.7,2.23,30.9
CVNA,2023-02-02,67.0,28.5,14.0,-18.2,0.13,37.1,5.38,1.4
MARA,2023-02-16,16.0,-3.4,12.8,-6.1,0.04,19.7,2.21,6.8
ANF,2023-05-25,25.0,0.1,2.3,-5.4,0.05,8.1,3.13,4.9
AVGO,2023-05-30,18.0,2.8,10.4,-3.8,0.04,14.7,5.28,0.6
PLTR,2023-06-07,10.0,3.6,7.2,-8.2,0.06,16.5,3.69,3.4
CVNA,2023-06-09,60.0,5.2,7.2,-25.2,0.04,33.9,4.85,11.5
ANF,2023-08-24,20.0,0.7,3.6,-1.4,0.03,5.2,2.08,-0.6
AFRM,2023-11-09,11.0,14.8,8.8,-0.4,0.16,10.9,3.53,-9.8
DJT,2023-11-27,11.0,1.4,6.0,-1.7,0.04,8.0,3.44,0.3
AFRM,2023-12-06,19.0,1.4,8.2,-0.9,0.03,9.3,2.24,2.7
AFRM,2023-12-20,18.0,1.1,1.7,-10.8,0.0,12.5,2.29,5.3
MARA,2023-12-20,28.0,7.5,3.0,-6.4,0.03,9.7,2.55,12.1
