row_id,arm,episode_idx,ticker,signal_date,entry_date,resistance,entry_date_leap,expiry,ticker_leap,strike,delta,entry_mid,bid,ask,open_interest,dte
0,A,0,GS,2014-01-08,2014-01-08,186.41,2014-01-08,2015-01-17,GS,190.0,0.4167,10.65,10.5,10.8,3059,374
1,B,0,GS,2014-01-08,2014-09-18,186.41,2014-09-18,2015-04-17,GS,195.0,0.4002,6.375,6.15,6.6,794,211
2,A,1,MS,2014-01-08,2014-01-08,33.27,2014-01-08,2015-01-17,MS,35.0,0.3971,2.035,2.03,2.04,14207,374
3,B,1,MS,2014-01-08,2014-01-17,33.27,2014-01-17,2015-01-17,MS,35.0,0.4751,2.71,2.66,2.76,14943,365
4,A,2,SLB,2014-01-08,2014-01-08,95.64,2014-01-08,2015-01-17,SLB,95.0,0.3791,4.475,4.4,4.55,1820,374
5,B,2,SLB,2014-01-08,2014-03-27,95.64,2014-03-27,2014-11-22,SLB,100.0,0.4366,4.7,4.65,4.75,137,240
6,A,3,CAT,2014-05-12,2014-05-12,116.95,2014-05-12,2015-01-17,CAT,110.0,0.4112,4.425,4.4,4.45,4260,250
7,A,4,MS,2014-05-19,2014-05-19,33.52,2014-05-19,2015-01-17,MS,32.0,0.4053,1.495,1.48,1.51,961,243
8,B,4,MS,2014-05-19,2014-08-25,33.52,2014-08-25,2015-04-17,MS,36.0,0.4128,1.64,1.6,1.68,0,235
9,A,5,AAPL,2014-05-27,2014-05-27,25.181071,2014-05-27,2015-01-17,AAPL,660.0,0.3954,27.625,27.4,27.85,3950,235
10,B,5,AAPL,2014-05-27,2014-08-27,25.181071,2014-08-27,2015-04-17,AAPL,108.57,0.4061,5.25,5.2,5.3,855,233
11,A,6,GS,2014-05-27,2014-05-27,181.13,2014-05-27,2015-01-17,GS,170.0,0.3819,5.6,5.5,5.7,6912,235
12,B,6,GS,2014-05-27,2014-09-12,181.13,2014-09-12,2015-04-17,GS,190.0,0.4005,6.375,6.2,6.55,250,217
13,A,7,BAC,2014-06-10,2014-06-10,18.15,2014-06-10,2015-01-17,BAC,17.0,0.3985,0.725,0.72,0.73,561497,221
14,A,8,CSCO,2014-06-10,2014-06-10,27.69,2014-06-10,2015-01-17,CSCO,26.0,0.3924,0.965,0.95,0.98,15467,221
15,B,8,CSCO,2014-06-10,2014-12-02,27.69,2014-12-02,2015-07-17,CSCO,29.0,0.3768,0.985,0.97,1.0,982,227
16,A,9,AAPL,2014-08-27,2014-08-27,25.6425,2014-08-27,2015-04-17,AAPL,108.57,0.4061,5.25,5.2,5.3,855,233
17,B,9,AAPL,2014-08-27,2014-09-02,25.6425,2014-09-02,2015-04-17,AAPL,110.0,0.3995,5.1,5.05,5.15,28415,227
18,A,10,C,2014-11-20,2014-11-20,55.28,2014-11-20,2016-01-15,C,60.0,0.3667,2.745,2.67,2.82,16995,421
19,B,10,C,2014-11-20,2014-12-05,55.28,2014-12-05,2015-09-18,C,60.0,0.3895,2.465,2.4,2.53,118,287
