ticker,date,close,resistance,pos_in_base,base_len_yrs,atr_rank,multiyr_range_pct
GS,2014-01-08,178.44,186.41,92.19698453103582,3.996031746031746,0.007936507936507936,57.24052902936562
MS,2014-01-08,31.56,33.27,92.11618257261406,4.099206349206349,0.007936507936507936,68.72623574144488
SLB,2014-01-08,86.98,95.64,80.30475324084604,2.9126984126984126,0.082010582010582,50.55185100022993
CAT,2014-05-12,106.2,116.95,82.67805349661617,3.107142857142857,0.06084656084656084,58.43691148775895
MS,2014-05-19,30.16,33.52,84.68550592525065,4.071428571428571,0.164021164021164,72.7453580901857
AAPL,2014-05-27,22.343929,25.181071,84.29481317464712,1.75,0.022486772486772486,80.849701948122
GS,2014-05-27,161.77,181.13,80.01238901507331,3.384920634920635,0.03835978835978836,59.87513135933733
BAC,2014-06-10,15.92,18.15,83.14436885865459,4.099206349206349,0.05291005291005291,83.10301507537687
CSCO,2014-06-10,25.0,27.69,81.30646282140374,4.099206349206349,0.013227513227513227,57.56
AAPL,2014-08-27,25.5325,25.6425,99.36156541374653,1.9603174603174602,0.005291005291005291,67.48122197199646
C,2014-11-20,53.52,55.28,94.80519480519482,1.503968253968254,0.013227513227513227,63.303437967115094
ABT,2015-05-22,49.03,54.24,83.76515274482811,4.091269841269841,0.21164021164021163,65.4527085457883
GE,2015-06-01,130.557778,137.25796,90.45020106840536,1.5277777777777777,0.16534391534391535,53.73900511695289
AMGN,2016-07-11,160.18,181.81,81.05456774984673,1.5833333333333333,0.167989417989418,71.27606442751903
INTC,2016-07-18,35.05,37.9,84.7348687734333,1.6428571428571428,0.13624338624338625,53.266761768901574
ABBV,2016-07-27,64.9,71.6,82.49281421478968,1.6666666666666667,0.05423280423280423,58.967642526964546
BLK,2016-08-01,368.32,382.84,93.3879781420765,1.6468253968253967,0.16137566137566137,59.62206776715898
CSCO,2016-08-29,31.58,31.7,99.28315412186379,1.5,0.06481481481481481,53.008233058898035
INTC,2016-11-30,34.7,38.36,80.86774699424988,2.0198412698412698,0.21825396825396826,55.129682997118145
BA,2016-12-29,155.69,160.07,95.0385138196647,1.8650793650793651,0.18121693121693122,56.702421478579225
XLV,2017-01-06,70.95,77.4,83.09748427672955,1.8095238095238095,0.12433862433862433,53.78435517970402
AAPL,2017-01-13,29.76,33.635,80.50944929562156,1.9126984126984128,0.0026455026455026454,66.80587701612902
DIS,2017-01-30,110.94,122.08,84.7980349344978,1.5674603174603174,0.07671957671957672,66.05372273300884
AMGN,2017-02-13,167.66,181.81,85.88528678304239,2.1785714285714284,0.18253968253968253,59.79362996540618
ABBV,2017-03-09,64.5,71.6,80.59579119978137,2.2817460317460316,0.011904761904761904,56.72868217054263
LLY,2017-03-14,84.46,92.85,81.48720211827008,1.6865079365079365,0.1335978835978836,53.658536585365844
CAT,2017-06-01,105.65,111.46,89.45553539019966,3.1031746031746033,0.2208994708994709,52.1533364884051
LLY,2017-06-22,84.31,92.85,81.15622241835835,1.9642857142857142,0.09523809523809523,53.754003083857185
MPC,2017-07-21,55.34,60.38,83.81502890173411,2.0277777777777777,0.0013227513227513227,56.27032887603903
DIS,2017-07-28,109.96,122.08,80.34700826982325,2.0634920634920637,0.1865079365079365,56.084030556566034
AMGN,2017-08-04,173.85,184.21,88.38043965903991,2.011904761904762,0.08333333333333333,51.2855910267472
AXP,2017-09-18,87.87,96.24,81.79247335218622,3.6626984126984126,0.011904761904761904,52.31592124729714
LLY,2017-10-16,85.95,92.85,84.77493380406004,2.2817460317460316,0.10978835978835978,52.728330424665494
NEM,2018-05-08,39.98,46.07,80.14993481095175,1.7698412698412698,0.11375661375661375,76.7383691845923
COP,2018-09-14,73.5,81.88,83.51367302773953,4.107142857142857,0.1164021164021164,69.156462585034
CVX,2018-10-05,125.33,133.88,86.70295489891136,4.107142857142857,0.21957671957671956,51.3045559722333
CVX,2019-07-11,125.43,133.88,86.85847589424574,1.5158730158730158,0.10978835978835978,51.26365303356454
BAC,2019-07-18,29.48,33.05,83.81686310063466,1.5,0.18253968253968253,74.83039348710989
XLF,2019-07-18,28.06,30.3255,85.1742259136469,1.5119047619047619,0.1931216931216931,54.45766571632218
BAC,2019-11-08,33.26,33.6,98.49624060150374,1.8015873015873016,0.2261904761904762,67.9795550210463
C,2019-11-22,74.87,80.7,87.37548722390646,1.9761904761904763,0.24206349206349206,61.68024575931614
NEM,2019-12-16,40.99,46.07,83.07794803464358,3.376984126984127,0.04894179894179894,73.23737496950476
INTC,2019-12-31,59.85,60.48,98.07926829268294,1.5753968253968254,0.08333333333333333,54.803675856307436
MS,2020-01-15,52.94,59.38,83.15238718116414,1.9841269841269842,0.006613756613756613,72.2043823196071
META,2020-01-27,214.87,222.75,94.09206777627831,1.507936507936508,0.23148148148148148,62.07474286778052
CSCO,2021-04-16,52.8,58.26,80.43010752688171,2.0396825396825395,0.17857142857142858,52.84090909090909
ABBV,2021-05-04,113.9,125.86,81.10882956878851,3.261904761904762,0.06746031746031746,55.5838454784899
C,2021-05-28,78.71,83.11,91.39111719819995,3.3412698412698414,0.23544973544973544,64.93456994028713
ABBV,2021-10-29,114.67,125.86,82.32506712999526,3.757936507936508,0.15079365079365079,55.21060434289701
COP,2021-11-03,72.74,80.24,87.37373737373737,3.115079365079365,0.20238095238095238,81.66070937585921
MPC,2022-01-14,74.74,88.45,81.26793277770187,3.384920634920635,0.03968253968253968,97.92614396574793
MPC,2022-04-20,90.98,91.875,98.83182144488678,3.5634920634920637,0.042328042328042326,84.21081556386018
OXY,2022-10-25,71.09,83.35,83.61619671254846,4.099206349206349,0.10185185185185185,105.26093684062457
PSX,2022-11-29,108.97,119.92,86.29193790686031,3.0912698412698414,0.164021164021164,73.30457924199321
CAT,2022-12-14,234.48,246.69,92.32992022111941,1.746031746031746,0.24603174603174602,67.89065165472536
MA,2023-01-13,375.52,401.5,88.68516179608902,1.8571428571428572,0.13624338624338625,61.144546229228816
MS,2023-02-13,99.43,109.73,87.51968980976615,1.5,0.06481481481481481,83.00311777129639
V,2023-02-13,228.88,252.67,80.07036943955768,1.6071428571428572,0.24074074074074073,52.15396714435511
XLI,2023-03-07,102.15,107.88,90.47698188466015,1.8492063492063493,0.23412698412698413,58.90357317670092
XLV,2023-04-12,133.92,143.42,86.40526617057813,1.6468253968253967,0.1865079365079365,52.180406212664266
V,2023-04-19,232.57,252.67,83.07225871652349,1.7857142857142858,0.05026455026455026,51.0555961645956
MSFT,2023-05-17,314.0,349.67,84.56445540698428,1.5317460317460319,0.1693121693121693,73.5955414012739
NVDA,2023-05-24,30.538,34.647,86.88561215370866,1.5,0.09259259259259259,102.60003929530419
XLK,2023-06-08,82.595,88.52,89.12245272627135,1.5753968253968254,0.24735449735449735,65.94830195532417
AAPL,2023-06-15,186.01,186.52,99.64571646897413,1.503968253968254,0.015873015873015872,77.38965647008227
TXN,2023-07-17,183.4,202.26,82.72419162773656,2.2817460317460316,0.22486772486772486,59.525627044711
PSX,2023-07-21,105.73,119.92,82.23585378067101,3.7261904761904763,0.003968253968253968,75.55093161827295
JPM,2023-07-24,158.0,172.96,84.42477876106193,2.1825396825396823,0.01984126984126984,60.79113924050633
MS,2023-07-24,94.67,109.73,81.75209014903672,1.9365079365079365,0.06349206349206349,87.17650786944121
MSFT,2023-09-05,333.55,366.78,85.91949152542374,1.7738095238095237,0.23941798941798942,70.75400989356918
GOOGL,2023-09-12,135.34,151.54658,83.97024106486171,2.0317460317460316,0.16005291005291006,74.70302940741836
V,2023-09-26,229.65,252.67,80.6131042614115,2.2222222222222223,0.1283068783068783,51.704768125408215
UNH,2023-10-10,524.24,558.1,90.85803769102003,1.503968253968254,0.027777777777777776,70.65084694033267
DE,2023-11-03,382.2,450.0,80.28267318094574,1.619047619047619,0.21164021164021163,89.96860282574569
META,2023-11-16,334.19,384.33,83.07453416149067,2.3174603174603177,0.19047619047619047,88.64418444597385
XLK,2023-11-21,91.975,92.965,98.31961300178222,1.9007936507936507,0.16005291005291006,64.05544985050287
ADBE,2023-11-29,617.39,699.54,81.5147591653267,2.246031746031746,0.167989417989418,71.98182672216913
JPM,2023-11-29,154.32,172.96,80.59344091618948,2.5396825396825395,0.0026455026455026454,62.2407983411094
XLV,2023-11-29,129.68,143.42,80.33772180881513,2.2817460317460316,0.1111111111111111,53.886489821098074
COST,2023-12-06,607.43,612.27,98.5806035367606,1.6785714285714286,0.167989417989418,56.13650955665675
XLE,2023-12-06,40.955,47.355,82.18014757065293,1.5158730158730158,0.0873015873015873,87.69381027957515
XLF,2023-12-13,37.2,41.6975,81.42104719611693,2.1547619047619047,0.015873015873015872,65.07392473118279
ABBV,2023-12-15,154.04,175.91,80.7074805928017,1.6904761904761905,0.21031746031746032,73.59127499350818
AXP,2023-12-28,187.8,199.55,91.13542059600151,1.880952380952381,0.005291005291005291,70.580404685836
FCX,2023-12-28,43.02,51.99,80.98367606529574,1.8253968253968254,0.0013227513227513227,109.6466759646676
GS,2023-12-28,386.41,426.1582,86.5400960758963,2.380952380952381,0.0026455026455026454,76.4235397634637
MS,2023-12-28,93.64,109.73,80.50405913001333,2.373015873015873,0.015873015873015872,88.13541221700129
HD,2024-03-12,374.54,420.61,83.54525323237374,2.2976190476190474,0.017195767195767195,74.75303038393764
TMO,2024-03-12,597.25,672.34,82.21164096368416,2.3452380952380953,0.02513227513227513,70.67894516534115
OXY,2024-03-19,64.06,77.1299,80.95041677658763,1.7936507936507937,0.0013227513227513227,107.10256009990636
XLV,2024-03-19,145.78,148.2701,96.66787546115955,2.2142857142857144,0.05555555555555555,51.26224447798052
EOG,2024-03-25,127.25,150.88,80.92507339770214,1.7936507936507937,0.0013227513227513227,97.35159135559921
AMZN,2024-03-26,178.3,188.65391,90.35520611012413,2.7182539682539684,0.10052910052910052,60.20881660123387
RTX,2024-03-26,96.06,108.84,80.4602453141283,2.0634920634920637,0.011904761904761904,68.08777847178847
WFC,2024-03-26,56.68,60.3,90.84471421345475,2.1825396825396823,0.007936507936507936,69.76005645730416
CVX,2024-04-10,162.67,189.68,80.43887601390497,1.8531746031746033,0.0013227513227513227,84.88350648552286
MS,2024-05-08,95.64,109.73,82.06694667175766,2.7301587301587302,0.04365079365079365,82.15181932245923
COP,2024-05-15,120.7,138.49,83.96719538572458,1.5198412698412698,0.062169312169312166,91.930405965203
CRM,2024-05-15,287.54,318.715,83.79467186484733,2.5277777777777777,0.24603174603174602,66.9037351325033
TMO,2024-05-15,599.02,672.34,80.79723429888428,2.5238095238095237,0.10846560846560846,63.740776601782926
UNH,2024-05-22,521.35,558.1,87.74673246198986,2.119047619047619,0.22354497354497355,57.527572647933255
