ticker,edate,year,ivp,credit,pnl,days,exit,mark_cov,roc,win
DIA,2018-04-06,2018,80.0,3.375,2.27,14,profit_take,0.7142857142857143,0.6725925925925926,1
EEM,2018-04-06,2018,75.38461538461539,0.7649999999999999,0.7649999999999999,21,expiry_win,0.047619047619047616,1.0,1
EFA,2018-04-06,2018,53.84615384615385,0.585,0.585,21,expiry_win,0.047619047619047616,1.0,1
FXI,2018-04-06,2018,84.61538461538461,0.9550000000000001,0.9550000000000001,21,expiry_win,0.047619047619047616,1.0,1
GDX,2018-04-06,2018,76.92307692307693,0.435,0.435,21,expiry_win,0.14285714285714285,1.0,1
GLD,2018-04-06,2018,43.07692307692308,0.915,0.915,21,expiry_win,0.14285714285714285,1.0,1
IWM,2018-04-06,2018,81.53846153846153,2.04,2.04,21,expiry_win,0.047619047619047616,1.0,1
QQQ,2018-04-06,2018,87.6923076923077,3.015,1.735,17,profit_take,0.6470588235294118,0.5754560530679934,1
SLV,2018-04-06,2018,70.0,0.1699999999999998,0.15999999999999978,21,expiry_win,0.38095238095238093,0.9411764705882352,1
SPY,2018-04-06,2018,80.0,3.46,1.98,14,profit_take,0.7142857142857143,0.5722543352601156,1
TLT,2018-04-06,2018,12.307692307692308,0.7499999999999999,0.6399993896484374,21,expiry_win,0.14285714285714285,0.85333251953125,1
TQQQ,2018-04-06,2018,87.6923076923077,8.2,4.75,14,profit_take,0.7142857142857143,0.5792682926829269,1
UNG,2018-04-06,2018,23.809523809523807,0.35499999999999987,0.35499999999999987,21,expiry_win,0.19047619047619047,1.0,1
UPRO,2018-04-06,2018,80.0,5.675,3.8,14,profit_take,0.7142857142857143,0.6696035242290749,1
XBI,2018-04-06,2018,90.625,2.1950000000000003,1.2750018310546878,21,expiry_win,0.0,0.5808664378381265,1
XLB,2018-04-06,2018,86.15384615384616,0.89,0.89,21,expiry_win,0.047619047619047616,1.0,1
XLE,2018-04-06,2018,73.84615384615385,1.08,1.08,21,expiry_win,0.047619047619047616,1.0,1
XLP,2018-04-06,2018,58.46153846153847,0.5599999999999999,0.3300004577636718,21,expiry_win,0.14285714285714285,0.5892865317208426,1
XLU,2018-04-06,2018,21.53846153846154,0.49,0.49,21,expiry_win,0.047619047619047616,1.0,1
XOP,2018-04-06,2018,87.6923076923077,0.855,0.855,21,expiry_win,0.047619047619047616,1.0,1
DIA,2018-04-13,2018,45.714285714285715,3.04,1.7000000000000002,10,profit_take,0.6,0.5592105263157895,1
EEM,2018-04-13,2018,60.0,0.7149999999999999,0.7149999999999999,21,expiry_win,0.09523809523809523,1.0,1
EFA,2018-04-13,2018,34.285714285714285,0.53,0.53,21,expiry_win,0.047619047619047616,1.0,1
FXI,2018-04-13,2018,37.142857142857146,0.7899999999999998,0.7899999999999998,21,expiry_win,0.047619047619047616,1.0,1
GDX,2018-04-13,2018,38.57142857142858,0.37,0.37,21,expiry_win,0.19047619047619047,1.0,1
GLD,2018-04-13,2018,84.28571428571429,1.12,0.16000091552734386,21,expiry_win,0.19047619047619047,0.1428579602922713,1
IWM,2018-04-13,2018,55.714285714285715,1.79,1.79,21,expiry_win,0.047619047619047616,1.0,1
QQQ,2018-04-13,2018,61.42857142857143,2.41,1.5950000000000002,13,profit_take,0.6923076923076923,0.6618257261410789,1
SPY,2018-04-13,2018,45.714285714285715,2.8499999999999996,1.4549999999999996,10,profit_take,0.6,0.5105263157894736,1
TLT,2018-04-13,2018,18.571428571428573,0.78,0.7699978637695313,21,expiry_win,0.09523809523809523,0.9871767484224759,1
TQQQ,2018-04-13,2018,61.42857142857143,6.800000000000001,4.525,13,profit_take,0.6923076923076923,0.6654411764705882,1
UNG,2018-04-13,2018,45.588235294117645,0.4099999999999999,0.4099999999999999,21,expiry_win,0.14285714285714285,1.0,1
UPRO,2018-04-13,2018,45.714285714285715,4.574999999999999,2.3249999999999993,10,profit_take,0.6,0.5081967213114753,1
XBI,2018-04-13,2018,34.78260869565217,1.685,1.685,21,expiry_win,0.19047619047619047,1.0,1
XLB,2018-04-13,2018,52.85714285714286,0.715,0.715,21,expiry_win,0.0,1.0,1
XLE,2018-04-13,2018,58.57142857142858,1.06,1.06,21,expiry_win,0.047619047619047616,1.0,1
XLF,2018-04-13,2018,68.75,0.44499999999999995,0.44499999999999995,21,expiry_win,0.14285714285714285,1.0,1
XLP,2018-04-13,2018,62.857142857142854,0.5800000000000001,0.5800000000000001,21,expiry_win,0.047619047619047616,1.0,1
XLU,2018-04-13,2018,27.142857142857142,0.49,0.49,21,expiry_win,0.0,1.0,1
XOP,2018-04-13,2018,51.42857142857142,0.79,0.79,21,expiry_win,0.047619047619047616,1.0,1
DIA,2018-04-20,2018,45.33333333333333,2.7,1.4150000000000003,10,profit_take,0.6,0.5240740740740741,1
EEM,2018-04-20,2018,42.66666666666667,0.6399999999999999,0.6399999999999999,21,expiry_win,0.09523809523809523,1.0,1
EFA,2018-04-20,2018,37.333333333333336,0.53,0.53,21,expiry_win,0.09523809523809523,1.0,1
FXI,2018-04-20,2018,20.0,0.685,0.5250001525878907,21,expiry_win,0.14285714285714285,0.7664235804202782,1
GDX,2018-04-20,2018,46.666666666666664,0.375,0.375,21,expiry_win,0.19047619047619047,1.0,1
GLD,2018-04-20,2018,40.0,0.925,0.925,21,expiry_win,0.047619047619047616,1.0,1
IWM,2018-04-20,2018,46.666666666666664,1.72,0.880003662109375,21,expiry_win,0.19047619047619047,0.5116300361101017,1
QQQ,2018-04-20,2018,60.0,2.3899999999999997,1.3349999999999997,10,profit_take,0.6,0.5585774058577405,1
SPY,2018-04-20,2018,45.33333333333333,2.565,1.355,7,profit_take,0.7142857142857143,0.5282651072124757,1
TLT,2018-04-20,2018,26.666666666666668,0.8049999999999998,0.8049999999999998,21,expiry_win,0.09523809523809523,1.0,1
TQQQ,2018-04-20,2018,60.0,6.525,3.5000000000000004,10,profit_take,0.6,0.5363984674329503,1
UNG,2018-04-20,2018,24.65753424657534,0.35,0.35,21,expiry_win,0.047619047619047616,1.0,1
UPRO,2018-04-20,2018,45.33333333333333,4.275,2.3000000000000007,10,profit_take,0.6,0.5380116959064328,1
XBI,2018-04-20,2018,67.56756756756756,1.89,1.89,21,expiry_win,0.09523809523809523,1.0,1
XLB,2018-04-20,2018,46.666666666666664,0.6950000000000001,0.6950000000000001,21,expiry_win,0.047619047619047616,1.0,1
XLE,2018-04-20,2018,52.0,1.05,1.05,21,expiry_win,0.14285714285714285,1.0,1
XLF,2018-04-20,2018,37.68115942028986,0.35,0.35,21,expiry_win,0.047619047619047616,1.0,1
XLP,2018-04-20,2018,72.0,0.6,0.6,21,expiry_win,0.19047619047619047,1.0,1
XLU,2018-04-20,2018,24.0,0.48,0.48,21,expiry_win,0.14285714285714285,1.0,1
XOP,2018-04-20,2018,33.33333333333333,0.7649999999999999,0.7649999999999999,21,expiry_win,0.14285714285714285,1.0,1
DIA,2018-04-27,2018,30.0,2.6799999999999997,1.5099999999999998,11,profit_take,0.6363636363636364,0.5634328358208955,1
EEM,2018-04-27,2018,41.25,0.61,0.61,21,expiry_win,0.047619047619047616,1.0,1
EFA,2018-04-27,2018,13.750000000000002,0.42999999999999994,0.42999999999999994,21,expiry_win,0.047619047619047616,1.0,1
FXI,2018-04-27,2018,20.0,0.69,0.69,21,expiry_win,0.19047619047619047,1.0,1
GDX,2018-04-27,2018,22.5,0.32,0.32,21,expiry_win,0.09523809523809523,1.0,1
GLD,2018-04-27,2018,11.25,0.785,-0.30499633789062497,21,expiry_loss,0.047619047619047616,-0.38853036673964964,0
IWM,2018-04-27,2018,23.75,1.56,-2.3099951171875,21,expiry_loss,0.14285714285714285,-1.4807661007612178,0
QQQ,2018-04-27,2018,48.75,2.225,1.52,21,expiry_win,0.6190476190476191,0.6831460674157304,1
