group,exit,measure,n,mean,gross,t,h1,h2,yrs_pos,win,PASS,primary
pooled,take,abs,1689,2.2008365159293666,4.4844976144453925,4.450503272963666,2.328098822591987,2.1171606126281346,11/14,0.8804026050917703,True,True
pooled,take,diff,1687,-1.0059326651768714,,1.6949618408304548,-0.7258431523530857,-1.189999348948101,6/14,,False,False
pooled,hold,abs,1689,3.437002798053943,5.1113607567101775,5.04957119709464,2.7085362567294746,3.9159749106029063,11/14,0.8342214328004737,True,False
pooled,hold,diff,1687,-0.9765827122948413,,2.0780799261442273,-1.2408566460796018,-0.8029095672044632,9/14,,False,False
ETFs,take,abs,444,0.9361728896442301,2.8069253030530703,2.1696303660765013,0.9646921898555948,0.9152290285515094,9/14,0.8806306306306306,False,False
ETFs,take,diff,444,-1.7552245870392553,,0.6617537671119188,-1.0122211855719838,-2.300867709991783,6/14,,False,False
ETFs,hold,abs,444,2.347954640761436,3.3772233122707234,2.9476805818749523,1.3116514756575588,3.108989777634596,11/14,0.8445945945945946,False,False
ETFs,hold,diff,444,-1.9835302791002987,,0.9607353545892015,-2.1053926802925957,-1.8940375782247048,7/14,,False,False
names,take,abs,1245,2.651849086267198,5.082670433812045,4.260279203465174,2.8598839822485056,2.5204299252409994,11/14,0.8803212851405623,True,False
names,take,diff,1243,-0.7382853495639199,,1.6043082110930766,-0.6139116133818742,-0.816794230277258,5/14,,False,False
names,hold,abs,1245,3.8253862372811502,5.729703034575206,4.897291465794029,3.2533792833716317,4.186732700956625,12/14,0.8305220883534137,True,False
names,hold,diff,1243,-0.6169007173940986,,2.0367592252605933,-0.9029506701294083,-0.43633637715041856,8/14,,False,False
