group,date,n,med_dd,breadth,raw20,raw40,ex20,ex40,post40
Apparel Retail,2022-07-22,10,-47.5,57.7,6.771847763788688,-1.2612075105365637,-2.313992424748231,-4.951002798481614,-9.396323308597452
Biotechnology,2016-03-31,8,-45.1,93.5,7.794141787557127,5.87957408404101,-3.037980782831899,-3.227269599195167,4.019487186876239
Crypto,2024-09-26,9,-41.1,77.6,18.601040279935837,54.81030365811635,11.010466919953199,26.820811968007167,68.27396145365836
Crypto,2025-04-25,9,-55.4,34.2,19.13574362762705,29.72169065580539,8.206804486385282,8.366647715804568,64.75028943862412
Gold,2013-06-06,6,-41.0,60.6,-25.308932997153732,-19.779735799324587,-26.749393383824373,-30.434951770896394,16.074045204130872
Health Information Services,2026-04-15,7,-42.0,59.3,-0.08197673740706587,6.079378517297131,-1.342814756250868,0.709305949709392,21.21881770180081
Internet Content & Information,2022-03-29,11,-40.7,75.0,-27.15377427217031,-30.213678025557307,-12.204106395423036,-8.598289177761304,-24.587957170343273
Internet Content & Information,2022-07-19,7,-61.3,48.4,5.526387486498081,-4.8762339570601245,-8.847068013480019,-10.756403141195241,-16.47153153725964
Internet Content & Information,2022-11-15,9,-63.8,81.3,-5.01740148244272,-0.9422471679936165,-2.35569523772868,-1.6529586245201657,8.868746846896608
Internet Retail,2022-03-18,9,-54.8,57.5,-12.518156260219545,-38.35228622787386,-6.68062093018824,-14.640888138769649,-36.77680670890361
Internet Retail,2022-06-24,8,-66.8,23.5,6.438014290386942,9.193347307248883,6.4712691634079285,3.196149898390621,0.07035669286355173
Internet Retail,2022-11-10,8,-49.6,78.7,0.17978719101059415,-0.591497507521165,3.4424366964762276,4.563456762838138,13.406623055144179
Oil & Gas E&P,2015-10-05,15,-49.6,42.3,0.41427455632332194,-0.6704197562294335,-3.2235899548951172,-4.6859294258933435,-23.11467865899907
Oil & Gas E&P,2016-01-29,14,-41.6,30.3,-10.902718081904675,13.507436919905313,-12.151492394587008,5.615869453248012,46.00381195274456
Oil & Gas E&P,2019-09-11,8,-40.7,63.4,-14.302469260163612,-9.006341709103049,-7.7054551639864775,-9.40559578229802,-12.839192019378363
Oil & Gas E&P,2020-04-23,7,-67.1,34.5,13.739626289537428,24.23057419089134,-1.2454834473968028,-2.8314644965669435,5.239663076299751
Oil & Gas E&P,2020-11-09,8,-54.7,72.8,31.659798367102148,51.535582754972424,4.071727113405881,13.557968707300837,33.77532840882755
Resorts & Casinos,2020-04-28,6,-50.0,62.6,38.102669819480816,34.44692894216643,23.643158334526774,19.472422946168393,18.655047954388714
Semiconductors,2025-05-02,25,-44.0,57.8,11.190189467829288,27.61581911177989,3.9070591065572393,10.407034198657666,19.483557559673475
Software - Application,2022-07-07,32,-47.0,33.0,7.9704339447060235,-2.2954692399966024,-1.4952838517927596,-5.576784780928002,-2.683734803333232
Software - Application,2022-11-11,29,-49.1,80.6,-3.1045215758554376,-4.732079605991515,0.2848843225728537,-2.234546446467832,5.463106497916926
Travel Services,2020-04-29,6,-61.7,78.3,2.9913979658522436,0.2189684799900462,-3.3112230670328486,-11.020271994427917,30.01313051824036
Travel Services,2022-08-03,6,-53.7,77.6,-1.1008492099178613,-3.3498137076744796,3.735459716074794,11.21061098184895,-4.410400565120884
