feature,dir,N,dates,sel_meanR,day_meanR,delta,t,h1,h2,both_halves,passes,ext_vs_day
dolvol_musd,desc,2,1442,0.13911698589976382,0.05027404553340273,0.08884294036636109,3.483274384717016,0.0434792525704453,0.1342066281622769,True,True,0.3608330723651877
dolvol_musd,desc,1,1442,0.17439425095057626,0.05027404553340273,0.1241202054171735,3.3424722346149562,0.07008042991149023,0.1781599809228568,True,False,0.3760035405753277
dolvol_musd,desc,3,1359,0.10990048220666239,0.04857608704379682,0.06132439516286557,2.9664065424407235,0.0342915576932733,0.08831747845970843,True,False,0.3318502150663557
dolvol_musd,desc,5,1100,0.09887848973906573,0.05137487641622964,0.04750361332283607,2.768281908990986,0.03206076596573942,0.06294646067993273,True,False,0.28657511477348074
pct_off_52w_high,asc,2,1420,0.1055657788905142,0.05081282975733263,0.054752949133181614,2.201964292352424,0.08381802385305803,0.025687874413305188,True,False,-0.004716145854258724
pct_off_52w_high,asc,1,1420,0.11590181192157263,0.05081282975733263,0.06508898216424001,1.8224319182384592,0.08303118335955335,0.04714678096892668,True,False,0.0017124004470684406
gap_ADR,asc,3,1359,0.08192728952571168,0.04857608704379682,0.03335120248191487,1.743348504703303,0.030916507393968458,0.03578231713590843,True,False,-0.16120935812816806
adr_pct,desc,1,1442,0.10928503206894226,0.05027404553340273,0.05901098653553954,1.5947502058807794,0.08423093248991263,0.03379104058116644,True,False,0.03838882363000995
dist_21ema_ADR,desc,1,1442,0.11013003049638975,0.05027404553340273,0.05985598496298702,1.5098203117465308,0.08540564722613815,0.034306322699835884,True,False,1.1540257002475518
adr_pct,desc,2,1442,0.0852177569689282,0.05027404553340273,0.03494371143552545,1.3806411032926362,0.058105592218718416,0.011781830652332483,True,False,0.034635727078561884
sma_stacked,desc,2,1442,0.08236560421212206,0.05027404553340273,0.03209155867871934,1.3538858140479524,0.03154349665540461,0.03263962070203406,True,False,0.01279353668974259
sma_stacked,desc,5,1100,0.07095076724044458,0.05137487641622964,0.019575890824214934,1.2236224493700874,0.03079696269165187,0.008354818956778006,True,False,-0.003102548274908634
sma_stacked,desc,1,1442,0.09212304733991952,0.05027404553340273,0.041849001806516774,1.198474602514136,0.029091549761069566,0.05460645385196399,True,False,0.03534893396407335
adr_pct,desc,3,1359,0.07290830854890706,0.04857608704379682,0.024332221505110233,1.1723410021701774,0.036144419557246746,0.012537394332462155,True,False,0.018782393298276467
