tenor,stop,contrast,mean,t,n_cl,h1,h2,passes_sidak
M,T05,ab,0.23476605625325384,0.8391325385139285,98,-0.004589218759371907,0.44119386935052485,False
M,T05,ac,0.1591009745877085,0.5558108539567002,98,-0.0666817012634436,0.35382333451374237,False
M,T05,cb,0.07566508166554539,2.353040875195894,98,0.062092482504071685,0.08737053483678248,False
M,T05,ab_chop-trend,-0.25546907764147175,-0.553668402058569,141,,,False
M,LOW,ab,0.2654353185950717,1.0019945854206715,98,0.07314436831698752,0.43127331962599597,False
M,LOW,ac,0.18968016238882007,0.70622737759242,98,-0.004465531022231082,0.35711775452453753,False
M,LOW,cb,0.0757551562062517,2.1509083290678834,98,0.07760989933921862,0.07415556510145843,False
M,LOW,ab_chop-trend,-0.2812069473873478,-0.6199160381793575,141,,,False
M,T10,ab,0.15536686006943526,0.5362342171025295,98,-0.09156346515887803,0.3683276440821953,False
M,T10,ac,0.07212247978155803,0.17974488495229796,98,-0.16671549975377523,0.27810416035011426,False
M,T10,cb,0.08324438028787721,2.838134341233284,98,0.0751520345948972,0.09022348373208107,False
M,T10,ab_chop-trend,-0.29226770100437827,-0.6601876771159363,141,,,False
W,T05,ab,0.0489597513825114,0.8491540759748037,412,-0.026938651453733302,0.11388889803002562,False
W,T05,ac,0.030054905183472085,0.5695877783888583,412,-0.039655742335009535,0.08969058507236673,False
W,T05,cb,0.01890484619903932,1.294140812354766,412,0.012717090881276231,0.024198312957658848,False
W,T05,ab_chop-trend,-0.08310159040389839,-0.6205648702075472,275,,,False
W,LOW,ab,0.05315779733207615,0.9183877316265321,412,-0.021188374792870543,0.11675905022005902,False
W,LOW,ac,0.03590312942083064,0.6880514213155448,412,-0.034872045892634436,0.09644948567085987,False
W,LOW,cb,0.017254667911245497,1.1104467184390212,412,0.013683671099763905,0.02030956454919913,False
W,LOW,ab_chop-trend,-0.07723351502190802,-0.5763198819270008,275,,,False
W,T10,ab,0.02417247801619997,0.40184411184472313,412,-0.05379116541826561,0.09086838528914656,False
W,T10,ac,0.0028621946803396247,-0.04024902470888909,412,-0.06324136759638634,0.05941210520018251,False
W,T10,cb,0.02131028333586035,1.7056630615229482,412,0.009450202178120717,0.031456280088964055,False
W,T10,ab_chop-trend,-0.058708466536887126,-0.47450379239371965,275,,,False
