group,pop,rung,role,n,excess,t,h1,h2,yrs,PASS
SURV,P2,K0,T1 method check,11119,-0.8784261826008811,-3.7911360374190632,-0.7767391534744308,-0.9696300128483162,15/17,True
SURV,P2,K3,T1 method check,10526,-0.8341311696099922,-4.508539165838851,-0.7630246129762843,-0.8971740961099806,15/17,True
SURV,P2,K1c,context,10729,-0.6003437688238845,-2.5978473194001217,-0.2787943696803,-0.888743745375347,14/17,False
SURV,P1,K0,context,1951,-0.4496791024161797,-0.4699226708411217,1.368697458442861,-0.8602802613198341,10/15,False
SURV,P1,K1c,context,1919,-0.4758914871505174,-0.699623708004936,1.5951085767907818,-0.9821359472250571,9/15,False
ALL,P2,K0,T2 PRIMARY,20256,-0.7667858374577677,-4.314002084419554,-0.7133340878820078,-0.8147270973865425,16/17,True
ALL,P2,K3,T2 PRIMARY,19064,-0.6962368556997968,-4.831079336378777,-0.6494744328902032,-0.7381784101785044,15/17,True
ALL,P2,K1c,context,19542,-0.650534832634014,-3.6911929439591615,-0.5303537643938196,-0.7583261000247038,16/17,True
ALL,P1,K0,context,4304,-0.9730597874986785,-1.6560297767776284,-1.326020272865065,-0.7183460351724201,15/17,False
ALL,P1,K1c,context,4218,-1.6466164950781577,-3.167356276351674,-2.919426217520492,-0.6756070161015317,15/17,True
NONSURV,P2,K0,T2 PRIMARY,8961,-0.6804532216854036,-3.0033568999023927,-0.8583719287918673,-0.5208766493321837,15/17,True
NONSURV,P2,K3,T2 PRIMARY,8396,-0.6999612250459618,-3.5973747919145627,-0.8474335845455669,-0.567692201577244,15/17,True
NONSURV,P2,K1c,context,8593,-0.6124267685842539,-2.821591997080049,-0.7364094009216933,-0.5012258509207774,14/17,False
NONSURV,P1,K0,context,1609,-2.05826494762954,-3.0757225071081487,-3.162561399986442,-1.364869500800788,15/17,True
NONSURV,P1,K1c,context,1568,-2.4745711367324654,-3.581421991317055,-4.5979827580381345,-1.034556359065403,12/17,True
NONSURV,P2,K1c support-diff,T3,2974,0.2529137221388096,0.5759627235243652,-0.14838043984460375,0.6087002987426606,,False
NONSURV,P1,K1c support-diff,T3,492,-0.5712158998107005,-0.5493250603396431,-1.5677321552622598,-0.22994320958756395,,False
