horizon,rvol,dose,n_hit,n_non,dates,hit_ret,non_ret,edge,t,h1,h2,agree
21d,ALL,>=1,7754,36074,1005,0.8099844117793364,1.1707729016399737,-0.3607884898606373,-1.0009477377366298,-0.8173922540497164,0.029262327149590657,False
21d,ALL,>=2,2796,36074,552,-0.3493785988868323,0.6504055529605824,-0.9997841518474148,-2.044485430198358,-1.1958914963117897,-0.8064984957925987,True
21d,RVOL < 1.8,>=1,6557,29325,921,0.8294553324476264,1.018001194394555,-0.18854586194692866,-0.5204224727476993,-0.4668485787963142,0.042727568754946384,False
21d,RVOL < 1.8,>=2,2402,29325,492,-0.3296636598873217,0.41171912855330906,-0.7413827884406308,-1.4413946060755243,-0.7435212439895673,-0.7392958619410661,True
21d,RVOL >= 1.8,>=1,1197,6434,463,-0.3100915590100406,1.3079726474194346,-1.618064206429475,-1.8561602139830835,-3.4202343459284745,-0.17352316076101662,True
21d,RVOL >= 1.8,>=2,394,6434,167,-0.9320949714273943,0.05486685230572904,-0.9869618237331229,-0.7955173337051211,-1.8333678529629638,-0.1897654473654824,True
63d,ALL,>=1,7754,36074,963,5.86581874521642,5.75963551234134,0.10618323287507822,0.17088826437273844,-0.07640788801592487,0.2752626108201462,False
63d,ALL,>=2,2796,36074,510,4.345673898394104,7.099462444129572,-2.753788545735469,-2.7961912803713527,-2.1280944736824274,-3.4802299683733224,True
63d,RVOL < 1.8,>=1,6557,29325,879,5.712518652537266,4.686482919649689,1.0260357328875769,1.6124680202093018,1.0337142111936068,1.019073468393172,True
63d,RVOL < 1.8,>=2,2402,29325,450,3.635729397642487,5.184846868317634,-1.5491174706751476,-1.5426266173711216,-1.162005039765331,-2.003553802612758,True
63d,RVOL >= 1.8,>=1,1197,6434,431,4.927706228466321,8.697108696628495,-3.7694024681621765,-2.238248227454019,-7.603628753386575,-0.25895529146783625,True
63d,RVOL >= 1.8,>=2,394,6434,142,4.357781273157789,9.630222242596506,-5.272440969438716,-1.9318447224870414,-2.7612489394287953,-8.606974648632217,True
