date,sym,control,close_pct,close_R,close_risk,ORB_close-judged_pct,ORB_close-judged_R,ORB_close-judged_stopped,ORB_close-judged_n,ORB_intraday_pct,ORB_intraday_R,ORB_intraday_stopped,ORB_intraday_n,ORB_intraday+re_pct,ORB_intraday+re_R,ORB_intraday+re_stopped,ORB_intraday+re_n,ORB_disaster:0.5_pct,ORB_disaster:0.5_R,ORB_disaster:0.5_stopped,ORB_disaster:0.5_n,ORB_disaster:1.0_pct,ORB_disaster:1.0_R,ORB_disaster:1.0_stopped,ORB_disaster:1.0_n,ORB_disaster:1.0+pdl_pct,ORB_disaster:1.0+pdl_R,ORB_disaster:1.0+pdl_stopped,ORB_disaster:1.0+pdl_n,ORB_disaster:1.5+pdl_pct,ORB_disaster:1.5+pdl_R,ORB_disaster:1.5+pdl_stopped,ORB_disaster:1.5+pdl_n,ORB_risk,RECLAIM_close-judged_pct,RECLAIM_close-judged_R,RECLAIM_close-judged_stopped,RECLAIM_close-judged_n,RECLAIM_intraday_pct,RECLAIM_intraday_R,RECLAIM_intraday_stopped,RECLAIM_intraday_n,RECLAIM_intraday+re_pct,RECLAIM_intraday+re_R,RECLAIM_intraday+re_stopped,RECLAIM_intraday+re_n,RECLAIM_disaster:0.5_pct,RECLAIM_disaster:0.5_R,RECLAIM_disaster:0.5_stopped,RECLAIM_disaster:0.5_n,RECLAIM_disaster:1.0_pct,RECLAIM_disaster:1.0_R,RECLAIM_disaster:1.0_stopped,RECLAIM_disaster:1.0_n,RECLAIM_disaster:1.0+pdl_pct,RECLAIM_disaster:1.0+pdl_R,RECLAIM_disaster:1.0+pdl_stopped,RECLAIM_disaster:1.0+pdl_n,RECLAIM_disaster:1.5+pdl_pct,RECLAIM_disaster:1.5+pdl_R,RECLAIM_disaster:1.5+pdl_stopped,RECLAIM_disaster:1.5+pdl_n
2026-02-06,AMAT,True,8.938108986173642,2.0298062872367018,4.609154244339009,9.090769860392033,2.313306200584485,0.0,1.0,9.090769860392033,2.313306200584485,0.0,1.0,9.090769860392033,2.313306200584485,0.0,1.0,9.090769860392033,2.313306200584485,0.0,1.0,9.090769860392033,2.313306200584485,0.0,1.0,9.090769860392033,2.313306200584485,0.0,1.0,9.090769860392033,2.313306200584485,0.0,1.0,4.09307672296968,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09,AMAT,True,6.281967888216222,1.4359889244153554,4.577665593579439,8.96683394468285,5.5648512131150305,0.0,1.0,8.96683394468285,5.5648512131150305,0.0,1.0,8.96683394468285,5.5648512131150305,0.0,1.0,8.96683394468285,5.5648512131150305,0.0,1.0,8.96683394468285,5.5648512131150305,0.0,1.0,8.96683394468285,5.5648512131150305,0.0,1.0,8.96683394468285,5.5648512131150305,0.0,1.0,1.6387219234419437,9.519065287329376,8.552500360656055,0.0,1.0,9.519065287329376,8.552500360656055,0.0,1.0,9.519065287329376,8.552500360656055,0.0,1.0,9.519065287329376,8.552500360656055,0.0,1.0,9.519065287329376,8.552500360656055,0.0,1.0,9.519065287329376,8.552500360656055,0.0,1.0,9.519065287329376,8.552500360656055,0.0,1.0
2026-02-10,AMAT,True,6.766428556009507,2.9509394283047254,2.348226725718705,5.939794255727504,2.6362981589175356,0.0,1.0,5.939794255727504,2.6362981589175356,0.0,1.0,5.939794255727504,2.6362981589175356,0.0,1.0,5.939794255727504,2.6362981589175356,0.0,1.0,5.939794255727504,2.6362981589175356,0.0,1.0,-0.8932450353298593,-0.39645485023856564,0.0,1.0,-0.8932450353298593,-0.39645485023856564,0.0,1.0,2.3064301414816857,7.895535518684937,17.557544715023894,0.0,1.0,-0.6078311283640225,-1.3516527397260283,1.0,1.0,8.01077955621825,33.83228559436873,1.0,2.0,7.895535518684937,17.557544715023894,0.0,1.0,7.895535518684937,17.557544715023894,0.0,1.0,7.895535518684937,17.557544715023894,0.0,1.0,7.895535518684937,17.557544715023894,0.0,1.0
2026-02-11,AMAT,True,-3.4964763079827765,-1.3226882155153608,2.716911915255782,-5.003303986763729,-2.549806864778985,0.0,1.0,-2.321937506449323,-1.1833165062916404,1.0,1.0,-2.321937506449323,-1.1833165062916404,1.0,1.0,-2.4264494915223533,-1.2365783863804538,1.0,1.0,-5.003303986763729,-2.549806864778985,0.0,1.0,-1.6794779044153607,-0.8559032793633743,0.0,1.0,-1.6794779044153607,-0.8559032793633743,0.0,1.0,2.0027276231136426,-1.8789567988415246,-10.891082385360196,0.0,1.0,-0.3808054715040754,-2.2072799999999284,1.0,1.0,-1.9955110977389223,-14.33734351186241,1.0,3.0,-1.8789567988415246,-10.891082385360196,0.0,1.0,-1.8789567988415246,-10.891082385360196,0.0,1.0,-1.8789567988415246,-10.891082385360196,0.0,1.0,-1.8789567988415246,-10.891082385360196,0.0,1.0
2026-02-12,AMAT,True,6.9875195713872795,8.113055011704848,0.8692766651512418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0297799771729315,-2.9185656475201003,0.0,1.0,-1.8224542656913756,-1.319911370882039,1.0,1.0,-2.961258453786997,-4.82580851137791,1.0,3.0,-2.5820654485199213,-1.8700592986184863,1.0,1.0,-4.0297799771729315,-2.9185656475201003,0.0,1.0,-4.0297799771729315,-2.9185656475201003,0.0,1.0,-4.0297799771729315,-2.9185656475201003,0.0,1.0
2026-02-13,AMAT,True,-1.006932715202169,-2.1671893253544026,0.46707633212688116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9544195988366995,-3.1938020159682186,0.0,1.0,-1.081466407026721,-1.1690924309884259,1.0,1.0,-2.917024092800946,-3.854148133378871,1.0,3.0,-2.5564289371945104,-2.763564084298031,1.0,1.0,-2.9544195988366995,-3.1938020159682186,0.0,1.0,-2.9544195988366995,-3.1938020159682186,0.0,1.0,-2.9544195988366995,-3.1938020159682186,0.0,1.0
2026-02-17,AMAT,True,-2.1701550591268437,-0.6798913118259177,3.2992006845431687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1035059541866121,-0.8117756419656088,0.0,1.0,-1.639311614940664,-1.2059320872274113,1.0,1.0,-1.2093956398762318,0.4064800460367859,1.0,2.0,-1.1035059541866121,-0.8117756419656088,0.0,1.0,-1.1035059541866121,-0.8117756419656088,0.0,1.0,-1.1035059541866121,-0.8117756419656088,0.0,1.0,-1.1035059541866121,-0.8117756419656088,0.0,1.0
2026-02-18,AMAT,True,-4.864257739360578,-1.7902909160424945,2.7946272210741308,-4.864656930314948,-2.0517745244687284,0.0,1.0,-4.864656930314948,-2.0517745244687284,0.0,1.0,-4.864656930314948,-2.0517745244687284,0.0,1.0,-4.864656930314948,-2.0517745244687284,0.0,1.0,-4.864656930314948,-2.0517745244687284,0.0,1.0,-4.864656930314948,-2.0517745244687284,0.0,1.0,-4.864656930314948,-2.0517745244687284,0.0,1.0,2.4300228246951994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-19,AMAT,True,-5.11891589131065,-2.0087655819395955,2.6165351929750003,-4.980826159625151,-2.9054377715291806,0.0,1.0,-4.980826159625151,-2.9054377715291806,0.0,1.0,-4.980826159625151,-2.9054377715291806,0.0,1.0,-4.980826159625151,-2.9054377715291806,0.0,1.0,-4.980826159625151,-2.9054377715291806,0.0,1.0,-4.980826159625151,-2.9054377715291806,0.0,1.0,-4.980826159625151,-2.9054377715291806,0.0,1.0,1.7452778084612763,-3.9748082457959466,-5.894329559375813,0.0,1.0,-1.213025544703894,-1.7988219512195196,1.0,1.0,-4.4459832136296225,-10.24891127689753,1.0,2.0,-3.9748082457959466,-5.894329559375813,0.0,1.0,-3.9748082457959466,-5.894329559375813,0.0,1.0,-3.9748082457959466,-5.894329559375813,0.0,1.0,-3.9748082457959466,-5.894329559375813,0.0,1.0
2026-02-20,AMAT,True,-6.521745378251342,-2.688910455049172,2.4872405991200663,-7.045212620733732,-2.5633382781621394,0.0,1.0,-7.045212620733732,-2.5633382781621394,0.0,1.0,-7.045212620733732,-2.5633382781621394,0.0,1.0,-7.045212620733732,-2.5633382781621394,0.0,1.0,-7.045212620733732,-2.5633382781621394,0.0,1.0,-0.6792447105396171,-0.24713717817987166,0.0,1.0,-0.6792447105396171,-0.24713717817987166,0.0,1.0,2.8278705308997676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
