sym,entry,expiry,credit,a_pnl,b_pnl,b_date,b_resolved,mark_cov,month,roc_a,roc_b
AAPL,2018-01-05,2018-02-16,3.1470000000000002,3.1470000000000002,0.04400000000000048,2018-01-26,True,0.8620689655172413,2018-01,1.0,0.013981569748967422
AAPL,2018-01-12,2018-02-23,2.7670000000000003,2.7670000000000003,-4.685999999999999,2018-02-02,True,0.9285714285714286,2018-01,1.0,-1.6935308998915788
AAPL,2018-01-19,2018-03-02,3.357,3.357,-8.806000000000001,2018-02-09,True,0.9310344827586207,2018-01,1.0,-2.62317545427465
AAPL,2018-02-02,2018-03-16,3.1470000000000002,-0.1629999999999998,-0.4259999999999997,2018-02-23,True,0.896551724137931,2018-02,-0.05179536066094687,-0.1353670162059103
AAPL,2018-02-09,2018-03-23,3.5170000000000003,3.5170000000000003,-4.815999999999998,2018-03-02,True,0.7931034482758621,2018-02,1.0,-1.369348876883707
AAPL,2018-02-16,2018-03-29,2.8070000000000004,2.8070000000000004,1.6240000000000006,2018-03-08,True,0.9285714285714286,2018-02,1.0,0.5785536159600999
AAPL,2018-02-23,2018-04-06,2.407,2.407,1.264,2018-03-16,True,0.8620689655172413,2018-02,1.0,0.5251350228500208
AAPL,2018-03-02,2018-04-13,2.957,2.957,-1.5060000000000002,2018-03-23,True,0.8620689655172413,2018-03,1.0,-0.5092999661819413
AAPL,2018-03-09,2018-04-20,2.467,-1.6629999999999998,-4.116,2018-04-02,True,0.8275862068965517,2018-03,-0.674098094852047,-1.6684231860559382
AAPL,2018-03-16,2018-04-27,2.577,-1.9130000000000003,-1.4459999999999997,2018-04-06,True,0.8620689655172413,2018-03,-0.7423360496701592,-0.5611175785797438
AAPL,2018-03-23,2018-05-04,3.997,-0.17300000000000004,1.2439999999999998,2018-04-13,True,0.9310344827586207,2018-03,-0.043282461846384804,0.31123342506880153
AAPL,2018-04-06,2018-05-18,3.697,2.067,1.3439999999999999,2018-04-27,True,0.8333333333333334,2018-04,0.5591019745739789,0.36353800378685414
AAPL,2018-04-13,2018-05-25,3.247,2.2969999999999997,1.2039999999999997,2018-05-04,True,0.8666666666666667,2018-04,0.7074222359100708,0.3708038189097628
AAPL,2018-04-20,2018-06-01,3.677,-6.313000000000001,-5.9460000000000015,2018-05-11,True,0.7241379310344828,2018-04,-1.7168887680174056,-1.6170791406037535
AAPL,2018-04-27,2018-06-08,3.177,-13.353000000000002,-9.186000000000002,2018-05-18,True,0.6206896551724138,2018-04,-4.203021718602455,-2.8914069877242685
AAPL,2018-05-04,2018-06-15,2.787,2.787,1.794,2018-05-25,True,1.0,2018-05,1.0,0.643702906350915
AAPL,2018-05-11,2018-06-22,2.3770000000000002,2.3770000000000002,1.6140000000000003,2018-06-01,True,0.9655172413793104,2018-05,1.0,0.6790071518721078
AAPL,2018-05-18,2018-06-29,2.237,2.237,0.7440000000000002,2018-06-08,True,0.9655172413793104,2018-05,1.0,0.3325882878855611
AAPL,2018-05-25,2018-07-06,2.297,2.297,1.1140000000000003,2018-06-15,True,0.9285714285714286,2018-05,1.0,0.4849804092294298
AAPL,2018-06-01,2018-07-13,2.1470000000000002,2.1470000000000002,0.8240000000000005,2018-06-22,True,0.9310344827586207,2018-06,1.0,0.3837913367489522
AAPL,2018-06-08,2018-07-20,2.587,2.587,0.9540000000000004,2018-06-29,True,0.9310344827586207,2018-06,1.0,0.36876691148047946
AAPL,2018-06-15,2018-07-27,2.697,2.697,1.584,2018-07-06,True,1.0,2018-06,1.0,0.5873192436040044
AAPL,2018-06-22,2018-08-03,3.107,-4.492999999999999,1.2840000000000003,2018-07-13,True,0.9655172413793104,2018-06,-1.4460894753781781,0.4132603797875765
AAPL,2018-06-29,2018-08-10,3.167,-4.503,1.4140000000000001,2018-07-20,True,0.8620689655172413,2018-06,-1.421850331544048,0.4464793179665299
AAPL,2018-07-06,2018-08-17,3.557,-14.173,1.2840000000000003,2018-07-27,True,0.8666666666666667,2018-07,-3.9845375316277765,0.36097835254427896
AAPL,2018-07-13,2018-08-24,3.417,-10.403,-3.2560000000000002,2018-08-03,True,0.9,2018-07,-3.0444834650278025,-0.9528826455955518
AAPL,2018-07-20,2018-08-31,2.877,-22.493000000000002,-4.136,2018-08-10,True,0.8666666666666667,2018-07,-7.818213416753564,-1.4376086200903722
AAPL,2018-07-27,2018-09-07,3.247,-16.763,-13.065999999999999,2018-08-17,True,0.7931034482758621,2018-07,-5.162611641515245,-4.0240221743147515
AAPL,2018-08-03,2018-09-14,2.997,-3.2430000000000003,-0.03600000000000003,2018-08-24,True,0.9655172413793104,2018-08,-1.0820820820820822,-0.012012012012012022
AAPL,2018-08-10,2018-09-21,3.177,0.8170000000000002,-11.356,2018-08-31,True,1.0,2018-08,0.2571608435631099,-3.5744412968209
AAPL,2018-08-17,2018-09-28,2.6870000000000003,2.6870000000000003,-0.806,2018-09-07,True,1.0,2018-08,1.0,-0.2999627837737253
AAPL,2018-08-24,2018-10-05,2.657,2.657,-1.016,2018-09-14,True,0.9310344827586207,2018-08,1.0,-0.3823861497929996
AAPL,2018-08-31,2018-10-12,3.277,3.277,0.4940000000000002,2018-09-21,True,0.9310344827586207,2018-08,1.0,0.15074763503204155
AAPL,2018-09-07,2018-10-19,3.4770000000000003,3.4770000000000003,2.664,2018-09-28,True,0.9,2018-09,1.0,0.7661777394305436
AAPL,2018-09-14,2018-10-26,3.427,3.427,1.3840000000000003,2018-10-05,True,0.9333333333333333,2018-09,1.0,0.40385176539247164
AAPL,2018-09-21,2018-11-02,4.0969999999999995,4.0969999999999995,0.23399999999999999,2018-10-12,True,1.0,2018-09,1.0,0.057114962167439595
AAPL,2018-09-28,2018-11-09,4.267,-1.3129999999999997,-0.4059999999999997,2018-10-19,True,0.8666666666666667,2018-09,-0.30771033513006785,-0.09514881649871096
AAPL,2018-10-05,2018-11-16,4.547000000000001,-6.322999999999999,-0.7159999999999993,2018-10-26,True,0.8333333333333334,2018-10,-1.3905872003518798,-0.15746646140312276
AAPL,2018-10-12,2018-11-23,3.7569999999999997,-24.093000000000004,-0.3959999999999999,2018-11-02,True,0.7931034482758621,2018-10,-6.412829385147726,-0.10540324727175937
AAPL,2018-10-19,2018-11-30,5.067,-16.123,1.8640000000000003,2018-11-09,True,0.7241379310344828,2018-10,-3.1819617130451947,0.36787053483323473
AAPL,2018-10-26,2018-12-07,5.8469999999999995,-18.523000000000003,-0.006000000000000227,2018-11-16,True,0.6206896551724138,2018-10,-3.1679493757482478,-0.001026167265264277
AAPL,2018-11-02,2018-12-14,4.037,-17.993000000000002,-12.396000000000004,2018-11-23,True,0.6896551724137931,2018-11,-4.457022541491207,-3.0705969779539273
AAPL,2018-11-09,2018-12-21,4.037000000000001,-34.943,-8.655999999999999,2018-11-30,True,0.7241379310344828,2018-11,-8.655684914540497,-2.144166460242754
AAPL,2018-11-16,2018-12-28,3.9370000000000003,-17.352999999999998,-5.436000000000001,2018-12-07,True,0.6428571428571429,2018-11,-4.40767081534163,-1.3807467614935232
AAPL,2018-11-23,2019-01-04,4.077,-3.133,2.204,2018-12-14,True,0.75,2018-11,-0.7684571989207751,0.5405935737061566
AAPL,2018-11-30,2019-01-11,4.127000000000001,-8.472999999999999,-14.036000000000003,2018-12-24,True,0.6071428571428571,2018-11,-2.053065180518536,-3.4010176883935066
AAPL,2019-01-04,2019-02-15,4.047000000000001,-1.302999999999999,1.754000000000001,2019-01-25,True,0.8275862068965517,2019-01,-0.3219668890536197,0.4334074623177664
