day,struct,gex,credit,maxrisk,pnl_usd,ret_risk,NEG,half
2010-03-31,put spread 16/5,-663053334.8183292,0.011999999999999995,0.988,1.1999999999999995,1.2145748987854246,True,2010-2017
2010-03-31,iron condor 16/5,-663053334.8183292,0.10650000000000001,0.8935,10.65,11.919418019026303,True,2010-2017
2010-06-11,put spread 16/5,-1794116427.8063357,0.117,1.883,11.700000000000001,6.213489113117366,True,2010-2017
2010-06-11,iron condor 16/5,-1794116427.8063357,0.1665,1.8335,16.650000000000002,9.080992637032997,True,2010-2017
2010-06-25,put spread 16/5,-1878383335.412411,0.007000000000000018,0.993,0.7000000000000018,0.7049345417925497,True,2010-2017
2010-06-25,iron condor 16/5,-1878383335.412411,0.12150000000000005,1.8784999999999998,12.150000000000006,6.467926537130693,True,2010-2017
2010-06-30,put spread 16/5,-2207533786.2166944,0.082,1.918,8.200000000000001,4.275286757038582,True,2010-2017
2010-06-30,iron condor 16/5,-2207533786.2166944,0.23650000000000002,1.7635,23.650000000000002,13.41083073433513,True,2010-2017
2010-07-02,put spread 16/5,-2020659032.8989937,0.08199999999999998,0.918,8.199999999999998,8.93246187363834,True,2010-2017
2010-07-02,iron condor 16/5,-2020659032.8989937,0.1665,0.8335,16.650000000000002,19.976004799040194,True,2010-2017
2010-07-09,put spread 16/5,-1723178673.5960717,0.047000000000000014,0.953,4.700000000000001,4.931794333683108,True,2010-2017
2010-07-09,iron condor 16/5,-1723178673.5960717,0.139,0.861,13.900000000000002,16.144018583042975,True,2010-2017
2010-07-23,put spread 16/5,-889991571.3996803,0.029499999999999985,0.9705,2.9499999999999984,3.0396702730551244,True,2010-2017
2010-07-23,iron condor 16/5,-889991571.3996803,0.08399999999999999,0.916,8.399999999999999,9.170305676855895,True,2010-2017
2010-07-30,put spread 16/5,-1144621729.4448068,0.052000000000000005,0.948,5.2,5.48523206751055,True,2010-2017
2010-07-30,iron condor 16/5,-1144621729.4448068,0.08400000000000002,0.9159999999999999,8.400000000000002,9.170305676855898,True,2010-2017
2010-08-06,put spread 16/5,-651412845.1232004,0.08950000000000002,1.9104999999999999,8.950000000000003,4.684637529442556,True,2010-2017
2010-08-06,iron condor 16/5,-651412845.1232004,0.22650000000000006,1.7734999999999999,22.650000000000006,12.771356075556813,True,2010-2017
2010-08-13,put spread 16/5,-2329724181.899323,0.09450000000000003,1.9055,9.450000000000003,4.959328260299135,True,2010-2017
