day,entry,K,S_prev,S_t,mid,ba_pct,implied_pct,ratio,gex,vix,long_mid,long_fill,short_fill,short_usd,NEG,half,yr
2010-03-31,2010-03-30,117.0,117.37,116.99,0.85,4.7058823529411775,0.72420550396183,0.01176470588235896,-663053334.8183292,17.1299991607666,-98.8235294117641,-98.85452462771993,98.79081015719406,81.69999999999948,1.0,2010-2017,2010
2010-06-11,2010-06-10,109.0,109.19,109.66,1.4649999999999999,7.50853242320819,1.341697957688433,0.4505119453924892,-1794116427.8063357,30.56999969482422,-54.94880546075108,-56.16074393889095,53.6679536679539,76.45000000000033,1.0,2010-2017,2010
2010-06-25,2010-06-24,108.0,107.44,107.89,1.4249999999999998,11.92982456140351,1.3263216679076693,0.07719298245613997,-1878383335.412411,29.739999771118164,-92.280701754386,-92.5700776764607,91.96787148594382,125.95000000000005,1.0,2010-2017,2010
2010-06-30,2010-06-29,104.0,104.22,103.1,1.855,9.164420485175205,1.7798886969871426,0.4851752021563373,-2207533786.2166944,34.130001068115234,-51.48247978436628,-52.891913111750554,49.986107252014136,89.94999999999945,1.0,2010-2017,2010
2010-07-02,2010-07-01,103.0,102.79,102.25,1.77,5.649717514124299,1.7219573888510555,0.423728813559322,-2020659032.8989937,32.86000061035156,-57.6271186440678,-58.517699115044245,56.697459584295615,98.20000000000002,1.0,2010-2017,2010
2010-07-09,2010-07-08,107.0,107.15,107.92,0.975,9.230769230769234,0.9099393373775081,0.9435897435897453,-1723178673.5960717,25.709999084472656,-5.641025641025464,-8.95596239485386,2.07557211282579,1.9499999999998296,1.0,2010-2017,2010
2010-07-23,2010-07-22,109.0,109.46,110.41,1.31,9.160305343511444,1.196784213411292,1.0763358778625929,-889991571.3996803,24.6299991607666,7.633587786259277,4.212860310421036,-11.286503551696642,-14.299999999999645,1.0,2010-2017,2010
2010-07-30,2010-07-29,110.0,110.28,110.32,1.36,5.8823529411764675,1.2332245194051505,0.2352941176470538,-1144621729.4448068,24.1299991607666,-76.47058823529463,-77.02799712850013,75.88545591559961,100.7000000000007,1.0,2010-2017,2010
2010-08-06,2010-08-05,113.0,112.84,112.39,1.2750000000000001,5.490196078431359,1.129918468628146,0.47843137254901913,-651412845.1232004,22.100000381469727,-52.15686274509809,-53.27460743010345,50.98433105664931,63.450000000000095,1.0,2010-2017,2010
2010-08-13,2010-08-12,109.0,108.64,108.3,1.23,11.382113821138208,1.132179675994109,0.5691056910569129,-2329724181.899323,25.729999542236328,-43.08943089430871,-45.226917057902746,40.778341793569986,48.19999999999973,1.0,2010-2017,2010
2010-08-27,2010-08-26,105.0,105.2,106.86,1.41,9.929078014184391,1.3403041825095057,1.3191489361702124,-2380752029.0036325,27.3700008392334,31.914893617021246,27.572016460905335,-36.563876651982326,-49.79999999999993,1.0,2010-2017,2010
2010-09-03,2010-09-02,110.0,109.46,110.91,1.46,10.958904109589044,1.3338205737255617,0.6232876712328744,-1127737527.1161304,23.190000534057617,-37.671232876712565,-39.8545935228026,35.32338308457736,49.700000000000344,1.0,2010-2017,2010
2010-09-10,2010-09-09,111.0,110.93,111.52,0.855,10.526315789473689,0.7707563328225006,0.6081871345029193,-1417539267.7365935,22.809999465942383,-39.18128654970807,-41.605839416058835,36.546674801708846,29.950000000000397,1.0,2010-2017,2010
2010-09-24,2010-09-23,113.0,112.49,114.82,1.1300000000000001,5.30973451327433,1.0045337363321185,1.6106194690265425,-1402384936.5017424,23.8700008392334,61.06194690265425,57.16753022452446,-65.1542649727761,-71.79999999999929,1.0,2010-2017,2010
2010-09-30,2010-09-29,115.0,114.43,114.1,0.955,3.141361256544505,0.8345713536659966,0.9424083769633568,-887411993.1823925,23.25,-5.759162303664322,-7.739620707328984,3.6918138041727464,3.4499999999994313,1.0,2010-2017,2010
2010-10-01,2010-09-30,114.0,114.1,114.63,1.17,15.38461538461538,1.0254163014899211,0.5384615384615347,-1466581191.992686,23.700000762939453,-46.15384615384654,-48.69706840390916,43.345323741007604,48.200000000000465,1.0,2010-2017,2010
2010-10-08,2010-10-07,116.0,115.89,116.55,1.165,7.725321888412023,1.0052636120459055,0.47210300429184304,-513609190.4756168,21.559999465942383,-52.7896995708157,-54.1857559350273,51.3058875608679,57.9500000000003,1.0,2010-2017,2010
2010-10-22,2010-10-21,118.0,118.11,118.38,0.8700000000000001,9.195402298850576,0.7366014732029466,0.436781609195397,-844373380.5098618,19.270000457763672,-56.3218390804603,-57.918050941307264,54.59976105137451,45.700000000000465,1.0,2010-2017,2010
2010-10-29,2010-10-28,118.0,118.47,118.47,1.1,7.272727272727273,0.9285051067780874,0.4272727272727262,-988471404.3748863,20.8799991607666,-57.27272727272737,-58.517210944395515,55.951265229615856,59.70000000000013,1.0,2010-2017,2010
2010-11-05,2010-11-04,122.0,122.25,122.74,1.0899999999999999,5.504587155963298,0.8916155419222903,0.6788990825688027,794696804.2801688,18.520000457763672,-32.11009174311973,-33.810375670841225,30.320150659134192,32.200000000000514,0.0,2010-2017,2010
2010-11-12,2010-11-11,122.0,121.65,120.2,0.81,9.876543209876544,0.6658446362515413,2.2222222222222188,-735505408.2017117,18.639999389648438,122.22222222222186,113.52313167259751,-131.66023166023126,-102.2999999999997,1.0,2010-2017,2010
2010-12-03,2010-12-02,123.0,122.57,122.86,1.0150000000000001,2.955665024630544,0.8280982295830954,0.13793103448275917,374951244.48407567,19.389999389648438,-86.20689655172409,-86.47996137131815,85.92257415786821,85.44999999999995,0.0,2010-2017,2010
2010-12-10,2010-12-09,124.0,123.79,124.51,0.72,8.333333333333332,0.5816301801437919,0.7083333333333405,917750686.7469687,17.25,-29.166666666665954,-31.818181818181134,26.300578034681337,18.199999999999484,0.0,2010-2017,2010
2010-12-17,2010-12-16,125.0,124.79,124.34,1.15,1.7391304347826104,0.9215482009776423,0.573913043478258,494221842.4159017,17.389999389648438,-42.608695652174205,-43.493150684931784,41.69611307420526,47.20000000000035,0.0,2010-2017,2010
2010-12-23,2010-12-22,126.0,125.78,125.59,0.535,9.345794392523372,0.4253458419462554,0.7663551401869094,642392151.1035203,15.449999809265137,-23.364485981309052,-26.851025869759766,19.528949950932947,9.950000000000337,0.0,2010-2017,2010
2010-12-31,2010-12-30,125.0,125.76,125.8,0.95,4.210526315789476,0.7554071246819337,0.8421052631578918,-645933948.0152373,17.520000457763672,-15.789473684210822,-17.78006166495404,13.700107874865457,12.700000000000278,1.0,2010-2017,2010
2011-01-07,2011-01-06,127.0,127.39,127.12,1.1,5.4545454545454595,0.8634900698641966,0.10909090909091322,51634560.12500795,17.399999618530273,-89.09090909090868,-89.36170212765917,88.80597014925331,95.19999999999955,0.0,2010-2017,2011
2011-01-14,2011-01-13,128.0,128.42,129.28,0.965,5.181347150259069,0.7514405855785704,1.3264248704663224,458340076.11393774,16.389999389648438,32.64248704663225,29.22766279656751,-36.24268227780746,-34.05000000000011,0.0,2010-2017,2011
2011-01-28,2011-01-27,130.0,130.02,127.68,0.6599999999999999,12.121212121212126,0.5076142131979694,3.5151515151515054,-704132149.428683,16.149999618530273,251.51515151515054,234.7763347763338,-270.0159489633164,-169.29999999999933,1.0,2010-2017,2011
2011-02-04,2011-02-03,131.0,130.78,131.15,0.945,3.1746031746031718,0.7225875516133965,0.15873015873016474,-1444145231.9891438,16.690000534057617,-84.12698412698353,-84.46400828586165,83.77501352082145,77.44999999999943,1.0,2010-2017,2011
2011-02-11,2011-02-10,132.0,132.33,133.11,0.8400000000000001,14.285714285714276,0.6347766946270688,1.3214285714285876,-515405741.2651721,16.09000015258789,32.14285714285875,25.707814269537206,-39.27227101631287,-31.30000000000136,1.0,2010-2017,2011
2011-02-25,2011-02-24,131.0,130.93,132.32,1.155,6.0606060606060606,0.8821507675857327,1.142857142857137,-2596480430.8806,21.31999969482422,14.285714285713693,11.345423871783481,-17.38550466874105,-19.54999999999931,1.0,2010-2017,2011
2011-03-04,2011-03-03,133.0,133.47,132.44,1.1400000000000001,5.263157894736846,0.8541245223645765,0.4912280701754405,-1101894738.5866966,18.600000381469727,-50.877192982455945,-52.05479452054775,49.640287769783974,55.19999999999978,1.0,2010-2017,2011
2011-03-11,2011-03-10,130.0,129.92,130.84,1.48,5.4054054054053955,1.1391625615763548,0.5675675675675699,-3803673293.754736,21.8799991607666,-43.243243243243015,-44.48116325181735,41.94885970974406,60.69999999999966,1.0,2010-2017,2011
2011-03-25,2011-03-24,131.0,130.9,131.28,0.835,8.383233532934133,0.6378915202444614,0.33532934131736664,-950289203.1991051,18.0,-66.46706586826333,-67.64875794338519,65.19577377252938,52.44999999999989,1.0,2010-2017,2011
2011-03-31,2011-03-30,133.0,132.76,132.57,0.79,10.126582278481013,0.5950587526363362,0.544303797468363,16062010.61322978,17.709999084472656,-45.5696202531637,-47.75212636694936,43.19682959048787,32.69999999999932,0.0,2010-2017,2011
2011-04-01,2011-03-31,133.0,132.57,133.16,1.005,8.955223880597018,0.7580900656257071,0.1592039800994991,-21169984.319485728,17.739999771118164,-84.0796019900501,-84.62277751081243,83.4966477565759,80.95000000000033,1.0,2010-2017,2011
2011-04-08,2011-04-07,133.0,133.36,132.85,0.9099999999999999,2.1978021978022,0.682363527294541,0.1648351648351711,-1336090725.779947,17.110000610351562,-83.5164835164829,-83.83620689655112,83.18385650224151,74.19999999999942,1.0,2010-2017,2011
