tk,entry,expiry,S0,S1,K,implied,ba_pct,credit,maxrisk,pnl_usd,ret_risk,gex_own,earnings_skip,gex_spy,half
AAPL,2010-07-01,2010-07-02,248.225,246.92,250.0,2.0848020948736026,14.492753623188406,4.091499999999999,5.908500000000001,101.14999999999866,17.119404248116886,78629475.48547521,False,-2020659032.8989937,2010-2017
AAPL,2010-07-08,2010-07-09,257.94,259.635,260.0,1.4809645654028067,6.8062827225130835,3.534,6.466,316.89999999999907,49.010207237859426,200736034.14242813,False,-1723178673.5960717,2010-2017
AAPL,2010-07-22,2010-07-23,259.035,259.95,260.0,1.140772482483062,1.0152284263959401,2.7315,7.2684999999999995,268.14999999999884,36.89206851482409,232325212.8981496,False,-889991571.3996803,2010-2017
AAPL,2010-07-29,2010-07-30,258.245,257.265,260.0,1.2217080679199985,9.191759112519806,2.944,7.056,20.89999999999863,2.9620181405893753,177445140.8383342,False,-1144621729.4448068,2010-2017
AAPL,2010-08-05,2010-08-06,261.675,260.05,260.0,1.1980510174835197,4.784688995215322,2.9690000000000003,7.031,291.8999999999989,41.516142796188156,211098504.7781826,False,-651412845.1232004,2010-2017
AAPL,2010-08-12,2010-08-13,251.735,249.1,250.0,1.3486404353784733,3.2400589101619963,3.174,6.8260000000000005,227.39999999999944,33.31380017579833,85149598.46041371,False,-2329724181.899323,2010-2017
AAPL,2010-08-26,2010-08-27,240.345,241.63,240.0,1.2336433044165678,4.38448566610455,2.794,7.2059999999999995,116.40000000000046,16.15320566194844,-10469863.276124125,False,-2380752029.0036325,2010-2017
AAPL,2010-09-02,2010-09-03,252.045,258.715,250.0,1.2795334166517882,4.651162790697686,3.0489999999999995,6.9510000000000005,-566.5999999999975,-81.51345130197059,193426727.51788586,False,-1127737527.1161304,2010-2017
AAPL,2010-09-09,2010-09-10,263.095,263.295,260.0,1.465250194796556,4.409857328145264,3.6739999999999995,6.3260000000000005,37.89999999999836,5.991147644640903,274357930.37810975,False,-1417539267.7365935,2010-2017
AAPL,2010-09-23,2010-09-24,288.825,292.325,290.0,1.002337055310309,3.1088082901554355,2.5615,7.4384999999999994,23.65000000000115,3.179404449822027,333202444.2027056,False,-1402384936.5017424,2010-2017
AAPL,2010-09-30,2010-10-01,283.85,282.77,280.0,1.8495684340320588,2.6666666666666585,4.864,5.136,209.4000000000018,40.77102803738353,169544682.2476506,False,-1466581191.992686,2010-2017
AAPL,2010-10-07,2010-10-08,289.205,293.99,290.0,1.2845559378295672,4.037685060565273,3.4765,6.5235,-51.3500000000009,-7.871541350502167,333627395.75157905,False,-513609190.4756168,2010-2017
AAPL,2010-10-21,2010-10-22,309.32,307.49,310.0,1.040993146256304,4.968944099378887,2.8739999999999997,7.126,36.40000000000087,5.108055009823306,278682195.9718192,False,-844373380.5098618,2010-2017
AAPL,2010-10-28,2010-10-29,305.22,300.935,300.0,1.9625188388703227,3.6727879799666145,5.5865,4.4135,465.14999999999975,105.39254559873112,188534308.15504366,False,-988471404.3748863,2010-2017
AAPL,2010-11-04,2010-11-05,317.855,316.98,320.0,1.2285476081861226,7.426376440460943,3.441500000000001,6.558499999999999,42.15000000000191,6.426774414881743,422504939.22234803,False,794696804.2801688,2010-2017
