t,start,end,days,excess,sig_day,left
XLK,2006-07-24,2007-11-05,324,21.04894823190193,27.0,64.85528368530042
XLK,2008-02-25,2012-04-10,1040,28.08068541978439,56.0,69.7465156175266
XLK,2013-07-23,2021-12-10,2113,93.96495866628469,1167.0,46.16098326902215
XLK,2023-01-05,2024-07-10,378,31.327745584495137,19.0,71.16378940245757
XLK,2025-04-04,2026-06-02,290,43.77755121763713,20.0,81.59683771111834
XLC,2022-11-04,2025-09-17,717,46.87623150191873,44.0,77.43302125929262
XLY,2008-11-19,2015-11-25,1766,76.82739819075901,12.0,73.62171939024299
XLY,2020-03-18,2020-10-28,156,21.42004844266299,21.0,57.9434791694134
XLY,2024-08-14,2024-12-17,87,21.56309310694202,21.0,72.22110695726556
XLP,2006-01-03,2008-11-20,727,58.21197571014296,465.0,92.71762401953055
XLP,2011-02-16,2013-04-19,545,21.636340773360562,66.0,47.21775183188782
XLP,2014-07-30,2016-02-11,387,22.259721900662456,51.0,61.16492494224419
XLP,2018-06-06,2020-03-18,448,31.39965643339011,13.0,73.39793106783029
XLP,2021-11-19,2022-12-27,276,30.56347206200254,18.0,73.0045272669511
XLP,2025-01-23,2025-04-21,60,24.435878474024996,20.0,63.27366463374401
XLE,2007-01-11,2008-07-01,370,79.94597813183452,20.0,85.91767675262494
XLE,2010-06-01,2011-03-30,210,27.890643425104876,97.0,71.14804501104342
XLE,2016-01-20,2016-12-13,228,23.07461570742102,36.0,50.23097104551786
XLE,2020-11-06,2021-01-14,46,43.54417197918208,1.0,62.443207922111824
XLE,2021-11-19,2022-03-08,73,61.271556107264956,32.0,71.90466932036126
XLE,2022-03-16,2022-06-10,60,39.56635765814822,1.0,92.53215546624833
XLE,2022-08-04,2022-11-07,66,42.41008690280108,12.0,67.00973899864398
XLE,2023-06-22,2023-09-27,67,21.630898530327936,21.0,69.92071429417689
XLE,2025-10-28,2026-03-27,103,56.64145655890731,13.0,80.21367613074626
XLE,2026-07-06,2026-09-15,50,23.0907796406721,9.0,52.72717416917857
