row,control,old,best_arm,n,meanR,raw_t,legacy_edge,paired_edge,edge_t,ema20_edge_t,ema20_paired_edge,p_search
"precision-tier breakout (house), CLOSE entry, hold 60",post,"t 3.29, edge +0.144, PASSED (IN BOOK)",ema20,1851,0.23183468379366357,1.5329115657367367,0.13922847880709735,0.13922847880709735,1.3566885324535751,1.3566885324535751,0.13922847880709735,0.3238380809595202
"precision-tier breakout (house), CLOSE entry, hold 60",xname,"t 3.29, edge +0.144, PASSED (IN BOOK)",ema20,2013,0.14597407704763046,0.988940464283938,0.23661559766290546,0.2366155976629055,1.8147961408964772,1.8147961408964772,0.2366155976629055,0.11144427786106946
"earnings drift, good+MUTED",post,"t 2.65, PARKED",t2R,426,0.15419409473303186,2.1192614424715894,0.17857539081878657,0.17857539081878654,2.440137631265854,1.5864012203089852,0.15267969693955466,0.02048975512243878
"earnings drift, good+MUTED",xname,"t 2.65, PARKED",t1R,437,0.04433432190122305,0.4858558982673236,0.18596264576270224,0.18596264576270227,3.167315953517148,1.4457124524279166,0.17177633816409643,0.001999000499750125
house breakout in HYB-A,post,"t 2.84 (stop_hold), not passed",stop_hold,1172,0.22931871110142793,2.9064401534824142,0.34659821640345834,0.3465982164034583,4.145567307135466,2.701581196517668,0.18505162483214277,0.0014992503748125937
house breakout in HYB-A,xname,"t 2.84 (stop_hold), not passed",ema20,1222,0.16792507556461417,2.5887953376324218,0.2482251571677455,0.24822515716774546,2.9839787381486333,2.9839787381486333,0.24822515716774546,0.005997001499250375
vcp damped sine N3,post,NULL today (edge -0.008),trail_bar,1520,-0.017931767759941594,-1.013003017367963,0.010526865275222761,0.010526865275222761,0.1937073661035186,-0.4061596463546035,-0.003414158838368096,0.7636181909045477
vcp damped sine N3,xname,NULL today (edge -0.008),ema20,1665,-0.02558114649929682,-0.2197425203956076,-0.040697437330688827,-0.040697437330688827,-0.17518142539288747,-0.17518142539288747,-0.040697437330688827,0.8860569715142429
kell wedge pop,post,NULL today (edge +0.004),ema20,3200,0.09312854263360616,0.7097401063634801,0.03790131496226078,0.03790131496226077,0.08052216801392838,0.08052216801392838,0.03790131496226077,0.8185907046476761
kell wedge pop,xname,NULL today (edge +0.004),ema20,3588,0.07202637827297756,0.6111722719650372,0.02710905559080766,0.02710905559080768,0.8038844088344022,0.8038844088344022,0.02710905559080768,0.5072463768115942
