kind,ticker,date,beaten,n_buyers,value,officer,ex20,ex60,ex120
SINGLE,A,2012-09-26,False,1,65306.4,False,-5.436142819472752,5.407185418060967,-4.056383505234592
CLUSTER,AA,2014-07-22,False,3,538215.0,False,-6.359921720587094,-7.32428815521405,-6.98509289115548
CLUSTER,AA,2016-02-05,True,3,390570.83,False,6.441057821575878,7.096327244612873,-0.5542946344831989
CLUSTER,AA,2016-07-22,False,3,95295.0,False,-5.712787328800296,-17.64427968467271,18.98715766246557
SINGLE,AA,2010-10-22,False,1,127300.0,False,0.9272345334246861,13.147373253896705,12.602274389128354
SINGLE,AA,2011-04-19,False,1,20939.21,False,1.0424051307909035,-3.5662421091971765,-20.155630927543424
SINGLE,AA,2011-07-18,False,1,18711.920000000002,False,-6.031302299580661,-17.1857256262253,-30.955823037945983
SINGLE,AA,2011-10-14,True,1,12830.999999999998,False,-2.7468749637816305,-13.32058140522766,-23.013478525589086
SINGLE,AA,2012-01-12,True,1,18698.7,False,-5.425047970062196,-12.296518281742213,-12.604808199591044
CLUSTER,AAL,2019-06-05,True,6,2375100.0,True,1.6272245723953107,-13.449553549408048,-15.714226347311381
SINGLE,AAL,2017-05-05,False,1,131550.0,False,13.042870856566546,13.3241936503927,8.057145573435921
CLUSTER,AAOI,2024-03-19,True,3,700433.8,True,-0.12050775486170906,-30.8041431719824,3.076302545396903
CLUSTER,AAOI,2025-08-15,True,3,1000938.0,True,18.366843418548303,-14.16533733543494,81.66896308949755
SINGLE,AAOI,2025-05-15,True,1,386248.0,True,-31.761420340106824,-16.282291137797895,-26.472697759267547
SINGLE,AAON,2025-03-17,True,1,80860.0,False,11.436142850505563,-16.37104494090039,-23.11343107701961
SINGLE,AAON,2025-09-16,True,1,34967.6,True,22.780371352095933,-7.380472696621213,1.3475634467827682
SINGLE,AAON,2025-12-16,True,1,484400.19,True,7.484540763610502,3.1845840784574135,41.49507350186361
CLUSTER,AAP,2016-08-24,False,4,1277006.81,True,-6.863282769743113,2.872293887572578,-6.965960658490133
CLUSTER,AAP,2017-06-01,False,3,49404349.42,True,-15.13728869710944,-30.02387344033476,-40.67366429273516
CLUSTER,AAP,2023-06-12,True,4,733656.3500000001,False,-1.1637446109918201,-10.135000070871747,-23.782712680101785
CLUSTER,AAP,2025-03-13,True,3,590471.0,True,-7.771019005268684,23.37743537557623,32.47576847743147
SINGLE,AAP,2015-11-25,False,1,200244.0,False,-7.459371360173662,0.684080691433449,-10.32901897721206
SINGLE,AAP,2017-03-08,False,1,1002885.0,True,-7.217952885282897,-14.826758930154519,-40.80132598763884
SINGLE,AAP,2018-03-26,False,1,1000252.7999999999,True,-5.384827823107324,10.262359164532935,29.991161295450308
SINGLE,AAP,2018-08-20,False,1,199625.0,False,2.4068093830477206,22.65047568248935,10.487321506419047
SINGLE,AAP,2020-06-17,False,1,991707.0499999999,True,-4.27794088198761,-0.5250731417832641,-16.774154919256752
SINGLE,AAP,2021-06-22,False,1,79120.0,False,4.652619238725569,2.7729759234039317,14.616390220479435
SINGLE,AAP,2023-09-15,True,1,499825.5,False,-7.2813389303354015,-12.800719773537926,2.765015141308954
SINGLE,AAP,2024-06-05,False,1,30150.0,False,-11.480082773011077,-30.940824551181645,-50.12307927345941
SINGLE,AAPL,2011-12-01,False,1,1000980.3,False,1.2847181857219336,33.19531460841526,37.54956971189627
SINGLE,AAPL,2012-11-21,False,1,1002768.4,False,-13.953611507450256,-31.92094227684872,-44.43986860600404
SINGLE,AAPL,2015-07-29,False,1,469274.0,False,-3.7047454657566234,-3.6765070998018166,-9.262517648224893
CLUSTER,ABBV,2019-07-01,False,3,3326920.0,False,-8.5603145031851,1.0146160462913294,16.576098981346593
SINGLE,ABBV,2017-08-03,False,1,281800.0,False,6.020196071412256,24.972156661739692,39.569007309176634
SINGLE,ABT,2010-08-02,False,1,147420.0,False,1.991151736982177,1.217761608896227,-10.623945091918824
SINGLE,ABT,2010-12-09,False,1,23425.0,False,0.07520411639447655,-3.1372158924242664,1.2840184188777197
SINGLE,ABT,2013-02-05,False,1,335185.5,False,-0.6653808284233071,3.9261398979113897,-3.1611679325590476
SINGLE,ABT,2016-07-28,False,1,31509040.09,True,-3.5653764703924438,-5.914922029954402,-10.977220617055025
SINGLE,ABT,2017-08-23,False,1,58017.6,False,0.9668033102649152,5.505623210446444,7.177050637410064
SINGLE,ABT,2018-03-01,False,1,4187409.79,False,1.474864276637124,4.385249923294952,2.960686923581264
SINGLE,ABT,2019-02-04,False,1,235413.47,False,4.947408219441629,2.0613672016444022,11.069821588184741
SINGLE,ABT,2019-04-25,False,1,146800.0,True,-1.0153204107127909,9.64408098064274,1.1347029711852326
SINGLE,ABT,2021-02-26,False,1,249900.0,False,-5.37437764882372,-15.503007666854785,-12.814854368802415
SINGLE,ACAD,2016-04-04,True,1,39238723.67,False,-11.537780933047681,-11.057514989406602,-18.464801124924584
SINGLE,ACAD,2018-03-05,True,1,234910.0,False,-10.005688402639318,-32.070835628310604,-55.40072291615162
SINGLE,ACAD,2018-12-06,True,1,199999985.0,False,0.8461756949225112,15.926504999471405,1.9993865395344237
SINGLE,ACAD,2020-03-19,True,1,33633658.39,False,14.782291643279056,-18.236787600822574,-57.94992990649435
SINGLE,ACGL,2018-05-07,False,1,235880.0,False,-0.7767032945064885,9.354693381690215,3.681637605835493
SINGLE,ACGL,2021-11-15,False,1,19977749.12,False,7.138366734302506,16.06871095231289,21.729151487168618
SINGLE,ACGL,2022-05-03,False,1,38460.0,False,1.2719459897471592,-3.9451142100988608,13.490032023215239
SINGLE,ACGL,2022-11-02,False,1,35200.0,False,-3.7592329878511013,-0.43174415652631026,22.38664344521845
SINGLE,ACGL,2025-08-05,False,1,17340.0,False,1.563280869752921,-5.909342024013875,-4.223412155017462
CLUSTER,ACHR,2024-12-16,False,3,5139698.790000001,True,8.522473133238666,12.842708022539263,31.733244139837694
SINGLE,ACHR,2023-10-19,True,1,69939169.11999999,False,17.344757592216993,-24.3174293026597,-37.8293030425844
CLUSTER,ACLS,2024-03-12,True,3,116194.6,True,-5.581530242887525,14.034293249529767,-9.641922972578834
SINGLE,ACM,2014-12-15,False,1,88830.0,False,-13.235093314871172,-9.622033409502714,3.2789315946896203
SINGLE,ACM,2020-05-14,True,1,250707.15,True,15.00656796950117,-0.29101878988555896,22.05160021805497
SINGLE,ACN,2013-07-03,False,1,1439800.0,True,-3.0135773816272273,-3.5737917769145096,-0.04269751987967929
SINGLE,ADBE,2013-01-18,False,1,190300.0,False,-0.24168079981625468,13.46611145367629,13.136229585696524
SINGLE,ADBE,2014-09-22,False,1,115623.0,False,0.6847523119832033,6.897177140390856,8.746885220430155
SINGLE,ADBE,2017-12-20,False,1,199518.75,False,5.1445692715089955,27.994012841930676,39.09835847406903
SINGLE,ADBE,2018-09-27,False,1,19607.25,False,4.871123723464956,0.002624303382845028,3.8298079161332854
SINGLE,ADBE,2018-12-24,False,1,16243.500000000002,False,3.2437740374105424,7.062116526766655,10.77342265661137
SINGLE,ADBE,2022-01-11,False,1,499770.18000000005,False,0.37635663885479054,-6.0475685951398646,-2.885785239863189
SINGLE,ADBE,2023-06-23,False,1,19680.0,False,-2.283998769987317,7.486505326134661,15.38173241042035
CLUSTER,ADC,2023-08-04,False,3,3258225.45,True,-4.320466761822091,-6.3444083440606125,-11.37724711910354
CLUSTER,ADC,2024-03-04,False,3,3501850.0,True,-2.5723385126941825,3.6029187931662476,20.895157462917254
CLUSTER,ADC,2025-10-07,False,3,329318.64,True,5.463738326819312,2.536585874426826,7.142985272978992
CLUSTER,ADC,2026-01-14,False,3,2813680.0,True,4.086169574203783,6.973372532898889,4.524451658402142
SINGLE,ADC,2024-12-27,False,1,2126640.75,False,0.2583163804163622,6.5307016275647545,4.486438485695836
SINGLE,ADC,2025-04-11,False,1,2002104.0,False,-2.69982880571244,-7.574591293693439,-9.304453276615993
SINGLE,ADC,2025-06-16,False,1,743400.0,False,-3.619596403028854,-4.1386414524768025,-2.2003772329340707
SINGLE,ADI,2015-01-15,False,1,78076.0,False,1.1341804007614051,10.390230000926534,11.296972849435893
SINGLE,ADI,2015-12-01,False,1,606000.0,False,-4.329405516649209,-3.159549468490532,-2.2930965334157345
SINGLE,ADI,2016-12-05,False,1,1155888.0,False,-0.23280961271134348,10.070463238277142,11.078824124234757
SINGLE,ADI,2017-03-21,False,1,2078000.0,False,-6.204676871849668,-7.31026638006527,-6.488046052017345
SINGLE,ADI,2017-07-11,False,1,1095920.0,False,-3.2222841692069855,2.598655265144103,-1.5884904100789932
SINGLE,ADI,2020-03-20,True,1,230013.38460000002,False,-7.834604258453851,-10.297669245863446,-30.059766105218145
SINGLE,ADI,2020-06-11,False,1,55617.6488,False,3.3021925753670214,-10.353160274704601,-3.6142159032701784
SINGLE,ADI,2021-10-08,False,1,1319840.0,False,4.5727814402588045,-4.799708604369573,-8.713455579064899
SINGLE,ADI,2022-06-22,False,1,526184.0,False,6.413110190718541,-2.7384170891622626,6.411227862046562
CLUSTER,ADM,2011-08-19,False,3,266515.0,True,-7.009073932566177,-6.054056653698577,-11.889341950080656
CLUSTER,ADM,2012-08-09,False,3,266971.76,True,1.953444704421472,-0.6587211303489104,1.2109746568919784
CLUSTER,ADM,2015-11-25,True,3,515247.56000000006,True,2.2308977358788327,2.7582266206662442,9.261195089970183
SINGLE,ADM,2010-05-12,False,1,97828.0,False,-1.5412495741709638,12.612881717009161,17.560971962114227
SINGLE,ADM,2015-05-08,False,1,98880.0,False,1.3842184539361064,-4.937800224423114,-7.035632943789728
SINGLE,ADM,2016-02-08,True,1,34350.0,False,-1.3886649744997897,0.8270664166864101,13.987907122014182
SINGLE,ADM,2016-05-19,False,1,18720.0,False,7.828408089778169,5.052514828758206,16.259940392424035
SINGLE,ADM,2018-11-08,False,1,99435.0,True,-2.9414716109635703,-12.50755451944375,-16.454189404777182
SINGLE,ADM,2019-02-08,False,1,2508000.0,False,0.5180834869996769,-3.330243024098153,-11.182374225335726
SINGLE,ADM,2020-03-09,False,1,50621.50000000001,False,8.86141587866378,7.538986241426727,13.604550712352271
SINGLE,ADM,2020-05-14,False,1,37664.0,False,11.599331710070393,14.837911587826142,25.2003564011694
SINGLE,ADM,2021-03-15,False,1,297548.0,True,-4.3080445346878475,9.233959209751077,-9.9880475201531
SINGLE,ADM,2021-07-30,False,1,999676.6,True,0.6276264706302659,10.103673549711997,15.071301985231184
SINGLE,ADM,2026-02-10,False,1,486750.00000000006,False,8.641416652582892,12.949736836924552,6.4296359936466345
SINGLE,ADSK,2025-03-25,False,1,534200.0,False,1.8384127544249838,8.549289249608858,11.442957451493118
SINGLE,ADT,2026-03-10,False,1,49056.0,False,1.894713392717339,-5.426661590264612,0.8451920707959513
SINGLE,AEE,2014-06-04,False,1,359985.84,False,0.5377898285270839,-0.7862577434281754,4.05622796337678
SINGLE,AEO,2011-01-05,False,1,80508.72,True,-2.1005605778855747,4.843409286121584,-10.451276051298727
SINGLE,AEO,2015-01-22,False,1,15147.0,False,-3.6702464568089415,10.277938708994704,23.50474032672715
SINGLE,AEO,2015-06-15,False,1,101160.0,False,10.044868469118423,9.85180651628296,5.894846193171203
SINGLE,AEO,2015-09-17,False,1,7870000.0,True,0.15131257264213138,5.237083474943596,12.72736080634342
SINGLE,AEO,2016-01-14,False,1,2171477.54,True,-1.7391364203109392,-5.6816194194589364,1.6354570351406696
SINGLE,AEO,2020-03-13,True,1,97000.0,False,-18.466693584992417,-35.23916831898151,-60.84712321710704
SINGLE,AEO,2021-06-09,False,1,129800.00000000001,False,2.0526646444844663,-23.82309782596844,-25.283417259538663
SINGLE,AEO,2021-12-01,True,1,103584.0,False,-1.7215018517904919,-9.038274525188587,-21.388295639566216
SINGLE,AEO,2022-03-11,True,1,99660.0,False,-10.266531687887205,-28.17655156341417,-25.712892108948363
SINGLE,AEP,2011-08-08,False,1,71680.0,False,6.62332914487242,3.040969148988543,0.4158761466007874
SINGLE,AEP,2012-11-15,False,1,41560.0,False,0.007276008588478433,-1.5103456858651025,-0.4530058726974566
SINGLE,AEP,2013-02-22,False,1,99938.35,False,0.9625869216618415,-2.1573555598022054,-14.249479743737089
SINGLE,AER,2015-08-31,False,1,60000.0,False,-2.8111794844788642,0.8872730252344896,-11.096821955079902
SINGLE,AER,2016-03-01,False,1,171875.0,False,0.9093396009938184,0.10626433391117374,-8.178407562515098
CLUSTER,AES,2020-03-23,True,6,326293.5,True,-20.332539646190998,-41.62845385193987,-14.593109868967069
CLUSTER,AES,2023-08-17,True,3,1240288.0,False,-5.823232200979087,-8.192136111807073,-20.748699823338814
SINGLE,AES,2010-05-14,True,1,88630.0,False,3.6963817503961187,9.131423950541894,4.159326968438888
