sym,date,expiry,iv,spot,bull,r_call,r_put,debit,credit,wc,wp,ivrank,terc,month,diff
AAPL,2019-10-18,2019-11-15,0.24735,237.36201991718522,True,3.286326618088298,0.2865045670912132,2.333,2.227,10.0,10.0,51.28205128205128,MID,2019-10,2.9998220509970848
AAPL,2019-10-25,2019-11-22,0.2455,245.94662184510287,True,2.52335798852769,0.3036676516600034,1.803,1.7469999999999999,7.5,7.5,45.0,MID,2019-10,2.2196903368676866
AAPL,2019-11-01,2019-11-29,0.1856499999999999,254.88363995457223,True,2.599073849334721,0.2521913348359629,1.463,1.007,7.5,5.0,7.317073170731707,LOW,2019-11,2.346882514498758
AAPL,2019-11-08,2019-12-06,0.1681,259.88673991132003,True,1.9046231437983983,0.20685493603668842,1.0729999999999997,0.8570000000000001,5.0,5.0,0.0,LOW,2019-11,1.6977682077617098
AAPL,2019-11-15,2019-12-13,0.179,265.02010506863655,True,0.7230327685896483,0.22759636631475566,1.533,0.9269999999999999,7.5,5.0,6.976744186046512,LOW,2019-11,0.4954364022748926
AAPL,2019-11-22,2019-12-20,0.1986,261.3526144533154,True,3.649721016738996,0.23061777012060058,1.613,0.9370000000000002,7.5,5.0,15.909090909090908,LOW,2019-11,3.4191032466183953
AAPL,2019-11-29,2019-12-27,0.18385,267.7654450415767,True,3.537205081669691,0.23365408339501603,1.653,0.947,7.5,5.0,8.88888888888889,LOW,2019-11,3.303550998274675
AAPL,2019-12-06,2020-01-03,0.18275,270.6166606332957,True,3.3277553375649167,0.21862052156958323,1.7329999999999999,0.8969999999999999,7.5,5.0,8.695652173913043,LOW,2019-12,3.1091348159953336
AAPL,2019-12-13,2020-01-10,0.17445,275.14140923424793,True,3.6787273861509675,0.23670541676972542,1.6029999999999998,0.957,7.5,5.0,2.127659574468085,LOW,2019-12,3.442021969381242
AAPL,2019-12-20,2020-01-17,0.17305,279.3388493913197,True,3.4782803403493054,0.18680275338238791,2.233,0.7870000000000003,10.0,5.0,2.083333333333333,LOW,2019-12,3.2914775869669177
AAPL,2019-12-27,2020-01-24,0.22755,288.99021480999176,True,4.699954400364798,0.26198889449772844,2.1929999999999996,1.557,12.5,7.5,40.816326530612244,MID,2019-12,4.437965505867069
AAPL,2020-01-03,2020-01-31,0.29925,298.2800042887247,True,-1.0,0.27920859628176703,3.033,1.637,15.0,7.5,96.0,HIGH,2020-01,-1.279208596281767
AAPL,2020-01-10,2020-02-07,0.3251,309.80330068489116,True,-1.0,0.34898151895319035,3.103,2.587,15.0,10.0,98.0392156862745,HIGH,2020-01,-1.3489815189531904
AAPL,2020-01-17,2020-02-14,0.2966499999999999,318.10444604884657,True,-1.0,0.31279537896026616,2.9829999999999997,1.7870000000000004,17.5,7.5,94.11764705882352,HIGH,2020-01,-1.3127953789602662
AAPL,2020-01-24,2020-02-21,0.32065,318.789848752437,True,-1.0,0.3049719431032233,3.343,2.337,20.0,10.0,98.0392156862745,HIGH,2020-01,-1.3049719431032232
AAPL,2020-01-31,2020-02-28,0.2942,309.6267555473528,True,-1.0,-1.0,2.913,1.987,12.5,10.0,92.15686274509804,HIGH,2020-01,0.0
AAPL,2020-02-07,2020-03-06,0.2435,319.7299198325161,True,-1.0,-1.0,2.483,1.4370000000000003,12.5,7.5,49.01960784313725,MID,2020-02,0.0
AAPL,2020-02-14,2020-03-13,0.2168999999999999,324.4491029209406,True,-1.0,-1.0,2.633,1.4470000000000005,12.5,7.5,31.372549019607842,LOW,2020-02,0.0
AAPL,2020-02-21,2020-03-20,0.25295,312.26331831398784,True,-1.0,-1.0,2.3729999999999993,1.9370000000000003,10.0,10.0,66.66666666666666,MID,2020-02,0.0
AAPL,2020-02-28,2020-03-27,0.48125,267.71641010190274,False,-1.0,0.2591286829513977,4.023,3.0870000000000006,17.5,15.0,100.0,HIGH,2020-02,-1.2591286829513977
AAPL,2020-03-06,2020-04-03,0.4483,287.3866122393886,False,-1.0,-1.0,5.503,2.8869999999999996,20.0,17.5,98.0392156862745,HIGH,2020-03,0.0
AAPL,2020-03-20,2020-04-17,0.6476999999999999,235.51618083621014,False,2.590552150538961,0.3060798014758701,5.943,4.686999999999999,25.0,20.0,100.0,HIGH,2020-03,2.284472349063091
AAPL,2020-03-27,2020-04-24,0.5599,251.60297566870437,False,0.6263724152393972,0.29985887246527515,4.792999999999999,4.037,20.0,17.5,98.0392156862745,HIGH,2020-03,0.3265135427741221
AAPL,2020-04-03,2020-05-01,0.48805,239.41211454408133,False,2.9861812383736384,0.2578164306763459,3.763,3.5870000000000006,15.0,17.5,96.07843137254902,HIGH,2020-04,2.7283648076972926
AAPL,2020-04-17,2020-05-15,0.37555,281.33865143065304,True,1.2467569100106914,0.3135426244581637,3.163,2.3870000000000005,15.0,10.0,90.19607843137256,HIGH,2020-04,0.9332142855525277
AAPL,2020-04-24,2020-05-22,0.3498,282.79520298624243,True,2.795930762222897,0.28816179312121604,3.293,2.237,12.5,10.0,88.23529411764706,HIGH,2020-04,2.507768969101681
AAPL,2020-05-01,2020-05-29,0.3077999999999999,289.55262691588064,True,3.5139933794763767,0.24797204542618242,3.323,1.9869999999999997,15.0,10.0,82.35294117647058,HIGH,2020-05,3.2660213340501945
AAPL,2020-05-08,2020-06-05,0.2461499999999999,309.9373072007862,True,2.250726093582896,0.24729752203558958,2.5629999999999997,1.487,12.5,7.5,43.13725490196079,MID,2020-05,2.0034285715473064
AAPL,2020-05-15,2020-06-12,0.28395,307.1064921063638,True,3.5737285034760338,0.240233163834801,2.7329999999999997,1.9370000000000003,12.5,10.0,74.50980392156863,HIGH,2020-05,3.3334953396412326
AAPL,2020-05-22,2020-06-19,0.246,318.3189645136755,True,3.412283798093893,0.21758188238159012,2.833,1.787,12.5,10.0,39.21568627450981,MID,2020-05,3.194701915712303
AAPL,2020-05-29,2020-06-26,0.2342,320.5236807325379,True,3.093327875562833,0.22689350564371022,2.443,1.3870000000000005,10.0,7.5,29.411764705882355,LOW,2020-05,2.866434369919123
AAPL,2020-06-12,2020-07-10,0.3192,338.8231505194056,True,2.893070334804049,0.2421743018980424,3.8529999999999998,2.4370000000000003,15.0,12.5,82.35294117647058,HIGH,2020-06,2.6508960329060067
AAPL,2020-06-19,2020-07-17,0.297,348.7402730440832,True,4.386479935362241,0.26443564022591254,3.713,3.1370000000000005,20.0,15.0,76.47058823529412,HIGH,2020-06,4.122044295136328
AAPL,2020-06-26,2020-07-24,0.3269499999999999,357.0603271370269,True,-1.0,0.2609704428528195,4.063,2.5869999999999997,20.0,12.5,86.27450980392157,HIGH,2020-06,-1.2609704428528195
