name,old_meanR,old_month_ctrl,old_edge,old_best_arm,old_n,n,best_arm,meanR,win,t,post_ctrl,post_edge,xname_ctrl,xname_edge,half1,half2,passed,top_arm,top_meanR,top_post_edge,top_xname_edge,stop_hold_meanR,stop_hold_post,stop_hold_xname,t1R_meanR,t1R_post,t1R_xname,t2R_meanR,t2R_post,t2R_xname,trail_bar_meanR,trail_bar_post,trail_bar_xname,ema20_meanR,ema20_post,ema20_xname
in-play up mover (+4% on 2x vol),-0.2359191274206905,-0.0740327493196235,-0.1618863781010669,t1R,9294,13331,ema20,-0.07637668536946911,42.21738804290751,-0.42435458931729064,-0.02301619144320239,-0.05336049392626672,-0.059754148520698804,-0.016622536848770304,-0.11030252635628147,-0.05642292352149526,False,ema20,-0.07637668536946911,-0.05336049392626672,-0.016622536848770304,-0.10397094834254399,4.2338785350325354e-05,-0.05128394952336612,-0.2237324689865477,-0.14390112932131155,-0.15792266519451784,-0.15999108035073725,-0.08102405587399227,-0.10686909861051495,-0.11278208609680417,-0.012228274192855144,-0.058955801195237814,-0.07637668536946911,-0.02301619144320239,-0.059754148520698804
in-play down mover (-4% on 2x vol),-0.0822142680398078,0.0754892538764412,-0.157703521916249,ema20,8693,13955,ema20,-0.05790253333281678,42.71587244715156,-2.6303981959579774,-0.14763319546685355,0.08973066213403677,-0.040642260586145895,-0.017260272746670885,0.06344422638669804,-0.1402355946243471,False,ema20,-0.05790253333281678,0.08973066213403677,-0.017260272746670885,-0.0770025782084805,-0.1586056754337954,-0.06023261546904489,-0.25626925428736114,-0.238849900261338,-0.20786030705621927,-0.19141619738733365,-0.19509923702272408,-0.15399983966175845,-0.09895684166394324,-0.15253445666278423,-0.07234350498501761,-0.05790253333281678,-0.14763319546685355,-0.040642260586145895
Bouncy ball (Breitstein short),-0.338,-0.002,-0.336,t1R,1811,1404,stop_hold,-0.08496497896060118,41.5954415954416,0.4185999336050923,-0.2026337581778034,0.11766877921720223,-0.15265396783359883,0.06768898887299765,0.08242833571543026,-0.1700101323889179,False,trail_bar,-0.08006502158611098,0.11358311420299,0.07833195695916856,-0.08496497896060118,-0.2026337581778034,-0.15265396783359883,-0.3164174169433097,-0.3599314393594214,-0.3571591969710755,-0.20726264310383238,-0.3005489941836181,-0.27941472316627863,-0.08006502158611098,-0.19364813578910098,-0.15839697854527954,-0.08488546517652462,-0.1880473770041836,-0.12664695848143076
"20d breakout ADR>=3, HIGH-vol regime (panel p80, 1 ADR stop, hold 5)",-0.2160581465832285,0.1504547943072003,-0.3665129408904288,t1R,17281,17281,t1R,-0.21605814658322856,48.03541461720965,-5.654347991789424,-0.16648780332791874,-0.04957034325530982,-0.15814281802982638,-0.05791532855340217,-0.35226729666006124,-0.115677657251302,False,trail_bar,-0.08262297891761361,-0.058989887038552055,-0.05264538412035446,-0.08740274024364099,-0.011447377619678576,-0.02530415375991772,-0.21605814658322856,-0.16648780332791874,-0.15814281802982638,-0.15116517300234716,-0.09103331090056785,-0.09261251607699102,-0.08262297891761361,-0.023633091879061555,-0.02997759479725915,-0.08692735816140011,-0.021875165956012875,-0.04778228554319974
"20d breakout ADR>=3, LOW-vol regime (panel p80, 1 ADR stop, hold 5)",-0.2240363627703215,0.1438392372179993,-0.367875599988321,t1R,24514,24514,t1R,-0.22403636277032157,47.760463408664435,-10.46398637448014,-0.1637074260788513,-0.06032893669147027,-0.12971686424616252,-0.09431949852415905,-0.2166066586646824,-0.22867875825012934,False,ema20,-0.0695231269885288,-0.08918909710518651,-0.02085138623916523,-0.06962747845792913,0.03835664753749526,-0.03046868437208369,-0.22403636277032157,-0.1637074260788513,-0.12971686424616252,-0.1531460900388829,-0.06670051477563149,-0.08279601293886783,-0.08894127831174119,0.019034689404409895,-0.04873571762982509,-0.0695231269885288,0.0196659701166577,-0.048671740749363576
"boring stock, violent move (drop >= 4x own ADR, ADR bottom tercile)",-0.1579388925971338,-0.6081402553611303,0.4502013627639964,ema20,628,628,ema20,-0.15793889259713384,43.47133757961784,-3.5535041882740313,-0.13177640868366228,-0.026162483913471563,-0.1901809982497896,0.032242105652655756,-0.007116924315729239,-0.2421447061537493,False,ema20,-0.15793889259713384,-0.026162483913471563,0.032242105652655756,-0.5810149002848786,-0.11955447403454215,-0.5468621287365205,-0.6033819430276671,-0.3495896536540959,-0.7434124837846896,-0.5769243796322613,-0.2680318511566121,-0.6761343942910233,-0.561855022098419,-0.12344721088945071,-0.5518953800807509,-0.15793889259713384,-0.13177640868366228,-0.1901809982497896
"violent move, any ADR (drop >= 4x own ADR)",-0.4174439200645846,-0.8615675381378585,0.4441236180732738,stop_hold,1644,1644,ema20,-0.13408624604720007,44.82968369829683,-3.205043785048717,-0.10777885080265173,-0.026307395244548337,-0.07202799451448089,-0.06205825153271918,-0.08217431365997083,-0.15844171030394297,False,ema20,-0.13408624604720007,-0.026307395244548337,-0.06205825153271918,-0.41744392006458464,-0.07520953389352446,-0.25930004699488096,-0.6008078716457367,-0.3571263196983298,-0.48108873942389246,-0.5133786634462906,-0.2509440507511998,-0.4153700956747268,-0.3985466174883111,-0.09194541540887148,-0.23899461136649316,-0.13408624604720007,-0.10777885080265173,-0.07202799451448089
counter-trend long: >=3 ADR below 20 EMA + prior-bar-high break,-0.1535603548644694,-0.4817532983035609,0.3281929434390914,stop_hold,9015,9015,trail_bar,-0.14865652620663972,37.91458679977815,-2.4468205052593133,-0.05437908890224565,-0.09427743730439406,-0.17571382585935422,0.0270572996527145,-0.1888816971089945,-0.11523630399674262,False,trail_bar,-0.14865652620663972,-0.09427743730439406,0.0270572996527145,-0.15356035486446942,-0.0359181215532102,-0.18394156039431964,-0.32639845928664474,-0.22258486158515664,-0.3328563298655611,-0.2551620534211473,-0.14227855702565537,-0.27975601226315616,-0.14865652620663972,-0.05437908890224565,-0.17571382585935422,-0.1493745222924428,-0.03839133473323493,-0.17084291445647085
"prior-bar-high break in a down leg, <3 ADR below 20 EMA (no extension gate)",-0.083804489504027,-0.1459969485179216,0.0621924590138945,ema20,155515,155514,ema20,-0.08380448950402705,39.56106845685919,-4.161372667465028,-0.09790099173832796,0.014096502234300909,-0.1105330997054861,0.026728610201459044,-0.10205295426878816,-0.07196663834589327,False,ema20,-0.08380448950402705,0.014096502234300909,0.026728610201459044,-0.08494881258259011,-0.07407066895835973,-0.10132589279716031,-0.29024798502614574,-0.30349607084318836,-0.33993047374871627,-0.20715766597853794,-0.21354325437643493,-0.25225938067072773,-0.09259084150409597,-0.08686196320872538,-0.10994785220379644,-0.08380448950402705,-0.09790099173832796,-0.1105330997054861
"precision-tier breakout (house), next-open entry",-0.2747620368676105,0.1506101206928524,-0.425372157560463,t1R,1944,1944,ema20,-0.036970479593446105,43.93004115226338,-0.5451533154080825,-0.01052549494232514,-0.026444984651120967,-0.07259430096935839,0.03562382137591228,-0.19932818883806733,0.06837612564161348,False,stop_hold,-0.03690268438274121,-0.03628221084868725,0.024212191345453986,-0.03690268438274121,-0.0006204735340539649,-0.0611148757281952,-0.2747620368676105,-0.21437100909787393,-0.18413096278243488,-0.1695953985946662,-0.12554098662085275,-0.12670950381923574,-0.062486135581232595,-0.01566610643396519,-0.05792000520497798,-0.036970479593446105,-0.01052549494232514,-0.07259430096935839
