group,exit,measure,n,mean,gross,t,h1,h2,yrs,win,PASS,primary
pooled,take,abs,4939,-7.25599857319565,-4.570980774058218,-4.313824574637553,-8.035111916180519,-6.656873806939017,11/15,0.7831544847135048,True,True
pooled,take,diff,4919,-4.226040209268372,,-1.7445894519695833,-3.9424042810623408,-4.443735625239657,11/15,,False,False
pooled,hold,abs,4937,-8.743919792575245,-7.002115681904286,-4.046660952603858,-8.680609226085666,-8.792639429225112,11/15,0.7168320842616974,True,False
pooled,hold,diff,4917,-5.015793841435818,,-1.5782341969671023,-4.64435562407973,-5.301084036427766,10/15,,False,False
ETFs,take,abs,1373,-6.383321371456722,-3.777317777080711,-1.974231826333813,-7.18330582487745,-5.6208895310699685,10/15,0.7713037144938092,False,False
ETFs,take,diff,1367,-4.931533695064098,,-1.030441163527357,-5.287873214988361,-4.591993038221979,8/15,,False,False
ETFs,hold,abs,1373,-7.280307118521401,-5.628245300724643,-1.689258067042298,-6.831868545407702,-7.707695232299749,10/15,0.7021121631463948,False,False
ETFs,hold,diff,1367,-5.756269114040878,,-0.898180348153261,-6.055889010517802,-5.470774155540722,10/15,,False,False
names,take,abs,3566,-7.592001320808536,-4.875791765624683,-4.851994706496724,-8.421510075403983,-7.005508055831284,11/15,0.78771733034212,True,False
names,take,diff,3552,-3.9545284989410194,,-1.863829141796311,-3.3314936078637993,-4.393913162883619,11/15,,False,False
names,hold,abs,3564,-9.307763844616751,-7.530054118332958,-4.768432569963,-9.519239054152177,-9.15809978880275,12/15,0.7225028058361391,True,False
names,hold,diff,3550,-4.730658715336914,,-1.8314025331495396,-4.003448361483274,-5.244004227019275,11/15,,False,False
