date,sym,ret
2010-02-17,DE,7.3468717267140216
2010-04-29,FSLR,-7.568887499083621
2010-10-15,GOOG,0.10553840717235641
2010-10-20,DAL,1.5699528199621504
2010-10-21,EBAY,6.918299838897624
2010-11-03,HIG,-4.766287684472992
2011-01-11,LEN,-2.4186548534250063
2011-01-21,ISRG,-0.028670653550000313
2011-02-24,BKNG,-3.893139491307429
2011-04-20,INTC,7.395954800667326
2011-05-05,ON,-0.10924397274807429
2011-05-27,MRVL,-2.9771868524965828
2011-07-15,GOOG,-3.5564125693463344
2011-07-28,BSX,-5.134976603288511
2011-08-11,CSCO,-5.904467193800311
2011-10-26,FFIV,1.249008929547224
2011-10-27,EQT,-4.790449332796609
2012-01-31,MCK,-1.1401978749360664
2012-02-01,FTNT,2.191576158247277
2012-02-06,HCA,-4.030145438469946
2012-04-19,BSX,4.747559562045867
2012-04-27,EXPE,14.73477058360384
2012-05-03,ON,-2.221974322079878
2012-05-15,DKS,-4.287484865816427
2012-07-26,TSCO,5.185351102036129
2012-07-26,WDC,6.992284884544242
2012-08-16,CSCO,-0.8294381446140919
2012-10-10,YUM,-0.031103987056679827
2012-10-23,TPR,-4.07852655055847
2012-10-26,EXPE,-6.0526774539183865
2012-11-14,ANF,8.614069640920462
2012-11-30,ULTA,-3.4342502725859148
2013-01-23,ISRG,-2.000241527771629
2013-04-19,CMG,-1.6303835657279553
2013-04-23,TPR,3.770622478120167
2013-04-25,FFIV,-1.1193139142640085
2013-04-30,DB,1.0318257302900813
2013-06-12,ULTA,-1.8521198232045344
2013-08-01,NOW,-9.01834930910692
2013-08-20,URBN,-2.2563438379850087
2013-10-31,EXPE,15.145394952457991
2014-01-23,FFIV,4.6787169688686125
2014-01-27,CAT,4.52294695992177
2014-02-04,YUM,-2.304961517067461
2014-02-10,DKS,-0.5268283092715431
2014-03-14,ULTA,0.6697524487524698
2014-04-17,CMG,-2.7101246047687377
2014-04-22,NFLX,-5.391875188244244
2014-05-15,CSCO,-0.4474426979464097
2014-06-11,ULTA,-2.368253306257928
2014-07-23,ISRG,-1.1813062283062448
2014-08-19,TJX,0.8568179389302433
2014-09-12,ULTA,-1.4767295784413714
2014-10-23,TSCO,7.510989505797694
2014-10-30,FFIV,5.118838750886678
2015-01-21,NFLX,10.734146004851318
2015-01-29,TPR,-4.6849164567508765
2015-02-19,BKNG,-2.408759379468417
2015-02-24,FSLR,13.009582309875501
2015-04-16,PM,-3.571117164554627
2015-04-21,LRCX,-2.135789996562276
2015-04-24,MSFT,-2.2371417221625944
2015-05-19,TTWO,-3.861236989795791
2015-05-29,GME,-1.4420884495545128
2015-07-22,ISRG,-0.8894791838179317
2015-07-23,FFIV,-1.075242693679379
2015-07-30,WDC,-2.5666548380988474
2015-08-04,TPR,0.8169402283365601
2015-08-05,FSLR,-7.907786482566448
2015-08-20,NTAP,-2.04794798289033
2015-10-21,ISRG,-0.8452740844826612
2015-10-22,EBAY,3.454938317387768
2015-10-30,FSLR,-5.708312261035752
2015-11-06,MNST,-0.5319386368552892
2015-11-17,TJX,0.03436043410889322
2015-11-20,INTU,-2.2983237862544748
2015-12-03,AVGO,-1.7645431531122524
2016-01-26,TPR,1.956096163869936
2016-01-28,META,-4.809777242546376
2016-02-11,EXPE,0.5146394893202455
2016-02-17,BKNG,3.9575675664833776
2016-03-08,URBN,-6.519353624536228
2016-03-17,FDX,-0.7998207620356745
2016-04-21,TSCO,-2.1992337893896208
2016-04-29,EXPE,-2.9756042562534835
