# 12-1 momentum screener -- 2026-09-24 -- PREVIEW (not a completed month-end; nothing logged)
universe 1324 eligible (px >= $5, ADDV >= $50M, 252 sessions); top decile 133, top quintile 265; excluded for a >45% day: 32
rank ticker      12-1     close  ADDV $M  bucket
   1 AXTI    +1305.2%     75.90      688  D1
   2 SNDK    +1291.7%   1753.62    20458  D1
   3 SLS      +728.8%     11.98       87  D1
   4 SYRE     +570.2%     87.09      104  D1
   5 ORKA     +554.4%     85.49       86  D1
   6 MU       +460.6%   1080.53    30770  D1
   7 TWST     +447.8%    184.03      225  D1
   8 LITE     +440.0%    929.04     4039  D1
   9 TXG      +418.2%     84.11      179  D1
  10 RVMD     +378.2%    199.86      380  D1
  11 RLAY     +362.2%     17.73       53  D1
  12 WDC      +308.8%    450.31     3510  D1
  13 IOVA     +307.7%     10.80      122  D1
  14 VICR     +261.6%    276.06      196  D1
  15 STX      +260.2%    905.92     3875  D1
  16 DELL     +236.1%    536.02     3792  D1
  17 CDNA     +226.3%     61.37       60  D1
  18 NESR     +222.5%     32.77       61  D1
  19 MRVL     +222.1%    258.95     4945  D1
  20 ALM      +218.2%     12.40      100  D1
  21 IBRX     +216.2%      8.64       74  D1
  22 LQDA     +214.0%     70.95      107  D1
  23 ICHR     +211.1%     56.47       54  D1
  24 TSEM     +210.4%    217.28      422  D1
  25 DOCN     +204.6%    141.57      374  D1
  26 VIAV     +203.9%     37.23      186  D1
  27 INTC     +198.2%    127.39    10881  D1
  28 AMD      +197.8%    629.26    12193  D1
  29 DNTH     +196.0%     90.71       83  D1
  30 EWTX     +193.0%     41.16       55  D1
  31 FORM     +190.4%    129.04      136  D1
  32 AXGN     +188.6%     43.32       50  D1
  33 AEHR     +184.2%     97.42      260  D1
  34 PSNL     +182.3%     16.57       56  D1
  35 BE       +181.0%    266.65     3669  D1
  36 CIEN     +177.9%    358.43      885  D1
  37 SPHR     +177.7%    138.44      101  D1
  38 TVTX     +176.6%     60.62       95  D1
  39 GH       +176.2%    176.45      330  D1
  40 ATI      +175.6%    186.21      351  D1
  41 ARWR     +173.5%     66.07      151  D1
  42 TER      +172.1%    387.70     1094  D1
  43 IRDM     +165.7%     48.89       55  D1
  44 COHR     +163.6%    290.61     1971  D1
  45 AUGO     +157.6%     83.07       76  D1
  46 UCTT     +156.4%     76.52       88  D1
  47 ABCL     +155.1%     12.65       67  D1
  48 CLMT     +154.1%     53.85       65  D1
  49 KYMR     +148.9%    115.81       78  D1
  50 ROIV     +147.4%     36.13      277  D1
  51 VSAT     +143.2%     73.72      144  D1
  52 HUT      +141.4%    101.54      453  D1
  53 AMAT     +139.0%    474.25     3533  D1
  54 LRCX     +138.5%    307.16     2904  D1
  55 PTGX     +131.5%    137.34       82  D1
  56 LFST     +129.5%     11.80       56  D1
  57 HBM      +129.1%     26.48      118  D1
  58 ILMN     +126.4%    273.90      584  D1
  59 GSAT     +124.1%     82.46       67  D1
  60 COHU     +122.2%     63.70       53  D1
  61 TWLO     +116.5%    299.66      525  D1
  62 HPE      +116.4%     63.52     1116  D1
  63 KRYS     +115.9%    344.96      134  D1
  64 CGON     +115.1%     68.76       62  D1
  65 RNG      +114.8%     79.82      120  D1
  66 GKOS     +114.2%    154.88      135  D1
  67 HAE      +113.9%    106.00       69  D1
  68 ONTO     +113.3%    279.73      290  D1
  69 FCEL     +112.4%     16.39      154  D1
  70 MATX     +111.6%    224.82       65  D1
  71 MKSI     +110.5%    257.98      402  D1
  72 PTEN     +109.8%     11.18       96  D1
  73 PBF      +109.5%     71.90      242  D1
  74 MRX      +108.6%     72.69       51  D1
  75 CAKE     +108.5%    105.05      178  D1
  76 SMTC     +108.1%    174.50      430  D1
  77 MTSI     +106.7%    284.94      383  D1
  78 NBIS     +105.9%    243.48     4643  D1
  79 VSH      +105.9%     31.80      144  D1
  80 INSW     +104.9%    104.85       62  D1
  81 MT       +104.8%     71.30       97  D1
  82 DK       +104.7%     66.91      134  D1
  83 SCCO     +104.7%    201.58      224  D1
  84 ACMR     +104.6%     76.18       79  D1
  85 BTSG     +104.5%     56.02      212  D1
  86 CRS      +103.4%    400.85      369  D1
  87 JAZZ     +101.1%    236.28      217  D1
  88 VLO       +99.8%    382.86     1077  D1
  89 DYN       +99.7%     16.51       63  D1
  90 KLIC      +98.7%     88.47       78  D1
  91 JBHT      +98.7%    229.15      276  D1
  92 TTMI      +98.6%    126.98      314  D1
  93 DAR       +98.5%     61.74      156  D1
  94 CNC       +98.5%     61.92      306  D1
  95 PARR      +98.2%     76.77       80  D1
  96 CRL       +98.1%    294.44      255  D1
  97 OII       +96.9%     46.67       50  D1
  98 MRK       +95.7%    147.98     1442  D1
  99 MTRN      +95.5%    256.14       79  D1
 100 POWL      +95.3%    191.62      130  D1
 101 NTRA      +94.8%    408.79      433  D1
 102 FIX       +94.2%   1643.39      711  D1
 103 ENVA      +94.2%    171.90       80  D1
 104 LNTH      +93.8%     99.72      146  D1
 105 HP        +93.0%     39.82       51  D1
 106 TIGO      +89.4%     91.00      106  D1
 107 FTI       +88.8%     70.95      229  D1
 108 MSGS      +88.5%    402.50       94  D1
 109 ADPT      +88.4%     29.57       59  D1
 110 TGT       +87.8%    156.15      613  D1
 111 GTX       +87.8%     25.30       73  D1
 112 HL        +87.3%     17.94      703  D1
 113 MOG.A     +87.1%    382.75      105  D1
 114 SITM      +86.8%    643.24      280  D1
 115 VIRT      +86.2%     52.66       74  D1
 116 MPC       +85.9%    390.95      962  D1
 117 TECK      +85.4%     66.51      199  D1
 118 IAG       +84.6%     19.36      105  D1
 119 PCVX      +84.3%     56.90       65  D1
 120 FLEX      +84.1%    112.40      441  D1
 121 NUE       +83.0%    247.96      355  D1
 122 PENG      +82.7%     53.08      107  D1
 123 BB        +82.4%      8.73      112  D1
 124 GLW       +81.7%    154.15     1653  D1
 125 CHEF      +81.2%    110.36       76  D1
 126 FRO       +80.9%     47.97      123  D1
 127 NVTS      +80.8%     11.84      159  D1
 128 FTNT      +80.2%    178.67      790  D1
 129 AG        +80.0%     18.76      189  D1
 130 KEYS      +79.9%    357.54      409  D1
 131 VRT       +79.3%    245.30     1446  D1
 132 EAT       +79.3%    206.71      264  D1
 133 PSX       +79.1%    255.87      698  D1
 134 PL        +78.8%     17.62      171  Q1
 135 FROG      +78.2%     94.20      185  Q1
 136 AU        +77.7%     98.49      271  Q1
 137 ALKS      +77.3%     40.79       83  Q1
 138 CVE       +77.3%     31.28      214  Q1
 139 DINO      +76.6%    105.79      278  Q1
 140 BFH       +76.3%    101.56       59  Q1
 141 FCX       +76.2%     72.08      944  Q1
 142 ENS       +76.1%    177.13       98  Q1
 143 CELC      +75.8%     79.37       87  Q1
 144 VTRS      +74.2%     17.42      156  Q1
 145 OSCR      +74.2%     28.87      166  Q1
 146 AXSM      +73.9%    196.03      141  Q1
 147 KNX       +73.6%     65.50      256  Q1
 148 VCTR      +73.1%    106.10       71  Q1
 149 AIR       +72.8%    120.56       57  Q1
 150 SRRK      +72.6%     48.61       78  Q1
 151 STM       +72.6%     51.58      501  Q1
 152 UNF       +72.4%    257.86       67  Q1
 153 APA       +72.4%     43.68      230  Q1
 154 CAT       +72.2%    805.25     2278  Q1
 155 LGN       +71.4%     52.45       70  Q1
 156 COKE      +71.3%    189.65       96  Q1
 157 PR        +71.3%     21.85      216  Q1
