  2010Q1: 433 hits so far
  2010Q2: 912 hits so far
  2010Q3: 1,239 hits so far
  2010Q4: 1,802 hits so far
  2011Q1: 2,324 hits so far
  2011Q2: 2,822 hits so far
  2011Q3: 3,131 hits so far
  2011Q4: 3,471 hits so far
  2012Q1: 4,047 hits so far
  2012Q2: 4,512 hits so far
  2012Q3: 5,097 hits so far
  2012Q4: 5,582 hits so far
  2013Q1: 6,150 hits so far
  2013Q2: 6,807 hits so far
  2013Q3: 7,393 hits so far
  2013Q4: 8,022 hits so far
  2014Q1: 8,664 hits so far
  2014Q2: 9,396 hits so far
  2014Q3: 9,842 hits so far
  2014Q4: 10,392 hits so far
  2015Q1: 11,176 hits so far
  2015Q2: 11,923 hits so far
  2015Q3: 12,484 hits so far
  2015Q4: 13,062 hits so far
  2016Q1: 13,501 hits so far
  2016Q2: 14,224 hits so far
  2016Q3: 14,925 hits so far
  2016Q4: 15,571 hits so far
  2017Q1: 16,443 hits so far
  2017Q2: 17,207 hits so far
  2017Q3: 17,906 hits so far
  2017Q4: 18,725 hits so far
  2018Q1: 19,562 hits so far
  2018Q2: 20,420 hits so far
  2018Q3: 21,150 hits so far
  2018Q4: 21,694 hits so far
  2019Q1: 22,470 hits so far
  2019Q2: 23,298 hits so far
  2019Q3: 24,044 hits so far
  2019Q4: 24,818 hits so far
  2020Q1: 25,594 hits so far
  2020Q2: 26,893 hits so far
  2020Q3: 28,194 hits so far
  2020Q4: 29,316 hits so far
  2021Q1: 31,167 hits so far
  2021Q2: 32,272 hits so far
  2021Q3: 33,341 hits so far
  2021Q4: 34,450 hits so far
  2022Q1: 35,106 hits so far
  2022Q2: 35,638 hits so far
  2022Q3: 36,273 hits so far
  2022Q4: 36,932 hits so far
  2023Q1: 37,640 hits so far
  2023Q2: 38,452 hits so far
  2023Q3: 39,153 hits so far
  2023Q4: 39,821 hits so far
  2024Q1: 40,690 hits so far
  2024Q2: 41,588 hits so far
  2024Q3: 42,421 hits so far
  2024Q4: 43,313 hits so far
  2025Q1: 44,138 hits so far
  2025Q2: 45,003 hits so far
  2025Q3: 46,095 hits so far
  2025Q4: 47,154 hits so far
  2026Q1: 48,178 hits so far
  2026Q2: 49,225 hits so far
kind
atm           7724
primary      25736
secondary    15765
dtype: int64
