i,j,date,sym,ret,held,R,ext,stop_adr,adr,ext_terc,adr_terc,gate
188,1576,2019-10-01,ULTA,-5.974165956302169,False,-1.2242441197448901,1.7150200371427071,1.5643681966590466,3.119394325256347,high ext,0,False
188,1586,2019-10-01,URBN,-2.608038865016793,False,-1.3040194325083965,0.04008111836535792,0.23246589970408085,4.426893968303515,low ext,0,True
191,1325,2019-10-04,RNG,-6.250155471549467,True,-0.5580371409183221,3.624785905548836,2.9014149151305033,3.8602717291079744,high ext,0,False
192,1310,2019-10-07,RH,0.04484579563719393,False,0.015577022620238313,0.019358335195427664,0.8145933301046603,3.5342432171663787,low ext,1,False
192,1325,2019-10-07,RNG,-6.584667628982643,False,-2.4146543094457926,0.4029084804582712,0.6043601327552143,4.512145399030062,mid ext,2,False
192,1652,2019-10-07,WDAY,-4.885645745198463,False,-1.36185679387734,0.17568241853229363,1.088207122074962,3.296696505309497,low ext,0,False
194,70,2019-10-09,ALGN,41.564273219432835,True,20.0,0.16134800814283054,0.5470469596122194,3.4394013059445077,low ext,1,False
194,151,2019-10-09,AU,-8.215686845081716,False,-4.107843422540858,0.03148889317809546,0.3254030188778269,4.4747250985221445,low ext,2,False
194,491,2019-10-09,DOCU,-3.951246000134445,False,-1.132013189592199,0.6169512944055491,1.0025458534090173,3.4815956984636647,high ext,2,False
194,1006,2019-10-09,MKTX,-4.371385267950611,False,-1.963364446414419,0.11543190468337935,0.6763409096171555,3.2919445005251826,low ext,0,True
195,70,2019-10-10,ALGN,37.94807302303693,True,14.73675453879617,0.3940890820124819,0.7549597506787532,3.4108614545527924,mid ext,0,False
195,1006,2019-10-10,MKTX,-3.2291827251831773,False,-1.6145913625915886,0.2666972321770283,0.5325279942897432,3.163798012026514,mid ext,0,True
196,70,2019-10-11,ALGN,33.81982711945331,True,10.98924138912547,0.9199315646861979,0.9492094888867666,3.242213419630123,high ext,1,False
196,464,2019-10-11,DECK,-2.2724918599727584,False,-0.8581994921682333,0.23683779074930714,0.8402557673653831,3.1513931086668348,mid ext,0,True
196,1358,2019-10-11,SAM,-1.9266895719628252,False,-0.9633447859814126,0.3407356551797184,0.3496665776062736,3.6664015227028224,mid ext,2,False
196,1652,2019-10-11,WDAY,-11.250606776147043,False,-5.6253033880735215,0.21692436525903921,0.46459256169390983,3.244621355775988,mid ext,2,False
197,70,2019-10-14,ALGN,30.56484466584053,True,11.720352199901113,0.3845741382783185,0.7823103559473493,3.333515287377816,mid ext,0,False
197,1389,2019-10-14,SHOP,-6.188397347362862,False,-1.3631897632717687,0.049717087923828694,0.9142191972048405,4.96559778417362,low ext,2,True
197,1540,2019-10-14,TSLA,27.748602264076094,False,7.253579317441435,0.6418720244163773,1.0730628871846506,3.565033152955087,high ext,1,True
198,70,2019-10-15,ALGN,28.006581057551337,True,13.986572008597102,0.3573458035178697,0.5871678420674914,3.410252588001285,mid ext,2,False
198,776,2019-10-15,HUBS,-3.3537663197762857,False,-1.4069828805553792,0.22207172683000787,0.703231168962179,3.389579889407157,mid ext,1,True
198,1389,2019-10-15,SHOP,-6.6709041706726975,False,-3.3354520853363487,0.002926488315370113,0.13927271737929575,4.9378677231046515,low ext,2,True
198,1711,2019-10-15,XYZ,-6.160801553099448,False,-1.913420269961828,0.36162254174176517,1.0254233156829513,3.139956716276917,mid ext,0,True
199,70,2019-10-16,ALGN,26.60889296368103,False,13.304446481840515,0.2869626003521102,0.47734964956345516,3.4261381032396745,mid ext,0,False
199,884,2019-10-16,KNX,-1.789021855225792,False,-0.4221864411166119,0.2018316341003073,1.3777224694730743,3.075740017719081,mid ext,0,False
200,70,2019-10-17,ALGN,25.21212282892136,False,11.475278236968261,0.1769046231974172,0.6546837732653128,3.3559432868631776,low ext,1,False
200,464,2019-10-17,DECK,-2.598691228538297,False,-1.230024001141647,0.3255968046254123,0.6971089331353149,3.030682537928746,mid ext,0,True
200,1330,2019-10-17,ROKU,-6.751725586251267,False,-1.0514688605103228,0.4466852408949267,0.9520048737986869,6.744957157631679,mid ext,2,True
200,1717,2019-10-17,Z,46.34254197631773,True,17.501155261071258,0.5036280878633317,0.7510259085465164,3.525804396497051,high ext,2,False
201,1019,2019-10-18,MOH,-2.205060223561295,False,-1.1025301117806474,0.33227692452446866,0.5727041220227621,3.011259838380842,mid ext,0,False
202,88,2019-10-21,AMD,-2.2874041234609677,False,-1.1437020617304838,0.5929878867545166,0.5929878867545166,3.2642859615017503,high ext,2,True
202,1168,2019-10-21,P,0.017397816744946226,False,0.008698908372473113,0.1257181549985857,0.2334760842026868,3.0293723739810354,low ext,1,True
202,1700,2019-10-21,WYNN,2.3299893065218624,False,1.016066513600101,0.1837733019300086,0.7577113964506871,3.026411439538841,low ext,0,True
202,1717,2019-10-21,Z,41.31373049686553,False,11.471438436219275,0.4459217543087393,0.9909361817641041,3.6343842976231846,mid ext,2,False
203,80,2019-10-22,ALNY,-2.315357292407494,False,-1.157678646203747,0.6660303313198676,0.5269058925032111,3.7889461493462973,high ext,2,True
203,448,2019-10-22,CZR,40.43918902370356,False,20.0,0.031137898086252395,0.2740168290961021,3.683725106768798,low ext,2,True
203,884,2019-10-22,KNX,-3.3798239010792375,False,-0.9091716347881555,0.33523358915649293,1.2033611242216962,3.089244043967875,mid ext,0,True
203,891,2019-10-22,KSS,-3.3668620151154793,False,-1.0243786740656615,0.48847378690483706,1.0493182578070646,3.1322582361843154,mid ext,1,True
203,1168,2019-10-22,P,-3.297229573891425,False,-0.8035933304612423,0.739919917546928,1.3579682110070703,3.0215045971117895,high ext,0,True
203,1193,2019-10-22,PEN,11.596580573967064,False,4.927727160408652,0.12252590301797503,0.7330830046031236,3.210185619847096,low ext,1,True
203,1586,2019-10-22,URBN,-0.19980019980019303,False,-0.06321139388003143,0.25392868264153495,0.8887513206494095,3.55647935497155,mid ext,2,False
204,70,2019-10-23,ALGN,23.151159017437315,True,7.437775344951483,0.14595596747607903,0.9234726726059447,3.3705877118455607,low ext,1,True
204,605,2019-10-23,FCX,-5.519851218788563,False,-1.03548328570519,0.019508700460539284,1.547606003139543,3.4444816321723026,low ext,1,True
204,705,2019-10-23,GNRC,11.280949348660396,True,4.000057091021841,0.46318151109333283,0.9300370403853582,3.0323492105359717,mid ext,0,True
204,733,2019-10-23,HAL,-4.0021619067101,False,-1.0238454432619382,0.14788850947756957,1.0620920248672208,3.680426121630015,low ext,2,False
204,884,2019-10-23,KNX,-3.966319795118012,False,-0.8945465911712898,0.1469072108631245,1.4518284643405732,3.054002972825296,low ext,0,True
204,891,2019-10-23,KSS,-3.2728750871302226,False,-1.4171820042324252,0.1554627787533234,0.7354372955358828,3.140206088700727,low ext,0,False
204,949,2019-10-23,LUMN,8.949195696400981,False,2.4924448186376753,0.24153513144809996,1.135200826319768,3.1629021357128284,mid ext,1,False
204,1099,2019-10-23,NTNX,-2.5232275501623436,False,-0.7657446472920826,0.34845536650895786,0.801448173753729,4.111468853500053,mid ext,2,False
204,1168,2019-10-23,P,-3.3988638148662487,False,-1.6994319074331243,0.01726870605743956,0.5353200067739179,3.0430657707166344,low ext,0,True
204,1372,2019-10-23,SEDG,-7.485760474356907,False,-1.5120248741214257,0.2642505844288473,1.197054824891164,4.135832574317972,mid ext,2,True
204,1506,2019-10-23,THO,5.906031754007457,True,2.9530158770037285,0.08193402867203249,0.4752005232970964,3.9991389174563707,low ext,2,True
204,1586,2019-10-23,URBN,-0.7170770354262945,False,-0.30075643081262515,0.09770566381894949,0.6741670304121641,3.5365791499190524,low ext,1,False
205,2,2019-10-24,AAL,0.4981800000079417,False,0.1592551359695337,0.5656669480535709,1.0408261124647171,3.0054856708953546,high ext,0,True
205,70,2019-10-24,ALGN,7.3691303773070205,True,1.144693177888176,3.655393346795326,1.8755783546780151,3.4323528991310437,high ext,1,True
205,151,2019-10-24,AU,-6.575790031616513,False,-1.3954598307277055,0.46854462595533325,1.1885163779994865,3.964837818245609,mid ext,1,False
205,448,2019-10-24,CZR,35.68594268428982,False,17.84297134214491,0.2506780743529081,0.2343993741239388,3.46456760390154,mid ext,1,True
205,705,2019-10-24,GNRC,10.529383280762428,False,5.264691640381214,0.021659714154590472,0.5740044593938546,3.0668810368225574,low ext,0,True
205,1099,2019-10-24,NTNX,-3.933939231711492,False,-1.4473822321863674,0.17584734513597522,0.6605004226507826,4.1150139342288785,low ext,2,False
205,1372,2019-10-24,SEDG,-9.464674688809161,False,-3.73394961115513,0.22741294781603352,0.5988537746155255,4.232689853941424,mid ext,2,False
205,1506,2019-10-24,THO,-1.1825892250006853,True,-0.26141669083888014,1.0703449647347718,1.1277801126423783,4.01121714511703,high ext,2,True
205,1540,2019-10-24,TSLA,9.537778823520737,True,2.727371939557516,3.557432671082288,1.0682478829511537,3.2736393949519105,high ext,0,True
206,2,2019-10-25,AAL,-4.223870468583346,False,-0.8355675031461121,1.0503492824113438,1.6223220322554268,3.115960790447483,high ext,0,True
206,39,2019-10-25,AEO,-5.411454124951387,False,-1.8398952450577104,0.21270533651008158,0.8685531126776795,3.386292767541086,mid ext,1,False
206,88,2019-10-25,AMD,57.770357222305016,False,20.0,0.45513262175081043,0.8900347691901694,3.022697962849552,mid ext,0,False
206,151,2019-10-25,AU,-6.871164937346275,False,-2.304963980151202,0.056142258457457996,0.7410994219024065,4.0224416794587885,low ext,2,False
206,448,2019-10-25,CZR,34.396718166320284,False,15.488841770412211,0.30626772381165596,0.6805995574148277,3.2629198237707007,mid ext,1,True
206,733,2019-10-25,HAL,-5.267771264299991,False,-1.563538663780139,0.09982556401095735,0.8609698333156965,3.9131847184570203,low ext,2,False
206,891,2019-10-25,KSS,-4.527682897262908,False,-1.1976159575787937,0.2648719170639887,1.174642502670556,3.21849410208252,mid ext,1,False
206,923,2019-10-25,LITE,22.080354728734974,False,9.953823642178145,0.15353043538643893,0.7107978901272756,3.12082901014916,low ext,0,True
206,1099,2019-10-25,NTNX,-6.572208285476211,False,-1.4726810322842423,0.3254752056500476,1.0577948063597051,4.218919073979214,mid ext,2,False
206,1138,2019-10-25,OLLI,-2.276109316194963,False,-0.5139518226848949,0.5647616438337928,1.3855821601481138,3.196232938442746,high ext,1,True
206,1506,2019-10-25,THO,-5.911153481886489,False,-1.508132333976411,0.7356658224000096,0.9871419889877597,3.9705727640404067,high ext,2,True
206,1540,2019-10-25,TSLA,0.04047263337654261,True,0.004147497456885692,2.212413787905246,3.053511304302747,3.1957721110833948,high ext,0,True
206,1586,2019-10-25,URBN,-2.4364085167249083,False,-0.9566964356850766,0.33699891415426336,0.7433796240734375,3.4258259918059544,mid ext,1,False
206,1588,2019-10-25,URI,10.113424336679277,False,3.125922168384492,0.1212263556168736,0.9154487858945841,3.5341584458161672,low ext,2,True
206,1700,2019-10-25,WYNN,-1.0400906443297386,False,-0.29231415486278395,0.46527560267790435,1.1838302728999375,3.0056049854668108,mid ext,0,False
206,1717,2019-10-25,Z,-3.655200385959201,False,-1.3086390955284377,0.6275652400246297,0.782417789231256,3.5698715036941095,high ext,2,True
207,2,2019-10-28,AAL,-1.6000596020093516,False,-0.8000298010046758,0.4654319805093689,0.35650214638638056,3.2200678712350452,mid ext,0,True
207,439,2019-10-28,CVNA,-4.649034853178979,False,-1.3178090670484943,0.7218229250867864,0.87821612342986,4.0170654201702165,high ext,2,False
207,688,2019-10-28,GH,-4.632252625443101,False,-1.2824312081915479,0.38625794954089654,0.6617885416290218,5.458067654919805,mid ext,2,True
207,705,2019-10-28,GNRC,-2.126241639010895,False,-1.0631208195054476,0.07918094490362171,0.34425995324269426,3.1150473613909693,low ext,0,False
207,1143,2019-10-28,ON,-2.223087699530979,True,-0.3599366969041829,2.3311468081263627,1.9575654609817763,3.1551076021014257,high ext,0,True
207,1193,2019-10-28,PEN,-1.3884277302102843,False,-0.6942138651051422,0.022832852981934836,0.31758221230387096,3.0520406353055383,low ext,0,True
207,1330,2019-10-28,ROKU,-19.510272440457456,False,-2.7344140335900886,0.852693796300189,1.2258202851387172,5.8206603217689015,high ext,2,True
207,1506,2019-10-28,THO,-1.5284985729034917,False,-0.7642492864517458,0.15614599672133836,0.1487064948225135,3.979101569244057,low ext,1,False
207,1515,2019-10-28,TNDM,-4.107272555297481,False,-1.4732331161728967,0.23007032869729815,0.628402083249755,4.436540337318394,mid ext,2,True
207,1586,2019-10-28,URBN,-3.326874903508348,False,-1.4057236028604234,0.20120422712548916,0.7142713605266225,3.313395644428394,mid ext,1,False
207,1588,2019-10-28,URI,-1.9829809919262087,False,-0.9914904959631043,0.06312913104006013,0.3829884292703596,3.4942065537649074,low ext,1,True
207,1717,2019-10-28,Z,-3.538845886336539,False,-1.5278177179164745,0.4697122101099564,0.6559764381239497,3.5310337400681457,mid ext,1,True
208,70,2019-10-29,ALGN,4.5813587261587685,False,1.4928466710658248,0.28829252723068155,0.8486820202157838,3.6160472226830573,mid ext,1,False
208,365,2019-10-29,CNC,15.397103921216582,True,4.990058425357237,0.2167603660261174,1.0115550566483134,3.0503093437232276,mid ext,0,True
208,439,2019-10-29,CVNA,-2.8041001574258373,False,-1.164116656943038,0.2011409744373014,0.5946741582942932,4.050586881157808,mid ext,2,False
208,1089,2019-10-29,NOV,-6.398043682694842,False,-0.9075318617548311,2.2103909639787895,1.944217788489272,3.626105264070989,high ext,1,False
208,1138,2019-10-29,OLLI,-2.434025420845065,False,-1.2170127104225326,0.053228165727072514,0.4489769117322364,3.2679929524923845,low ext,0,True
208,1313,2019-10-29,RIG,-3.3246659358000086,False,-0.2831507679360831,0.45859116141596024,1.8343631878427267,6.400957498111742,mid ext,2,False
210,88,2019-10-31,AMD,39.743804372229505,True,12.148707684507404,0.019572920707637595,1.0862728337799707,3.011621822965748,low ext,0,False
210,555,2019-10-31,EQT,-3.182440554896726,False,-0.32551813926116413,0.18610030717988976,1.503149962825064,6.504033888111885,low ext,2,False
210,705,2019-10-31,GNRC,3.365227530753656,False,0.4507818617925323,0.5977677821793118,2.394387697304848,3.117837870814366,high ext,0,False
210,1006,2019-10-31,MKTX,-6.798310962988252,False,-2.3774073828042193,0.35198224771680914,0.9137995266122806,3.1292948838818146,mid ext,1,True
210,1432,2019-10-31,SPOT,-2.9939349984883012,False,-0.798566611783362,0.25148632231857665,1.183070515982477,3.168987948765893,mid ext,1,False
210,1486,2019-10-31,TDOC,2.1974944115079165,True,0.39146104131404585,1.4380795070126964,1.6103492693813006,3.4859339312466266,high ext,2,False
211,1,2019-11-01,AA,-3.1660027392845125,False,-0.7958668479696951,0.11310323620915062,0.9840049342817535,4.042719372971206,low ext,2,True
211,109,2019-11-01,APA,-3.678766832244751,False,-0.4562053793255377,0.007477784112838579,1.4354734443960275,5.6175467794308265,low ext,2,True
211,605,2019-11-01,FCX,3.59487145904418,True,0.6303004225115558,0.3295785155372747,1.4124806563754742,4.037878611257248,mid ext,1,True
211,628,2019-11-01,FLEX,-4.599154818287065,False,-1.149788229441423,0.5462403829213249,1.0706334732350478,3.736107410172017,high ext,1,True
211,1415,2019-11-01,SNAP,-2.5008612866642577,False,-1.2504306433321288,0.01407348818590818,0.35182915191748176,4.680975918942883,low ext,2,False
211,1432,2019-11-01,SPOT,-4.723824869227866,False,-1.788720277677328,0.49427052827552004,0.8338128341497829,3.1672531906406087,mid ext,0,False
211,1588,2019-11-01,URI,5.083569835854207,True,1.106065563581062,0.6742786785270822,1.4181386004987284,3.240926968098197,high ext,0,True
212,1,2019-11-04,AA,-4.599558838266294,False,-1.1839996016679173,0.8940350658978197,0.9361090898485623,4.149905049950591,high ext,2,True
