pop,rung,h,excess,t,h1,h2,yrs,PASS,hold20,premium,n
P1,K0,20,-0.3584467930247885,-0.3711722549627754,-2.569450224871069,-0.17917624449671182,6/12,False,0.12622196664749857,0.3482424119431093,3478
P1,K0,60,0.3637257665439553,0.21226562326334789,7.77314737767463,-0.24526779053527817,7/12,False,,,3478
P1,K1,20,0.5793362457157186,0.669281339403134,6.024480232458306,0.1729822168543312,9/11,False,0.38383075179448434,1.2421565678867443,2647
P1,K1,60,2.8056255634729244,1.4150183940910945,5.969956386319841,2.5659035314390675,7/11,False,,,2647
P1,K2,20,0.5747933631814633,0.7110624186407388,8.439806230247758,0.12536405649196086,10/12,False,0.4154549231408392,1.3265498634218988,2407
P1,K2,60,2.817662611517082,1.3945839218080467,6.753554943231872,2.5861395331809174,9/12,False,,,2407
P1,K3,20,0.8425585407965165,0.9770956798077373,4.2093101368118315,0.5913084216908959,8/11,False,0.32602921646746347,1.0196185243598979,3012
P1,K3,60,2.6950040042234695,1.678991074165427,4.66892385294175,2.545464621744812,4/11,False,,,3012
P1,K4,20,0.21153991934765654,0.2698405868816673,4.034776469684331,-0.0008621112266030807,7/10,False,0.28340481689211483,0.8439980713362403,3031
P1,K4,60,0.8103302096931281,0.5089085830805807,5.363102303935185,0.5501718043078676,4/10,False,,,3031
P1,K5,20,1.5054537020970027,1.0821642965095235,5.861208962832994,1.3187784766368884,7/11,False,0.5931780366056573,2.280395018880097,2404
P1,K5,60,3.1095626920666635,1.6282369004597526,7.731539165749775,2.905651965286526,9/11,False,,,2404
P2,K0,20,1.0749130679369743,4.163979257716476,0.9047253448377215,1.226925403132423,16/17,True,0.1251913231646171,0.32745326228194316,18947
P2,K0,60,1.618763252069304,3.6148090773223163,1.6867082725542872,1.5574795081024568,16/17,True,,,18947
P2,K1,20,1.0968758657983069,3.936058688521584,0.9902896888697168,1.1941486874612919,16/17,True,0.3738285317598056,1.2452119084857711,14405
P2,K1,60,1.2991546633842357,2.573923046137148,0.7179275063994661,1.8347953766839258,16/17,False,,,14405
P2,K2,20,1.3934032388563375,5.162473803096948,1.5234980615182907,1.2758175337580333,16/17,True,0.40944219144540517,1.3681479861681243,13069
P2,K2,60,1.4982040403246921,3.2427634189812755,1.3837400934164055,1.6036904227695834,16/17,True,,,13069
P2,K3,20,1.3308536156608863,5.504006983319615,1.5366163729097992,1.1430701284628488,16/17,True,0.3168799512492383,1.0396630345694833,16410
P2,K3,60,1.6752932130159532,3.9790799665103864,1.8506632994988201,1.5136776431199777,16/17,True,,,16410
P2,K4,20,0.9762418794404147,3.2689033708007496,0.768730498538956,1.1638002429475025,15/17,True,0.2905533476001223,0.8926989292125787,16355
P2,K4,60,1.3592870597682958,2.8883661529850393,1.0713475468713893,1.6246430814576025,15/17,False,,,16355
P2,K5,20,0.6860280801502471,2.533490923339474,0.3460120815070241,0.9868114635654058,13/17,False,0.5858585858585859,2.327893781567628,13266
P2,K5,60,0.8805515761124675,1.7873244806964197,0.9484330801942423,0.8193251214504749,15/17,False,,,13266
