i,j,date,R,pct,adr,sym,iss
204,1363,2019-10-23,-1.4835707272249345,-7.4857604743569075,4.135832574317972,SEDG,0.054345520703205086
205,1363,2019-10-24,-3.595823190033396,-9.464674688809161,4.232689853941424,SEDG,0.054345520703205086
205,1495,2019-10-24,-0.25601576539128446,-1.1825756763622606,4.01121714511703,THO,0.04493958814024723
218,510,2019-11-12,1.3401667008275975,2.8115385332047356,4.247615977477266,DXCM,0.030212873987646605
221,1321,2019-11-15,-2.8108296304620533,-13.669334683335022,6.049917616820358,ROKU,0.10703228213842686
222,1321,2019-11-18,-3.622879748876706,-15.189768099649353,5.7591310500615185,ROKU,0.10703228213842686
223,128,2019-11-19,-1.3543214078535648,-4.448722612739778,5.43399538917399,ARWR,0.08268101155981133
228,77,2019-11-26,-0.7116561300754694,-3.8628809554215424,4.06610148697739,ALNY,0.10352715962859405
229,128,2019-11-27,-1.2687565262030625,-8.42730884541118,6.305547706893113,ARWR,0.03777039472032784
230,128,2019-11-29,-1.8616182755871973,-13.431767550245427,6.560559427136374,ARWR,0.03777039472032784
234,77,2019-12-05,-1.387111175980049,-3.0275963858778954,4.09166125250608,ALNY,0.10352715962859405
252,1363,2020-01-02,-1.1155118615937805,-5.650039670800358,4.087356377123872,SEDG,0.0624902120834554
274,1475,2020-02-04,2.977220468948837,10.651086066165362,4.009124782756566,TDOC,0.03246179908019453
276,540,2020-02-06,2.41976979213658,12.772410595509212,5.467226303996094,ENPH,0.15101997442689363
278,77,2020-02-10,-1.2855783155317737,-7.189608175389761,4.150516791029026,ALNY,0.10352715962859405
278,1504,2020-02-10,-0.33015083125451594,-2.059582027012508,4.17142978536166,TNDM,0.03004356878575587
280,77,2020-02-12,-1.0274122980960874,-4.154873850002142,4.285091382371688,ALNY,0.10352715962859405
280,1504,2020-02-12,-1.52681286756405,-4.029271768032259,4.321154473109674,TNDM,0.03004356878575587
281,1504,2020-02-13,-1.6889868180775636,-6.306575155347992,4.432613600881259,TNDM,0.03004356878575587
282,1504,2020-02-14,-4.56870884255722,-9.584703865504597,4.5410821405057495,TNDM,0.03004356878575587
283,1504,2020-02-18,-2.7305640838163763,-13.129017907665347,4.484513299795928,TNDM,0.03004356878575587
294,573,2020-03-04,-2.641582363677285,-19.741209353854504,4.05643142900292,ETSY,-0.013526585183513906
294,1290,2020-03-04,-1.1078362325892281,-6.020198870714848,4.0411472239999,REGN,0.04414512098917944
296,688,2020-03-06,-1.317975929327055,-8.535179983877494,4.174247340524726,GILD,-0.00930913658497523
324,62,2020-04-16,-1.4503082710119708,-7.714983309591693,5.908242139257185,AKAM,-0.008152807073345647
324,1537,2020-04-16,-1.5889541004719656,-5.165413025867169,5.986300219124314,TTWO,0.002318668314075678
325,802,2020-04-17,-1.0751179826932635,-4.231729185426382,5.321245870039422,INCY,0.01274109012532576
326,802,2020-04-20,-1.7500619689252361,-3.671458676066911,5.233153793958803,INCY,0.01274109012532576
328,495,2020-04-22,-1.0523612847206072,-3.869297456447659,4.671392263928643,DPZ,-0.05783684899752206
329,1665,2020-04-23,2.417888995142806,8.834885741352434,5.753713671576401,WPM,0.00858278172737692
330,1673,2020-04-24,-1.0671245319094218,-3.884747233517922,4.761796773999175,WST,0.001613228797297639
331,15,2020-04-27,-2.682575743984451,-7.085221697570804,5.727047456974873,ACAD,0.07962952739849372
331,343,2020-04-27,-1.2927893066675085,-5.646782225569444,4.803762756425928,CIEN,-0.0157082312973833
333,1018,2020-04-29,-2.0600318499280226,-7.333639141021883,4.816100001626492,MPWR,0.03928604716189765
336,1480,2020-05-04,1.37727144940659,6.644065610421854,4.572745032908572,TECH,0.015507784779960732
336,1665,2020-05-04,0.8483455934891977,1.8014088606448309,5.325933986376931,WPM,0.00858278172737692
337,1369,2020-05-05,3.0251428186421943,8.991140112206125,4.013300901930053,SFM,-0.0014359847139938653
337,1480,2020-05-05,0.6583876652742979,2.557050665393147,4.6215164513050615,TECH,0.015507784779960732
338,573,2020-05-06,-0.30853379588658286,-2.45754589825079,6.40627026677143,ETSY,-0.013526585183513906
338,1257,2020-05-06,-0.6690716784512689,-3.447969431395475,6.010441407410361,PZZA,0.021637201179861343
338,1369,2020-05-06,0.2362301417582154,1.55474532557129,4.113606877376934,SFM,-0.0014359847139938653
338,1480,2020-05-06,-0.6129659443520331,-3.5462884579240153,4.663692839888299,TECH,0.015507784779960732
339,772,2020-05-07,-1.1065833495138209,-5.112258367285952,6.048169514814346,HUBS,0.03619703242895067
339,820,2020-05-07,1.8235024267615123,5.447348889698175,4.2875441362754545,IPGP,-0.0021877232679096137
339,1257,2020-05-07,-1.6880916290716919,-8.119636661199452,5.896430014463781,PZZA,0.021637201179861343
339,1262,2020-05-07,-1.562763119189938,-6.344799897313431,4.131113686268559,QLYS,-0.005084899939976628
339,1299,2020-05-07,-0.7122601447376377,-4.236729289032234,5.062592019183286,RGLD,0.0009374132321557926
339,1316,2020-05-07,-0.6531148714069201,-3.50468463444631,6.558485093691882,RNG,-0.6299641691535337
339,1654,2020-05-07,10.0,31.788726985496048,5.390168335484001,WIX,0.04579480672331471
340,820,2020-05-08,-2.238233330124144,-4.695594398861824,4.300472165521288,IPGP,-0.0021877232679096137
340,1222,2020-05-08,-1.2899552665871346,-10.568235285811312,4.445072653894849,PODD,0.05713614031091829
340,1541,2020-05-08,2.8650958916440636,23.510315639908953,5.597302884496826,TWLO,0.0650254896796838
340,1654,2020-05-08,10.0,49.14716281450662,5.212828156743852,WIX,0.04579480672331471
341,510,2020-05-11,-1.052420137268498,-4.536570368339526,5.132981043194623,DXCM,0.014217103152918353
341,1369,2020-05-11,-1.6640513129514978,-7.312262635966006,4.60519888548302,SFM,-0.0014359847139938653
341,1428,2020-05-11,-1.0770676015763656,-6.650846512154754,4.6690492682583615,SRPT,0.05171511754450897
341,1480,2020-05-11,-1.690298221946153,-6.529233443658092,4.6702065470981955,TECH,0.012101069745273474
341,1504,2020-05-11,-1.0260455455701036,-8.162751286087454,5.620354528858081,TNDM,0.035058269773829975
341,1541,2020-05-11,4.535434181777767,18.93022263696935,5.832442011750341,TWLO,0.0650254896796838
341,1654,2020-05-11,10.0,55.066660436083055,5.234793563445686,WIX,0.04579480672331471
342,684,2020-05-12,-1.2110842473466443,-4.636284732147076,4.902085467707847,GH,0.08571290589202363
342,1541,2020-05-12,3.567156854570651,16.63024700149291,5.945679376274156,TWLO,0.0650254896796838
345,1298,2020-05-15,-1.523776221245977,-9.016139606384733,5.265567536700159,RGEN,0.10757724307035055
345,1654,2020-05-15,4.791491994455362,32.290413935341356,5.7466915117083275,WIX,0.04579480672331471
346,701,2020-05-18,-1.2215940969795414,-4.48169212110781,4.217252450736277,GNRC,0.006143557468673677
346,1057,2020-05-18,-1.527570262041979,-7.05850920824328,4.331811681527346,NBIX,0.01728832507587086
346,1428,2020-05-18,4.12003981677852,10.14264132086788,5.654096830296441,SRPT,0.05171511754450897
347,1164,2020-05-19,-0.6083848985355755,-3.946934761693231,5.713943975301349,PAAS,0.36746696719253213
349,1422,2020-05-21,-1.1902715975407436,-3.715646366216845,4.352930756054181,SPOT,0.01918584092287179
349,1654,2020-05-21,10.0,28.818011221080404,5.605240444252736,WIX,0.04579480672331471
350,1541,2020-05-22,-1.3107527563110362,-7.983081727533932,6.2944773559395,TWLO,0.0650254896796838
351,1131,2020-05-26,2.5290825320268593,7.190313382400703,5.0976739164132905,OLLI,0.008814526698776914
352,468,2020-05-27,-1.466882921705125,-5.15332778175849,4.10354494273356,DHI,-0.025829981295415694
352,1131,2020-05-27,-1.0806751197568416,-2.4985247665763435,4.653580539250344,OLLI,0.008814526698776914
352,1200,2020-05-27,-1.3564705660792433,-2.8457424463200782,4.440104677529737,PH,-0.0005299044451615442
354,1654,2020-05-29,3.653165916802082,20.062786589953355,5.879298219245841,WIX,0.04579480672331471
355,489,2020-06-01,-1.0764745649247023,-5.053555057317395,5.243546162360696,DOCU,0.06801715715126555
355,567,2020-06-01,-1.8870321337132017,-8.514629375397947,4.727689051301346,ESTC,0.14512228791617776
355,772,2020-06-01,0.3306719921998926,2.079659902154439,5.099639913178937,HUBS,0.03619703242895067
355,999,2020-06-01,-1.342324656167281,-4.18197955409783,4.0965759131345685,MKTX,0.005643055498264715
355,1164,2020-06-01,-1.7503833945136904,-7.1831962750396965,5.605926485392631,PAAS,0.36746696719253213
356,462,2020-06-02,-1.0306363129276528,-4.373427928395964,5.496748653193193,DECK,-0.039205748458873924
356,1265,2020-06-02,-0.2700938762388,-1.2553125714756284,4.0916199186304,QRVO,-0.03705692490171486
357,238,2020-06-03,-1.431367561890676,-5.05474750155423,4.368473198208826,BMRN,0.009859215169943925
357,462,2020-06-03,-1.2235966032019514,-4.227864409272999,5.489896062964307,DECK,-0.039205748458873924
357,942,2020-06-03,-1.4054163134965438,-5.0150182161005254,4.049384344641655,LULU,0.006773223975897524
357,1265,2020-06-03,-2.4221391928447935,-5.146087279758676,4.191887492929455,QRVO,-0.03705692490171486
357,1301,2020-06-03,-2.0708949420522673,-10.224391271768534,6.791788441653937,RH,-0.06052930497402287
357,1317,2020-06-03,-0.8097353941421667,-5.234201282844093,4.0292544396786845,RNR,-0.002846240382491483
357,1485,2020-06-03,6.237113927042976,15.26977276837984,4.100619423651887,TER,-0.03283116077991399
358,1317,2020-06-04,-1.7037014011225555,-8.215247103326409,4.248563890539242,RNR,-0.002846240382491483
358,1495,2020-06-04,0.6728024448308029,4.046844680192184,5.588813597974089,THO,0.002456855563760074
359,64,2020-06-05,-2.6576245194271046,-11.381662939482696,4.6885851113514345,ALB,0.0034154604800300525
359,277,2020-06-05,-1.9650928901066567,-8.003984959601786,6.078347992232835,CACC,-0.06105039382519961
359,1046,2020-06-05,-1.1457007700541266,-2.522031412091576,4.418432919730398,MU,0.004968880040465251
359,1485,2020-06-05,-1.2290630917869112,-2.6181317758822367,4.060647040124153,TER,-0.03283116077991399
360,822,2020-06-08,-1.2207165961918016,-5.7268345008890424,4.778237245342347,IR,1.0625587101214973
360,1428,2020-06-08,0.20105781259334765,1.2377046513715266,5.088796966093825,SRPT,0.05171511754450897
361,933,2020-06-09,-1.046475888803425,-3.233254049340154,4.623283432068481,LPLA,-0.054778418678106844
362,1103,2020-06-10,-2.644300828559896,-6.278357128791837,4.069400459530044,NVDA,0.009852216748768461
367,1422,2020-06-17,4.526223568608899,30.954357689240325,5.183084936607768,SPOT,0.01918584092287179
367,1428,2020-06-17,-0.4926587835894158,-1.0792062270634368,4.188656027626066,SRPT,0.05171511754450897
369,567,2020-06-19,-0.6041643632070882,-1.2674776850498326,5.085076687105321,ESTC,0.14512228791617776
369,772,2020-06-19,-0.45293371044155545,-1.0572523335059838,4.163295194873218,HUBS,0.03619703242895067
369,1475,2020-06-19,-1.5781646822423911,-7.2219116014786096,5.950756051949613,TDOC,0.03992382253138249
369,1485,2020-06-19,0.2189659392114553,0.7408990446620558,4.057792734972663,TER,-0.03283116077991399
370,567,2020-06-22,-1.269698710551833,-4.225125702373004,5.0440926241068205,ESTC,0.14512228791617776
370,1485,2020-06-22,-1.2385167038336158,-3.163432939415799,4.026749409151366,TER,-0.03283116077991399
371,1698,2020-06-23,-1.4414247998044842,-5.775225157910155,4.749985296277565,YETI,0.028448709688899454
374,1514,2020-06-26,-0.5200740059093737,-2.3992559833058436,4.689643226251931,TREX,-0.01108795117203154
379,415,2020-07-06,0.41853149085491137,2.5173861900919934,6.4739430949145,CRSP,0.15323640403294103
380,77,2020-07-07,-1.1404727989389454,-4.728230839366308,4.357741895571228,ALNY,0.07774191368918637
381,1164,2020-07-08,-0.33795328066739483,-1.5820776069504623,5.5545601770061195,PAAS,0.36746696719253213
382,660,2020-07-09,-4.333126880952634,-12.528057293465833,4.017288075429136,FTNT,-0.0533616733582567
389,1164,2020-07-20,-3.7615854264649546,-10.381217332149916,5.191972819896975,PAAS,0.36746696719253213
394,1201,2020-07-27,0.1523552389055599,0.5897667822832466,4.247333626018072,PHM,-0.022029932541539177
397,85,2020-07-30,1.302682984640162,5.3389885466417635,4.72755524765905,AMD,0.08153530548574195
398,862,2020-07-31,-1.6017345926693773,-9.040153626275858,4.09430500232504,KGC,0.002829004531483381
400,652,2020-08-04,2.866165288216058,12.984297034264081,4.609433321752896,FSLR,0.0052580185402082424
400,1475,2020-08-04,-3.394808565516138,-19.16992237421303,5.266965679763668,TDOC,0.12753817680348
401,1222,2020-08-05,-1.3339549467239251,-5.474399505018561,4.057647280747655,PODD,0.05713614031091829
407,772,2020-08-13,0.18328190880746245,1.4259959341161847,4.079362990119279,HUBS,0.07209018239814813
411,415,2020-08-19,-1.4871222127271095,-9.005697511912988,4.608966779340242,CRSP,0.2837306733959064
412,1528,2020-08-20,-2.4148559467413713,-17.687758576596362,5.782133426841958,TSLA,0.04038741980498006
417,1528,2020-08-27,-2.112155069870473,-9.282673720800641,5.340883762729286,TSLA,0.04038741980498006
419,85,2020-08-31,-1.4423516883689038,-9.298517831334511,4.0628411988070745,AMD,0.08153530548574195
427,1551,2020-09-11,-3.414172461621629,-7.162599569835526,4.360625167915031,UBER,0.030952236788820864
428,684,2020-09-14,0.48004346878751414,2.8188729118317215,4.452388167349405,GH,0.06947201448412965
428,1551,2020-09-14,-1.0628454498763131,-2.5403038921139474,4.316951227064767,UBER,0.030952236788820864
430,39,2020-09-16,-1.5887068260057164,-8.305719634451858,4.9393546779696225,AEO,-0.01686211787194336
432,862,2020-09-18,-1.8791226872023592,-7.884427990945272,4.49550951474211,KGC,0.002829004531483381
433,684,2020-09-21,-0.1003724650054282,-0.5740406881132556,4.119156732086954,GH,0.06947201448412965
434,1321,2020-09-22,-1.3838687673348866,-8.192462659798302,6.509126677417804,ROKU,0.09225653639427889
440,623,2020-09-30,4.152735848902287,8.712033249445302,4.218893889411318,FIVN,0.07727290137345477
442,1363,2020-10-02,1.6944637314404063,8.297377959917815,6.255932036468037,SEDG,0.04476656326610651
444,540,2020-10-06,-0.03802125416547833,-0.1390538433659891,6.584318050922958,ENPH,0.03305994786386601
445,350,2020-10-07,-1.2510210105180355,-5.643442405005858,6.351608229438015,CLF,0.47824595952081594
446,1321,2020-10-08,-1.2425957070735913,-2.6252529314307833,5.284797571443112,ROKU,0.09225653639427889
447,530,2020-10-09,-1.2296759700104092,-3.908380724706827,4.316241296788238,ELAN,0.06945387970977435
456,350,2020-10-22,-1.6076696516576179,-6.957738612424569,5.9539573052958294,CLF,0.47824595952081594
457,350,2020-10-23,-1.3366550879408836,-8.142377243258158,5.900193694862778,CLF,0.4782234910743137
473,64,2020-11-16,6.62747510847425,31.06500632096222,4.299141801819785,ALB,0.0040002628237560955
473,1296,2020-11-16,-1.6189852081376743,-3.396472464624468,4.409299352260819,RF,-0.00434900268830174
473,1572,2020-11-16,0.8740686066529784,8.217438394286736,6.928135038266952,UPWK,0.0897399891075592
474,185,2020-11-17,-1.3981147653746075,-5.379827087005462,4.244064179664665,BBWI,0.005417718800041937
476,219,2020-11-19,-0.6666069564017744,-6.94275057088307,4.082701908485387,BJ,0.008555100762366541
476,1528,2020-11-19,10.0,24.409858189399504,4.529749598503572,TSLA,0.051792260281843916
477,377,2020-11-20,10.0,29.220209411483527,4.328868713684273,COHR,0.14174111128072053
478,1,2020-11-23,5.810204087171256,17.28163199145165,4.685506045104074,AA,0.0019219884332581927
478,39,2020-11-23,7.503421007089935,39.50742233253418,4.59216121059908,AEO,-0.01686211787194336
478,64,2020-11-23,6.766751828581858,26.03982978647832,4.514594178221933,ALB,0.0040002628237560955
478,398,2020-11-23,5.778189310374592,17.68187810592116,5.502461733025223,CPRI,-0.0065168914782710585
479,1,2020-11-24,-1.1776140503378545,-4.609805171361511,4.70753231092577,AA,0.0019219884332581927
479,64,2020-11-24,-1.869476373036299,-4.227851166145597,4.632154437650525,ALB,0.0040002628237560955
479,398,2020-11-24,-1.23545338345767,-3.6005594666211103,5.513183115668406,CPRI,-0.0065168914782710585
479,550,2020-11-24,-1.0723191513162067,-4.489873725585327,4.298124003130893,EQH,-0.09123765196453215
