date,sym,k,U,A,B,AB,addR,baseR,month
2019-10-23,SEDG,3,True,False,True,False,,-1.494075525131534,2019-10
2019-10-24,SEDG,3,True,False,False,False,,-3.7000633512639927,2019-10
2019-10-24,THO,3,True,False,True,False,-2.0496774396019917,-0.2396814981983073,2019-10
2019-10-24,THO,5,True,False,True,False,,-0.2396814981983073,2019-10
2019-10-24,THO,10,True,False,True,False,-1.2586180026145957,-0.2396814981983073,2019-10
2019-11-12,DXCM,3,True,False,False,False,,1.4579293777287619,2019-11
2019-11-12,DXCM,5,True,True,False,False,-0.47508479563363754,1.4579293777287619,2019-11
2019-11-12,DXCM,10,True,True,False,False,-0.6652658359863857,1.4579293777287619,2019-11
2019-11-15,ROKU,3,True,False,True,False,,-2.850224097696935,2019-11
2019-11-15,ROKU,5,True,False,True,False,,-2.850224097696935,2019-11
2019-11-18,ROKU,3,True,False,False,False,,-3.688733506080252,2019-11
2019-11-18,ROKU,5,True,False,False,False,,-3.688733506080252,2019-11
2019-11-19,OKTA,3,True,False,True,False,,-1.2660771159077333,2019-11
2019-11-19,OKTA,5,True,True,True,True,-2.00380527615133,-1.2660771159077333,2019-11
2019-11-22,AVTR,3,True,False,True,False,,1.3004727571248558,2019-11
2019-11-22,AVTR,5,True,False,True,False,,1.3004727571248558,2019-11
2019-11-22,AVTR,10,True,True,True,True,0.0019464045522023584,1.3004727571248558,2019-11
2019-11-26,ALNY,3,True,False,True,False,,-0.7065938890337329,2019-11
2019-11-26,ALNY,5,True,False,True,False,-1.1336920787707248,-0.7065938890337329,2019-11
2019-11-26,ALNY,10,True,False,True,False,,-0.7065938890337329,2019-11
2019-12-13,SHOP,3,True,False,True,False,8.230076418012603,6.94124852029206,2019-12
2019-12-13,SHOP,5,True,False,True,False,,6.94124852029206,2019-12
2019-12-13,SHOP,10,True,False,True,False,8.726239399124639,6.94124852029206,2019-12
2019-12-16,SHOP,3,True,False,False,False,,9.114557584718241,2019-12
2019-12-16,SHOP,5,True,False,False,False,,9.114557584718241,2019-12
2019-12-16,SHOP,10,True,False,False,False,,9.114557584718241,2019-12
2020-01-02,SEDG,3,True,False,True,False,,-1.1183854323727709,2020-01
2020-01-02,SEDG,5,True,False,True,False,,-1.1183854323727709,2020-01
2020-01-02,SEDG,10,True,False,True,False,,-1.1183854323727709,2020-01
2020-01-07,TTD,3,True,False,False,False,,-1.223166307379761,2020-01
2020-01-07,TTD,5,True,False,False,False,,-1.223166307379761,2020-01
2020-01-07,TTD,10,True,False,False,False,,-1.223166307379761,2020-01
2020-01-30,MDB,3,True,False,True,False,-1.9295900058190236,-0.25850102261754826,2020-01
2020-01-30,MDB,5,True,False,True,False,,-0.25850102261754826,2020-01
2020-01-30,MDB,10,True,False,True,False,,-0.25850102261754826,2020-01
2020-02-04,TDOC,3,True,False,True,False,,3.0930338178233163,2020-02
2020-02-04,TDOC,5,True,False,True,False,2.5168874442914455,3.0930338178233163,2020-02
2020-02-04,TDOC,10,True,True,True,True,0.12947331617155386,3.0930338178233163,2020-02
2020-02-06,ENPH,3,True,False,True,False,2.8964408617007575,2.4869959753942172,2020-02
2020-02-06,ENPH,5,True,True,True,True,0.677166236705137,2.4869959753942172,2020-02
2020-02-06,ENPH,10,True,True,True,True,-0.7614122465783363,2.4869959753942172,2020-02
2020-02-10,ALNY,3,True,False,True,False,,-1.2914093706438303,2020-02
2020-02-10,ALNY,5,True,False,True,False,,-1.2914093706438303,2020-02
2020-02-10,TNDM,3,True,False,False,False,-1.4334656634715026,-0.31940094366908295,2020-02
2020-02-10,TNDM,5,True,True,False,False,-1.1545192988950195,-0.31940094366908295,2020-02
2020-02-11,DT,3,True,False,True,False,,-1.2722337607368792,2020-02
2020-02-11,DT,5,True,False,True,False,,-1.2722337607368792,2020-02
2020-02-12,TNDM,3,True,True,True,True,-1.376176845186156,-1.5482949420204517,2020-02
2020-02-12,TNDM,5,True,True,True,True,-1.3592734344292545,-1.5482949420204517,2020-02
2020-02-13,TNDM,3,True,True,True,True,-1.7356098376744042,-1.7087681911999124,2020-02
2020-02-13,TNDM,5,True,True,True,True,-2.0367391009270164,-1.7087681911999124,2020-02
2020-02-14,TNDM,3,True,True,True,True,-3.090518845172218,-4.749495207750451,2020-02
2020-02-14,TNDM,5,True,False,True,False,,-4.749495207750451,2020-02
2020-02-18,TNDM,3,True,False,True,False,,-2.768657605708665,2020-02
2020-02-18,ZM,3,True,True,True,True,3.735222143134191,6.373647752195608,2020-02
2020-02-18,ZM,5,True,True,True,True,1.3784368669530978,6.373647752195608,2020-02
2020-02-18,ZM,10,True,True,True,True,0.2058965230883275,6.373647752195608,2020-02
2020-02-19,ZM,3,True,False,True,False,,4.2792030367908405,2020-02
2020-02-19,ZM,5,True,False,True,False,5.0629198317910795,4.2792030367908405,2020-02
2020-02-19,ZM,10,True,True,True,True,0.38932643220066354,4.2792030367908405,2020-02
2020-03-04,ETSY,3,True,False,False,False,,-2.6651503069134534,2020-03
2020-03-04,REGN,3,True,False,True,False,,-1.110403056232253,2020-03
