sym,entry,lstrike,lexp,lcost,delta,dte,credits,buybacks,ret_A,ret_B,month
UNH,2019-02-01,250.0,2019-04-18,23.0065,0.7804,76,3.0405,0.019500000000000003,-1.0,-0.868689283463369,2019-02
UNH,2019-03-01,220.0,2019-05-17,29.7065,0.8463,77,7.3004999999999995,0.019500000000000003,-0.2776942792957741,-0.03259640509315854,2019-03
UNH,2019-04-01,220.0,2019-06-21,29.4565,0.8341,81,6.8605,0.019500000000000003,0.1362395967621357,0.3684803585634359,2019-04
UNH,2019-07-01,220.0,2019-09-20,27.0565,0.8204,81,16.2805,5.533339609958722,-0.5126310244581,-0.11541924946720032,2019-07
UNH,2019-08-01,230.0,2019-10-18,23.8065,0.7638,78,2.9905000000000004,0.019500000000000003,-0.33714207063281787,-0.2123442213059533,2019-08
UNH,2019-10-01,195.0,2019-12-20,26.5065,0.7887,80,64.8805,125.00938377407756,2.7366751244007794,0.46821705660316115,2019-10
UNH,2019-11-01,230.0,2020-01-17,27.406499999999998,0.8023,77,50.0205,79.41027196371977,1.494681833963964,0.42231681239171764,2019-11
UNH,2020-01-02,270.0,2020-03-20,26.6065,0.7774,78,16.1305,0.7160243639608614,-1.0,-0.42065000522281626,2020-01
UNH,2020-04-01,190.0,2020-06-19,59.9065,0.7919,79,95.2305,146.1010213304171,0.740955153998381,-0.10821015077517583,2020-04
UNH,2020-05-01,240.0,2020-07-17,51.1565,0.8077,77,17.7305,0.019500000000000003,0.3199052520841975,0.666117365891827,2020-05
UNH,2020-07-01,260.0,2020-09-18,47.856500000000004,0.8029,79,24.2305,13.520898071776408,0.0296203263157057,0.25340605925111864,2020-07
UNH,2020-09-01,270.0,2020-11-20,49.2565,0.8002,80,23.680500000000002,38.57023020277831,0.30724946823252747,0.004959817064086582,2020-09
UNH,2020-10-01,270.0,2020-12-18,50.6565,0.7964,78,52.3805,68.4832817393774,0.2881297055474377,-0.029752140600192135,2020-10
UNH,2021-04-01,330.0,2021-06-18,43.4065,0.825,78,65.2805,89.17308608695483,0.413722534619514,-0.13671544326294205,2021-04
UNH,2021-06-01,370.0,2021-08-20,42.706500000000005,0.7896,80,17.1805,5.128346964717088,0.3862205694415121,0.6684294377702888,2021-06
UNH,2021-07-01,370.0,2021-09-17,39.8065,0.802,78,22.4805,19.40851644776587,0.24576499277787903,0.3229379055492639,2021-07
UNH,2021-10-01,350.0,2021-12-17,49.7565,0.804,77,94.73049999999999,165.05982339521233,1.8236203333643146,0.41015026623313894,2021-10
UNH,2021-11-01,410.0,2022-01-21,50.4065,0.8064,81,34.1805,28.01296511704152,0.06448464700558275,0.18684059084136745,2021-11
UNH,2022-04-01,460.0,2022-06-17,61.356500000000004,0.8014,77,22.4305,0.9807700860403719,-1.0,-0.6504081896138204,2022-04
UNH,2022-07-01,460.0,2022-09-16,68.40650000000001,0.8062,77,34.5805,12.335121399285194,-0.08637517314836939,0.23881875726343074,2022-07
UNH,2022-08-01,480.0,2022-10-21,66.4565,0.794,81,13.140500000000001,0.019500000000000003,-0.15713722833023494,0.04030019314095299,2022-08
UNH,2022-09-01,470.0,2022-11-18,63.3065,0.7914,78,18.8305,1.4109481687102123,-0.04925528493753171,0.22590685214617673,2022-09
UNH,2022-11-01,500.0,2023-01-20,61.3065,0.7845,80,8.1305,0.019500000000000003,-1.0,-0.8676975524618108,2022-11
UNH,2023-02-01,460.0,2023-04-21,53.856500000000004,0.7938,79,6.020499999999999,0.019500000000000003,-0.5442771180814203,-0.43285138488301356,2023-02
UNH,2023-03-01,430.0,2023-05-19,56.6565,0.8061,79,18.6805,2.0856531706361983,-0.11888885996232992,0.17401392840906257,2023-03
UNH,2023-05-01,450.0,2023-07-21,55.5065,0.8148,81,6.0505,0.019500000000000003,0.04907770097114425,0.15773164240142717,2023-05
UNH,2023-06-01,450.0,2023-08-18,53.3065,0.8141,78,7.3505,0.019500000000000003,-0.07241604634457986,0.06510939614367205,2023-06
UNH,2023-08-01,470.0,2023-10-20,45.356500000000004,0.7811,80,4.330500000000001,6.7146201317385765,0.2964503488178122,0.24388632532088061,2023-08
UNH,2023-09-01,440.0,2023-11-17,46.356500000000004,0.7959,77,68.37049999999999,111.7524090710415,1.0711732084696164,0.13534092883156107,2023-09
UNH,2023-11-01,490.0,2024-01-19,52.7565,0.8112,79,15.9705,2.1535736490228663,-0.7206172485572948,-0.4587172674937835,2023-11
UNH,2023-12-01,510.0,2024-02-16,49.5065,0.8208,77,4.8505,0.019500000000000003,-0.751181990708279,-0.6535988450607378,2023-12
UNH,2024-02-01,470.0,2024-04-19,46.706500000000005,0.7969,78,19.560499999999998,7.07126911032197,-0.282351527480724,-0.014953394679550164,2024-02
UNH,2024-03-01,450.0,2024-05-17,49.7565,0.8042,77,11.150500000000001,0.019500000000000003,0.5100859324170872,0.7337953975120999,2024-03
UNH,2024-04-01,450.0,2024-06-21,51.0065,0.8177,81,34.430499999999995,20.1560906963108,-0.30692289129746675,-0.02706818055100908,2024-04
UNH,2024-05-01,450.0,2024-07-19,46.206500000000005,0.7889,79,23.580499999999997,8.300839336005717,1.5872118890544165,1.9178939503227288,2024-05
UNH,2024-07-01,450.0,2024-09-20,57.206500000000005,0.8219,81,138.8305,218.40485848693095,1.2650406204087734,-0.12596142458490636,2024-07
UNH,2024-08-01,520.0,2024-10-18,62.106500000000004,0.804,78,28.330499999999997,15.610715117893399,-0.19793906804786665,0.006866948747583051,2024-08
UNH,2024-10-01,530.0,2024-12-20,70.3065,0.7859,80,18.5705,0.019500000000000003,-1.0,-0.736141039590934,2024-10
UNH,2024-11-01,510.0,2025-01-17,69.65650000000001,0.8125,77,31.1005,11.660794691047508,-0.9278932422999346,-0.6488136831927086,2024-11
