entry,h,expiry,K,mid,ratio,short,fly,vix,episode,direction,POST,DOWN,UP,vdec,cl,half
2010-03-15,10,2010-03-31,115.0,2.9,0.6862068965517224,30.468204053109893,16.198203419298913,18.0,,,0,0,0,6,d20100315,2010-2017
2010-03-16,10,2010-03-31,116.0,2.73,0.36263736263736074,63.42814924270429,49.99064896203499,17.690000534057617,,,0,0,0,5,d20100316,2010-2017
2010-03-17,10,2010-03-31,117.0,2.58,0.0038759689922500448,99.60815047021924,79.27070235315232,16.90999984741211,,,0,0,0,5,d20100317,2010-2017
2010-03-18,10,2010-03-31,117.0,2.35,0.004255319148938347,99.5684074233921,65.72567253404168,16.6200008392334,,,0,0,0,5,d20100318,2010-2017
2010-03-19,10,2010-03-31,116.0,2.28,0.43421052631578727,55.842997323818246,34.06887328652641,16.969999313354492,,,0,0,0,5,d20100319,2010-2017
2010-03-22,5,2010-03-31,117.0,1.905,0.005249343832023683,99.46794360202155,70.07672634271078,16.8700008392334,,,0,0,0,5,d20100322,2010-2017
2010-03-23,5,2010-03-31,117.0,1.88,0.005319148936172934,99.45711183496172,71.35494953832917,16.350000381469727,,,0,0,0,4,d20100323,2010-2017
2010-03-24,5,2010-03-31,117.0,1.795,0.005571030640671374,99.43486860695083,64.97829232995637,17.549999237060547,,,0,0,0,5,d20100324,2010-2017
2010-03-25,5,2010-03-31,117.0,1.7199999999999998,0.005813953488375068,99.41072480848526,88.2278879446015,18.399999618530273,,,0,0,0,6,d20100325,2010-2017
2010-03-26,5,2010-03-31,117.0,1.435,0.006968641114986143,99.29052855622524,63.74589266155505,17.770000457763672,,,0,0,0,5,d20100326,2010-2017
2010-03-30,1,2010-03-31,117.0,0.85,0.01176470588235896,98.79081015719406,46.48509385351453,17.1299991607666,,,0,0,0,5,d20100330,2010-2017
2010-06-04,5,2010-06-11,107.0,4.069999999999999,0.6535626535626529,33.115413628363164,17.595243338471793,35.47999954223633,,,0,0,0,9,d20100604,2010-2017
2010-06-07,5,2010-06-11,105.0,3.59,1.298050139275765,-32.687927107061405,-41.76931690929442,36.56999969482422,,,0,0,0,9,d20100607,2010-2017
2010-06-08,5,2010-06-11,107.0,2.59,1.0270270270270259,-5.47184773988885,-16.607270135423956,33.70000076293945,,,0,0,0,9,d20100608,2010-2017
2010-06-10,1,2010-06-11,109.0,1.4649999999999999,0.4505119453924892,53.6679536679539,32.690671959172306,30.56999969482422,,,0,0,0,9,d20100610,2010-2017
2010-06-14,10,2010-06-30,109.0,4.6,1.2826086956521752,-29.613356766256725,-36.972654264511654,28.579999923706055,,,0,0,0,9,d20100614,2010-2017
2010-06-15,10,2010-06-30,112.0,3.8749999999999996,2.296774193548389,-131.499544804266,-100.0,25.8700008392334,,,0,0,0,8,d20100615,2010-2017
2010-06-16,10,2010-06-30,112.0,3.7699999999999996,2.3607427055702934,-139.4404089319345,-100.0,25.920000076293945,,,0,0,0,8,d20100616,2010-2017
