entry,expiry,dte,spot,strike,credit,settle,iv30,rv30,ivp,ff,ret_gross,ret,fly_ret,log_ivrv
2018-06-29,2018-07-27,28,171.65,171.5,7.425,6.12,0.19522259430328182,0.13877672560842746,0.6341463414634146,0.07491206640080704,0.1757575757575751,0.17030303030302968,-0.42008928571428783,0.3412740657091054
2018-07-06,2018-08-03,28,175.61,175.5,6.455,4.58,0.16589161428454735,0.1479035950829312,0.4566929133858268,-0.06764132019399882,0.29047250193648144,0.28574748257164795,-0.07827160493827796,0.11477397216461224
2018-07-13,2018-08-10,28,179.61,179.5,5.895,1.02,0.14812580587544869,0.15923654975250914,0.1893939393939394,-0.1367084975012932,0.8269720101781153,0.8217981340118727,1.6108753315649815,-0.07232887854852892
2018-07-20,2018-08-17,28,178.99,179.0,6.09,0.86,0.15355570425452675,0.15560248688965705,0.31386861313868614,-0.09430758298150063,0.8587848932676496,0.8541871921182245,1.7596205962059537,-0.013241198834527025
2018-07-27,2018-08-24,28,177.62,177.5,6.695,4.98,0.170112467921265,0.14465698391606233,0.4507042253521127,-0.006666717982220078,0.2561613144137432,0.2516056758775221,-0.2414507772020671,0.16209448257627343
2018-08-03,2018-08-31,28,180.08,180.0,5.35,6.65,0.13408053358256566,0.14784966342141698,0.07482993197278912,-0.15253339930085913,-0.2429906542056086,-0.24915887850467403,-1.0349862258953169,-0.09775535349960095
2018-08-10,2018-09-07,28,180.52,180.5,5.505,0.61,0.137628833208689,0.12715060378553558,0.125,-0.12944087110007813,0.8891916439600338,0.8845594913714779,1.758689458689451,0.07918820675075594
2018-08-17,2018-09-14,28,179.86,180.0,5.44,3.99,0.13650285666864825,0.13349990131551964,0.08280254777070063,-0.1816022649940123,0.2665441176470571,0.2623161764705865,-0.18579387186630028,0.02224480375103214
2018-08-24,2018-09-21,28,182.48,182.5,5.16,1.21,0.1276179778869633,0.11616352518561272,0.06790123456790123,-0.19358066566187931,0.7655038759689907,0.7600775193798435,1.34842767295597,0.0940423552290389
2018-08-31,2018-09-28,28,186.65,187.0,5.655,1.21,0.13673573975689055,0.08742026634863301,0.3413173652694611,-0.10758039337849126,0.7860300618921294,0.779752431476568,1.2371158392434949,0.447323020006959
2018-09-07,2018-10-05,28,181.11,181.0,6.91,0.85,0.17219203013293377,0.1065950909920795,0.6432748538011696,-0.05659177063048807,0.8769898697539805,0.8729377713458765,1.6986725663716842,0.47957284836270947
