conid,symbol,underlying_symbol,asset_category,put_call,strike,expiry,entry_date,exit_date,entry_price,exit_price,first_side,n_fills,max_abs_qty,realized_pnl,still_open,same_day,held_days,alert_kind,setup_grade,day_state,side,alerted,planned
4391,AMD,AMD,STK,,,,2026-08-25,2026-08-25,480.41659999999996,479.42,SHORT,6,50.0,47.3251,False,True,0,,F,SHORT,short,False,False
4391,AMD,AMD,STK,,,,2026-08-26,2026-08-26,485.285,479.84,LONG,2,12.0,-67.461,False,True,0,,C,FLAT,long,False,False
4391,AMD,AMD,STK,,,,2026-09-16,2026-09-16,513.51,510.95,LONG,2,40.0,-104.8291,False,True,0,,C,LONG,long,False,False
6393,DE,DE,STK,,,,2026-09-10,2026-09-10,680.655,676.18,LONG,2,10.0,-46.8913,False,True,0,,F,OUT,long,False,False
7089,FCX,FCX,STK,,,,2026-08-14,2026-08-31,67.32,75.6905,LONG,2,50.0,416.437,False,False,17,,B,LONG,long,False,False
7089,FCX,FCX,STK,,,,2026-09-02,2026-09-02,75.19,74.66510000000001,LONG,3,100.0,-54.6639,False,True,0,FBO,B,LONG,long,True,True
7089,FCX,FCX,STK,,,,2026-09-02,2026-09-02,74.665,73.635,SHORT,2,100.0,101.8261,False,True,0,FBO,B,LONG,long,True,True
7089,FCX,FCX,STK,,,,2026-09-04,2026-09-04,72.88,72.865,LONG,5,200.0,-5.340400000000002,False,True,0,,C,LONG,long,False,False
7655,GLW,GLW,STK,,,,2026-08-18,2026-08-18,164.5968,164.69,SHORT,3,100.0,-11.6792,False,True,0,,F,FLAT,short,False,False
7655,GLW,GLW,STK,,,,2026-08-19,2026-08-19,153.935,154.045,SHORT,2,10.0,-3.1338,False,True,0,,F,FLAT,short,False,False
7655,GLW,GLW,STK,,,,2026-08-24,2026-08-24,142.61,142.98,SHORT,2,50.0,-20.6569,False,True,0,,F,SHORT,short,False,False
7655,GLW,GLW,STK,,,,2026-08-26,2026-08-26,152.215,152.555,SHORT,2,100.0,-36.3337,False,True,0,,F,SHORT,short,False,False
7655,GLW,GLW,STK,,,,2026-08-28,2026-08-28,150.365,151.185,SHORT,3,100.0,-84.3298,False,True,0,,F,SHORT,short,False,False
7655,GLW,GLW,STK,,,,2026-09-04,2026-09-04,152.26,153.05246666666667,SHORT,3,75.0,-61.6853,False,True,0,,F,SHORT,short,False,False
7655,GLW,GLW,STK,,,,2026-09-08,2026-09-10,161.410625,164.0175,LONG,4,40.0,101.1318,False,False,2,,F,OUT,long,False,False
8314,IBM,IBM,STK,,,,2026-09-16,2026-09-16,242.09000000000003,239.93,LONG,3,30.0,-66.9543,False,True,0,UR,B,LONG,long,True,True
9939,MU,MU,STK,,,,2026-08-13,2026-08-19,968.965,924.645,LONG,3,2.0,-90.6784,False,False,6,,F,OUT,long,False,False
9939,MU,MU,STK,,,,2026-08-25,2026-08-25,929.75,929.088,SHORT,2,20.0,10.8529,False,True,0,FBO,F,OUT,short,True,False
9939,MU,MU,STK,,,,2026-08-31,2026-08-31,940.26,948.03,SHORT,4,10.0,-79.8957,False,True,0,,C,FLAT,short,False,False
9939,MU,MU,STK,,,,2026-09-02,2026-09-02,943.9,948.015,SHORT,4,10.0,-43.34649999999999,False,True,0,,F,FLAT,short,False,False
9939,MU,MU,STK,,,,2026-09-02,2026-09-02,944.79,944.64,SHORT,3,50.0,4.516899999999993,False,True,0,,F,FLAT,short,False,False
10098,BAC,BAC,STK,,,,2026-08-17,2026-08-17,64.245,63.9705,LONG,2,100.0,-29.6019,False,True,0,,F,OUT,long,False,False
10557,NUE,NUE,STK,,,,2026-09-14,2026-09-14,259.745,255.92,LONG,2,20.0,-78.6095,False,True,0,UR,B,LONG,long,True,True
13272,UNH,UNH,STK,,,,2026-08-31,2026-08-31,391.355,391.05950000000007,SHORT,2,25.0,5.1809,False,True,0,,F,SHORT,short,False,False
13272,UNH,UNH,STK,,,,2026-09-02,2026-09-02,400.1,399.92,LONG,2,50.0,-11.422,False,True,0,,F,OUT,long,False,False
13272,UNH,UNH,STK,,,,2026-09-02,2026-09-02,399.89,398.91,LONG,3,50.0,-51.4208,False,True,0,,F,OUT,long,False,False
13272,UNH,UNH,STK,,,,2026-09-02,2026-09-02,399.38,400.075,SHORT,4,100.0,-72.3428,False,True,0,,F,OUT,long,False,False
265598,AAPL,AAPL,STK,,,,2026-09-09,2026-09-09,312.94,312.17,LONG,3,50.0,-40.831599999999995,False,True,0,,F,OUT,long,False,False
265598,AAPL,AAPL,STK,,,,2026-09-09,2026-09-09,313.09,312.255,SHORT,4,75.0,60.1262,False,True,0,,F,OUT,long,False,False
265598,AAPL,AAPL,STK,,,,2026-09-09,2026-09-09,313.805,314.59,SHORT,3,75.0,-61.3749,False,True,0,,F,OUT,long,False,False
265768,ADBE,ADBE,STK,,,,2026-08-21,2026-08-21,276.02,272.84,LONG,2,20.0,-65.7165,False,True,0,,F,OUT,long,False,False
265768,ADBE,ADBE,STK,,,,2026-08-21,2026-08-25,272.948,270.755,LONG,4,50.0,-111.93880000000001,False,False,4,,F,OUT,long,False,False
267227,CAKE,CAKE,STK,,,,2026-08-13,2026-08-13,116.5725,117.0,SHORT,4,100.0,-45.0102,False,True,0,,F,SHORT,short,False,False
267227,CAKE,CAKE,STK,,,,2026-08-13,2026-08-13,115.31,113.52,SHORT,2,100.0,176.7423,False,True,0,,F,SHORT,short,False,False
267227,CAKE,CAKE,STK,,,,2026-08-17,2026-08-17,110.3695,110.94,SHORT,5,100.0,-59.297399999999996,False,True,0,,F,OUT,short,False,False
270639,INTC,INTC,STK,,,,2026-08-17,2026-08-17,103.7,102.95331999999999,LONG,3,25.0,-20.725100000000005,False,True,0,,F,OUT,long,False,False
270639,INTC,INTC,STK,,,,2026-08-17,2026-08-18,103.06,98.5605,LONG,2,100.0,-452.1732,False,False,1,,F,OUT,long,False,False
270639,INTC,INTC,STK,,,,2026-08-31,2026-09-01,90.595,87.5,SHORT,2,50.0,152.6466,False,False,1,,F,SHORT,short,False,False
270639,INTC,INTC,STK,,,,2026-09-01,2026-09-01,88.948725,88.94968800000001,SHORT,5,200.0,-2.5993,False,True,0,,C,SHORT,short,False,False
270639,INTC,INTC,STK,,,,2026-09-10,2026-09-10,101.205,100.885,LONG,2,40.0,-14.891199999999998,False,True,0,UR,F,SHORT,long,True,False
270639,INTC,INTC,STK,,,,2026-09-14,2026-09-14,98.245,97.405,SHORT,2,100.0,81.7775,False,True,0,,C,SHORT,short,False,False
270957,KLAC,KLAC,STK,,,,2026-08-14,2026-08-14,203.45,203.420476,LONG,4,25.0,-2.8479,False,True,0,,C,LONG,long,False,False
272093,MSFT,MSFT,STK,,,,2026-09-10,2026-09-10,489.075,492.445,SHORT,2,30.0,-103.4083,False,True,0,FBO,F,LONG,short,True,False
272093,MSFT,MSFT,STK,,,,2026-09-16,2026-09-16,494.195,492.024,LONG,2,20.0,-45.6267,False,True,0,UR,B,LONG,long,True,True
272110,MSTR,MSTR,STK,,,,2026-09-17,2026-09-17,132.75,128.3602,LONG,3,12.0,-54.7118,False,True,0,,B,LONG,long,False,False
272800,ORCL,ORCL,STK,,,,2026-08-13,2026-08-14,154.70999999999998,153.45,LONG,3,40.0,-52.5345,False,False,1,,F,OUT,long,False,False
272800,ORCL,ORCL,STK,,,,2026-08-14,2026-08-14,150.7,149.44750000000002,LONG,3,30.0,-39.6734,False,True,0,,F,OUT,long,False,False
272800,ORCL,ORCL,STK,,,,2026-08-17,2026-08-17,148.755,147.9905,LONG,2,100.0,-78.7749,False,True,0,,F,OUT,long,False,False
272800,ORCL,ORCL,STK,,,,2026-08-21,2026-08-26,145.28966666666665,147.37,LONG,3,30.0,59.3129,False,False,5,,B,LONG,long,False,False
273544,QCOM,QCOM,STK,,,,2026-09-01,2026-09-01,166.87,166.41050000000004,LONG,4,100.0,-48.3129,False,True,0,,F,OUT,long,False,False
273544,QCOM,QCOM,STK,,,,2026-09-03,2026-09-03,168.965,169.0005,LONG,2,15.0,-1.5228000000000002,False,True,0,,B,LONG,long,False,False
2585769,CVS,CVS,STK,,,,2026-08-28,2026-08-31,94.0,92.92333333333333,LONG,3,300.0,-122.2918,False,False,3,,F,OUT,long,False,False
2730980,STT,STT,STK,,,,2026-09-02,2026-09-02,190.48,190.45,SHORT,2,100.0,0.5875,False,True,0,,F,LONG,short,False,False
3691937,AMZN,AMZN,STK,,,,2026-08-20,2026-08-20,263.05,259.9605,LONG,2,30.0,-94.85170000000001,False,True,0,,C,LONG,long,False,False
3691937,AMZN,AMZN,STK,,,,2026-08-20,2026-08-21,260.1,257.57,LONG,2,10.0,-27.355099999999993,False,False,1,,C,LONG,long,False,False
3691937,AMZN,AMZN,STK,,,,2026-09-11,2026-09-11,255.245,256.6253,SHORT,4,30.0,-43.5728,False,True,0,BIR,C,SHORT,short,True,False
4725941,AEHR,AEHR,STK,,,,2026-08-13,2026-08-14,121.97985,133.31029999999998,LONG,4,50.0,564.3751,False,False,1,,F,SHORT,long,False,False
4725941,AEHR,AEHR,STK,,,,2026-08-14,2026-08-14,135.8,132.92450000000002,LONG,3,40.0,-117.13749999999999,False,True,0,,F,OUT,long,False,False
4725941,AEHR,AEHR,STK,,,,2026-08-14,2026-08-18,133.85,131.765,LONG,2,20.0,-43.7583,False,False,4,,F,OUT,long,False,False
4726868,AXTI,AXTI,STK,,,,2026-08-31,2026-08-31,61.625,60.689499999999995,SHORT,2,50.0,44.7015,False,True,0,,F,SHORT,short,False,False
