sym,entry,expiry,strike,entry_px,delta,dte,mark_cov,dark,ret_A,ret_B_day1p5,ret_C_day1p5,ret_B_day2p0,ret_C_day2p0,ret_B_day2p5,ret_C_day2p5,ret_B_day3p0,ret_C_day3p0,ret_B_cum1p5,ret_C_cum1p5,ret_B_cum2p0,ret_C_cum2p0,ret_B_cum2p5,ret_C_cum2p5,ret_B_cum3p0,ret_C_cum3p0,month
VLO,2020-11-24,2020-12-31,65.0,1.7065000476837158,0.27619999647140503,37,0.68,False,-0.9452095031738281,-0.9452095031738281,-0.9452094937723403,-0.9452095031738281,-0.9452094937723403,-0.9452095031738281,-0.9452094937723403,-0.9452095031738281,-0.9452094937723403,-0.9452095031738281,-0.9452094937723403,-0.9452095031738281,-0.9452094937723403,-0.9452095031738281,-0.9452094937723403,-0.9452095031738281,-0.9452094937723403,2020-11
VLO,2021-02-16,2021-03-26,75.0,1.3964999856948852,0.23829999566078186,38,0.9642857142857143,False,-0.01646977663040161,4.079484462738037,4.079484462738037,-0.01646977663040161,-0.9402076588388006,-0.01646977663040161,-0.9402076588388006,-0.01646977663040161,-0.9402076588388006,0.9860365390777588,0.9860365390777588,1.8596491813659668,1.8596491813659668,1.8596491813659668,1.8596491813659668,2.253491163253784,2.253491163253784,2021-02
VLO,2021-02-19,2021-03-26,80.0,1.5464999618530273,0.2985999882221222,35,0.84,False,-0.8102166056632996,1.4206273555755615,1.4206273555755615,-0.8102166056632996,-0.965405754944351,-0.8102166056632996,-0.965405754944351,-0.8102166056632996,-0.965405754944351,1.0973165035247803,1.0973165035247803,1.0973165035247803,1.0973165035247803,0.7934044599533081,0.7934044599533081,1.4852893352508545,1.4852893352508545,2021-02
VLO,2021-02-22,2021-04-01,85.0,1.5065,0.21860000491142273,38,0.6785714285714286,False,-0.8715565800666809,0.42947232723236084,0.42947232723236084,-0.8715565800666809,-0.9512114183791167,-0.8715565800666809,-0.9512114183791167,-0.8715565800666809,-0.9512114183791167,0.051111817359924316,0.051111817359924316,0.5423165559768677,0.5423165559768677,0.6817125082015991,0.6817125082015991,-0.8715565800666809,-0.9512114183791167,2021-02
VLO,2021-02-23,2021-04-01,85.0,1.696500057220459,0.24879999458789825,37,0.6666666666666666,False,-0.8859416246414185,0.2693781852722168,0.2693781852722168,-0.8859416246414185,-0.9566755109149345,-0.8859416246414185,-0.9566755109149345,-0.8859416246414185,-0.9566755109149345,0.369584321975708,0.369584321975708,0.49336862564086914,0.49336862564086914,-0.8859416246414185,-0.9566755109149345,-0.8859416246414185,-0.9566755109149345,2021-02
VLO,2021-02-24,2021-03-26,85.0,2.0464999618530273,0.2955999970436096,30,0.7272727272727273,False,-0.964085042476654,-0.20180797576904297,-0.20180797576904297,-0.964085042476654,-0.9640850234146552,-0.964085042476654,-0.9640850234146552,-0.964085042476654,-0.9640850234146552,-0.964085042476654,-0.9640850234146552,-0.964085042476654,-0.9640850234146552,-0.964085042476654,-0.9640850234146552,-0.964085042476654,-0.9640850234146552,2021-02
VLO,2021-10-01,2021-11-05,80.0,1.446500057220459,0.2637999951839447,35,0.92,False,-0.7003111243247986,-0.7003111243247986,-0.9699274116665809,-0.7003111243247986,-0.9699274116665809,-0.7003111243247986,-0.9699274116665809,-0.7003111243247986,-0.9699274116665809,0.7998615503311157,0.7998615503311157,0.7998615503311157,0.7998615503311157,0.6615968942642212,0.6615968942642212,0.9934324026107788,0.9934324026107788,2021-10
VLO,2022-02-02,2022-03-11,93.0,1.7664999904632568,0.27869999408721924,37,1.0,False,-0.6130766868591309,-0.6130766868591309,-0.3583356738090515,-0.6130766868591309,-0.3583356738090515,-0.6130766868591309,-0.998018681123477,-0.6130766868591309,-0.998018681123477,0.9776394367218018,0.9776394367218018,-0.6130766868591309,-0.998018681123477,-0.6130766868591309,-0.998018681123477,-0.6130766868591309,-0.998018681123477,2022-02
VLO,2022-02-07,2022-03-11,95.0,1.9865000190734863,0.31709998846054077,32,0.9565217391304348,False,-0.806946873664856,-0.806946873664856,-0.6810973882675171,-0.806946873664856,-0.6810973882675171,-0.806946873664856,-0.9831361697536983,-0.806946873664856,-0.9831361697536983,-0.806946873664856,-0.9831361697536983,-0.806946873664856,-0.9831361697536983,-0.806946873664856,-0.9831361697536983,-0.806946873664856,-0.9831361697536983,2022-02
VLO,2022-02-11,2022-03-18,100.0,1.7165000381469726,0.2554999887943268,35,0.7916666666666666,False,-0.8523157835006714,-0.8523157835006714,-0.6251092553138733,-0.8523157835006714,-0.6251092553138733,-0.8523157835006714,-0.9163996488369565,-0.8523157835006714,-0.9163996488369565,-0.8523157835006714,-0.9163996488369565,-0.8523157835006714,-0.9163996488369565,-0.8523157835006714,-0.9163996488369565,-0.8523157835006714,-0.9163996488369565,2022-02
VLO,2022-03-31,2022-05-06,111.0,2.0264999809265136,0.26739999651908875,36,0.88,False,-0.7367382049560547,0.77325439453125,0.77325439453125,-0.7367382049560547,3.5859858268964224,-0.7367382049560547,3.5859858268964224,-0.7367382049560547,3.5859858268964224,0.77325439453125,0.77325439453125,0.77325439453125,0.77325439453125,-0.7367382049560547,1.9328892230987549,-0.7367382049560547,1.9328892230987549,2022-03
VLO,2022-04-28,2022-06-03,125.0,2.6765000762939453,0.29910001158714294,36,0.92,False,1.930506139007171,1.930506139007171,1.930506139007171,1.930506139007171,1.930506139007171,1.930506139007171,1.930506139007171,1.930506139007171,1.930506139007171,1.8184196949005127,1.8184196949005127,1.8184196949005127,1.8184196949005127,1.8184196949005127,1.8184196949005127,1.7997384071350098,1.7997384071350098,2022-04
