ticker,edate,year,ivp,credit,pnl,days,exit,mark_cov,roc,win
DIA,2018-04-06,2018,80.0,9.475,5.52,18,profit_take,0.6666666666666666,0.5825857519788918,1
EEM,2018-04-06,2018,86.15384615384616,2.175,1.2049999999999998,14,profit_take,0.7142857142857143,0.554022988505747,1
EFA,2018-04-06,2018,61.53846153846154,1.78,0.2849999999999999,21,expiry_win,0.6666666666666666,0.16011235955056174,1
FXI,2018-04-06,2018,81.53846153846153,2.41,1.4300000000000002,17,profit_take,0.6470588235294118,0.5933609958506224,1
GDX,2018-04-06,2018,50.76923076923077,0.9949999999999999,0.2699999999999999,21,expiry_win,0.6666666666666666,0.27135678391959794,1
GLD,2018-04-06,2018,58.46153846153847,2.5700000000000003,1.3800000000000003,18,profit_take,0.6666666666666666,0.5369649805447472,1
IWM,2018-04-06,2018,84.61538461538461,5.445,1.2800000000000002,21,expiry_win,0.7142857142857143,0.23507805325987147,1
QQQ,2018-04-06,2018,87.6923076923077,7.875,4.3100000000000005,18,profit_take,0.6666666666666666,0.5473015873015874,1
SLV,2018-04-06,2018,70.0,0.5,0.28,19,profit_take,0.6842105263157895,0.56,1
SPY,2018-04-06,2018,80.0,9.440000000000001,5.025000000000001,18,profit_take,0.6666666666666666,0.5323093220338984,1
TLT,2018-04-06,2018,15.384615384615385,2.1399999999999997,-0.15500000000000025,21,expiry_loss,0.6190476190476191,-0.07242990654205621,0
TQQQ,2018-04-06,2018,87.6923076923077,20.25,10.95,18,profit_take,0.6666666666666666,0.5407407407407407,1
UNG,2018-04-06,2018,12.698412698412698,0.9249999999999999,0.4649999999999999,17,profit_take,0.6470588235294118,0.5027027027027027,1
UPRO,2018-04-06,2018,80.0,13.95,7.725,18,profit_take,0.6666666666666666,0.553763440860215,1
XBI,2018-04-06,2018,93.84615384615384,5.335,0.16000000000000014,21,expiry_win,0.6666666666666666,0.029990627928772287,1
XLB,2018-04-06,2018,89.23076923076924,2.34,1.315,21,expiry_win,0.6666666666666666,0.561965811965812,1
XLE,2018-04-06,2018,78.46153846153847,2.875,-3.5500000000000007,12,stop_loss,0.6666666666666666,-1.2347826086956524,0
XLF,2018-04-06,2018,91.93548387096774,1.2999999999999998,0.5849999999999999,21,expiry_win,0.7142857142857143,0.44999999999999996,1
XLP,2018-04-06,2018,69.23076923076923,1.615,-0.07000000000000006,21,expiry_loss,0.5238095238095238,-0.04334365325077403,0
XLU,2018-04-06,2018,47.69230769230769,1.505,0.8449999999999999,17,profit_take,0.6470588235294118,0.5614617940199335,1
XOP,2018-04-06,2018,72.3076923076923,2.12,-2.255,12,stop_loss,0.6666666666666666,-1.0636792452830188,0
DIA,2018-04-13,2018,45.714285714285715,7.75,3.9299999999999997,14,profit_take,0.7142857142857143,0.5070967741935484,1
EEM,2018-04-13,2018,58.57142857142858,1.835,0.9949999999999999,14,profit_take,0.7142857142857143,0.542234332425068,1
EFA,2018-04-13,2018,20.0,1.385,0.745,14,profit_take,0.7142857142857143,0.5379061371841155,1
FXI,2018-04-13,2018,35.714285714285715,2.085,1.125,17,profit_take,0.6470588235294118,0.539568345323741,1
GDX,2018-04-13,2018,57.14285714285714,1.0550000000000002,0.6100000000000001,20,profit_take,0.7,0.5781990521327014,1
GLD,2018-04-13,2018,71.42857142857143,3.005,-0.4950000000000001,21,expiry_loss,0.6190476190476191,-0.16472545757071552,0
IWM,2018-04-13,2018,50.0,4.52,2.5799999999999996,17,profit_take,0.6470588235294118,0.5707964601769911,1
QQQ,2018-04-13,2018,61.42857142857143,6.485,3.415,17,profit_take,0.6470588235294118,0.5265998457979953,1
SPY,2018-04-13,2018,45.714285714285715,7.779999999999999,4.33,17,profit_take,0.6470588235294118,0.5565552699228792,1
TLT,2018-04-13,2018,15.714285714285714,2.085,0.125,21,expiry_win,0.6666666666666666,0.05995203836930456,1
TQQQ,2018-04-13,2018,61.42857142857143,16.95,8.774999999999999,17,profit_take,0.6470588235294118,0.5176991150442477,1
UNG,2018-04-13,2018,17.647058823529413,0.94,0.47,17,profit_take,0.6470588235294118,0.5,1
UPRO,2018-04-13,2018,45.714285714285715,11.549999999999999,6.474999999999999,17,profit_take,0.6470588235294118,0.5606060606060606,1
XBI,2018-04-13,2018,57.14285714285714,4.82,2.685,19,profit_take,0.6842105263157895,0.5570539419087137,1
XLB,2018-04-13,2018,67.14285714285714,2.1,1.07,14,profit_take,0.7142857142857143,0.5095238095238095,1
XLE,2018-04-13,2018,58.57142857142858,2.83,0.40000000000000036,21,expiry_win,0.7142857142857143,0.1413427561837457,1
XLF,2018-04-13,2018,77.61194029850746,1.155,0.7,17,profit_take,0.6470588235294118,0.606060606060606,1
XLP,2018-04-13,2018,48.57142857142857,1.325,-1.39,21,expiry_loss,0.5238095238095238,-1.049056603773585,0
XLU,2018-04-13,2018,27.142857142857142,1.355,-0.16999999999999993,21,expiry_loss,0.6666666666666666,-0.12546125461254606,0
XOP,2018-04-13,2018,65.71428571428571,2.205,0.03500000000000014,21,expiry_win,0.7142857142857143,0.015873015873015938,1
DIA,2018-04-20,2018,45.33333333333333,7.05,3.7699999999999996,17,profit_take,0.6470588235294118,0.5347517730496454,1
EEM,2018-04-20,2018,38.666666666666664,1.565,1.14,20,profit_take,0.7,0.7284345047923322,1
EFA,2018-04-20,2018,26.666666666666668,1.2799999999999998,0.7149999999999999,17,profit_take,0.6470588235294118,0.55859375,1
FXI,2018-04-20,2018,26.666666666666668,1.915,1.005,17,profit_take,0.6470588235294118,0.5248041775456919,1
GDX,2018-04-20,2018,1.3333333333333335,0.95,0.475,17,profit_take,0.6470588235294118,0.5,1
GLD,2018-04-20,2018,28.000000000000004,2.625,0.645,21,expiry_win,0.7142857142857143,0.24571428571428572,1
IWM,2018-04-20,2018,49.333333333333336,4.505,0.16999999999999993,21,expiry_win,0.7142857142857143,0.03773584905660376,1
QQQ,2018-04-20,2018,60.0,6.38,-0.4300000000000006,21,expiry_loss,0.6666666666666666,-0.06739811912225716,0
SLV,2018-04-20,2018,21.73913043478261,0.5599999999999999,0.2849999999999999,20,profit_take,0.7,0.5089285714285713,1
SPY,2018-04-20,2018,45.33333333333333,6.74,3.9850000000000003,14,profit_take,0.7142857142857143,0.591246290801187,1
TLT,2018-04-20,2018,34.66666666666667,2.23,1.19,17,profit_take,0.6470588235294118,0.5336322869955157,1
TQQQ,2018-04-20,2018,60.0,17.0,0.02500000000000213,21,expiry_win,0.6666666666666666,0.001470588235294243,1
UNG,2018-04-20,2018,36.986301369863014,1.0299999999999998,0.5699999999999998,17,profit_take,0.6470588235294118,0.5533980582524272,1
UPRO,2018-04-20,2018,45.33333333333333,10.850000000000001,6.050000000000001,17,profit_take,0.6470588235294118,0.5576036866359447,1
XBI,2018-04-20,2018,73.33333333333333,5.035,2.68,19,profit_take,0.6842105263157895,0.5322740814299901,1
XLB,2018-04-20,2018,53.333333333333336,1.91,1.105,19,profit_take,0.6842105263157895,0.5785340314136126,1
XLE,2018-04-20,2018,38.666666666666664,2.795,-0.3550000000000004,21,expiry_loss,0.6666666666666666,-0.12701252236135974,0
XLF,2018-04-20,2018,66.66666666666666,1.045,0.5999999999999999,18,profit_take,0.6666666666666666,0.5741626794258372,1
XLP,2018-04-20,2018,62.66666666666667,1.46,0.5,21,expiry_win,0.6666666666666666,0.3424657534246575,1
XLU,2018-04-20,2018,28.000000000000004,1.35,0.9300000000000002,20,profit_take,0.7,0.688888888888889,1
XOP,2018-04-20,2018,54.666666666666664,2.175,-0.020000000000000462,21,expiry_loss,0.6666666666666666,-0.009195402298850788,0
DIA,2018-04-27,2018,30.0,6.825,2.6399999999999997,21,expiry_win,0.7142857142857143,0.38681318681318677,1
EEM,2018-04-27,2018,28.749999999999996,1.52,0.8450000000000001,17,profit_take,0.6470588235294118,0.555921052631579,1
EFA,2018-04-27,2018,18.75,1.15,0.8499999999999999,21,profit_take,0.7142857142857143,0.7391304347826086,1
FXI,2018-04-27,2018,27.500000000000004,1.93,1.0899999999999999,20,profit_take,0.7,0.5647668393782382,1
GDX,2018-04-27,2018,21.25,0.8899999999999999,0.4899999999999999,14,profit_take,0.7142857142857143,0.5505617977528089,1
GLD,2018-04-27,2018,23.75,2.285,-0.685,21,expiry_loss,0.6666666666666666,-0.29978118161925604,0
IWM,2018-04-27,2018,26.25,4.015000000000001,-3.1099999999999994,21,expiry_loss,0.7142857142857143,-0.7745952677459524,0
QQQ,2018-04-27,2018,48.75,6.025,0.8250000000000002,21,expiry_win,0.7142857142857143,0.13692946058091288,1
SLV,2018-04-27,2018,17.56756756756757,0.49,0.2500000000000001,17,profit_take,0.6470588235294118,0.5102040816326533,1
SPY,2018-04-27,2018,30.0,6.765,2.2199999999999998,21,expiry_win,0.7142857142857143,0.32815964523281593,1
TLT,2018-04-27,2018,36.25,2.025,1.05,17,profit_take,0.6470588235294118,0.5185185185185186,1
TQQQ,2018-04-27,2018,48.75,15.95,2.9499999999999993,21,expiry_win,0.6190476190476191,0.1849529780564263,1
UNG,2018-04-27,2018,12.82051282051282,0.92,0.16000000000000003,21,expiry_win,0.6666666666666666,0.1739130434782609,1
UPRO,2018-04-27,2018,30.0,10.0,4.4,21,expiry_win,0.6666666666666666,0.44000000000000006,1
XBI,2018-04-27,2018,37.5,4.6499999999999995,0.07499999999999929,21,expiry_win,0.6666666666666666,0.016129032258064366,1
XLB,2018-04-27,2018,47.5,1.82,-0.07999999999999985,21,expiry_loss,0.6190476190476191,-0.04395604395604387,0
XLE,2018-04-27,2018,45.0,2.63,-1.4699999999999998,21,expiry_loss,0.6666666666666666,-0.5589353612167299,0
XLF,2018-04-27,2018,1.2987012987012987,0.8899999999999999,0.455,17,profit_take,0.6470588235294118,0.5112359550561798,1
XLP,2018-04-27,2018,40.0,1.21,-0.2650000000000001,21,expiry_loss,0.6190476190476191,-0.21900826446281002,0
XLU,2018-04-27,2018,21.25,1.31,-1.3249999999999997,21,expiry_loss,0.6190476190476191,-1.0114503816793892,0
XOP,2018-04-27,2018,40.0,2.115,-2.035,21,expiry_loss,0.6190476190476191,-0.9621749408983451,0
DIA,2018-05-04,2018,25.882352941176475,6.375,1.6500000000000004,21,expiry_win,0.6666666666666666,0.2588235294117648,1
EEM,2018-05-04,2018,38.82352941176471,1.53,0.92,18,profit_take,0.6666666666666666,0.6013071895424836,1
EFA,2018-05-04,2018,20.0,1.1400000000000001,0.5950000000000001,19,profit_take,0.6842105263157895,0.5219298245614036,1
FXI,2018-05-04,2018,25.882352941176475,1.8599999999999999,1.0749999999999997,20,profit_take,0.7,0.5779569892473118,1
GDX,2018-05-04,2018,12.941176470588237,0.845,0.45,17,profit_take,0.6470588235294118,0.5325443786982249,1
GLD,2018-05-04,2018,3.5294117647058822,2.26,0.5699999999999998,21,expiry_win,0.7142857142857143,0.2522123893805309,1
IWM,2018-05-04,2018,24.705882352941178,3.93,-1.8299999999999996,21,expiry_loss,0.6666666666666666,-0.46564885496183195,0
QQQ,2018-05-04,2018,27.058823529411764,5.135,1.0499999999999998,21,expiry_win,0.7142857142857143,0.20447906523855888,1
SLV,2018-05-04,2018,37.17948717948718,0.51,0.27,17,profit_take,0.6470588235294118,0.5294117647058824,1
SPY,2018-05-04,2018,25.882352941176475,6.37,0.8700000000000001,21,expiry_win,0.7142857142857143,0.13657770800627944,1
TLT,2018-05-04,2018,4.705882352941177,1.92,1.455,20,profit_take,0.7,0.7578125000000001,1
TQQQ,2018-05-04,2018,27.058823529411764,14.350000000000001,2.700000000000001,21,expiry_win,0.7142857142857143,0.18815331010452968,1
UNG,2018-05-04,2018,13.253012048192772,0.895,-1.01,19,stop_loss,0.6842105263157895,-1.1284916201117319,0
UPRO,2018-05-04,2018,25.882352941176475,9.6,0.049999999999998934,21,expiry_win,0.6190476190476191,0.005208333333333223,1
XBI,2018-05-04,2018,78.82352941176471,5.045,0.10000000000000053,21,expiry_win,0.7142857142857143,0.01982160555004966,1
XLB,2018-05-04,2018,48.23529411764706,1.8399999999999999,0.8449999999999999,21,expiry_win,0.6190476190476191,0.4592391304347826,1
XLE,2018-05-04,2018,37.64705882352941,2.545,2.035,21,profit_take,0.7142857142857143,0.7996070726915522,1
XLF,2018-05-04,2018,37.80487804878049,0.845,0.52,21,profit_take,0.7142857142857143,0.6153846153846154,1
XLP,2018-05-04,2018,50.588235294117645,1.275,0.71,17,profit_take,0.6470588235294118,0.5568627450980392,1
