strategy,cell,n,cell_z,rest_z,t
EQ in-play down mover (short),VIXlo|SPY>200,19,0.5285311435245033,-0.15449371887639324,3.526029944725398
EQ in-play down mover (short),VIXhi|SPY<200,15,-0.8132059479669923,0.17678390173195488,-2.6265921167932165
OPT GLD Bull Put Spread,VIXlo|SPY>200,24,0.2913410692651018,-0.12486045825647217,2.116717668063184
OPT GLD Bull Put Spread,VIXmid|SPY>200,33,-0.28746231785755816,0.20183524445317913,-2.036862972013107
EQ boring stock violent move,VIXhi|SPY>200,10,-0.4827100144935869,0.08939074342473824,-2.0328934316645615
EQ boring stock violent move,VIXhi|SPY<200,10,0.6854064597561811,-0.1269271221770706,2.029356924384436
EQ boring stock violent move,VIXlo|SPY>200,16,-0.4329220712823756,0.14430735709412515,-1.9923105759559017
EQ earnings drift good+muted,VIXhi|SPY>200,10,-0.48151621054539434,0.10245025756284978,-1.7775973156273368
OPT SPY 1-day iron fly (all days),VIXhi|SPY<200,21,-0.26800092534075487,0.004437795510271374,-1.7709289947338027
OPT XOP Bull Put Spread,VIXlo|SPY>200,22,-0.3411567484925315,0.11202161890799543,-1.6328067656268233
EQ Kell wedge pop,VIXhi|SPY>200,17,-0.2558380427496406,0.06795698010537334,-1.4169048964857867
OPT ETF 7-DTE long straddle,VIXmid|SPY>200,36,0.15679315605923128,-0.09567040030732755,1.2718932970868135
OPT QQQ bull put Bullish_LowIV,VIXmid|SPY>200,23,0.18789343079586143,-0.16621341955018515,1.2621697362961906
OPT ASHR Bull Put Spread,VIXhi|SPY<200,12,-0.263024258479599,0.05537352810096819,-1.249080387074637
EQ counter-trend long,VIXhi|SPY>200,17,-0.3130380851572042,0.07942757384585782,-1.2486277346963068
OPT XOP Bull Put Spread,VIXmid|SPY>200,32,0.15476598936429337,-0.08688616946767344,1.177078359004781
EQ boring stock violent move,VIXmid|SPY>200,27,0.1615056032115623,-0.11785544018141042,1.1547162935906896
OPT ASHR Bear Call Spread,VIXlo|SPY>200,12,0.33978805099478815,-0.11326268366492936,1.1489386504262107
OPT BJ Bull Put Spread,VIXlo|SPY>200,11,0.4240325887569639,-0.13718701400960598,1.1276050878883686
OPT GLD Bull Put Spread,VIXhi|SPY<200,7,0.2746176737414353,-0.026333201591644446,1.0811538120080963
OPT TLT Bear Call Spread,VIXhi|SPY>200,12,0.22487338699573609,-0.1499155913304907,1.0714696108713229
EQ Kell wedge pop,VIXmid|SPY>200,31,-0.14680716319565862,0.09102044118130834,-1.0587506337057049
EQ all breakouts,VIXhi|SPY>200,17,-0.1601131652366977,0.04062572849289344,-1.0259513140373768
EQ bouncy ball (short),VIXlo|SPY>200,18,0.2085393150488478,-0.060543672110955814,1.020986827689484
OPT SQQQ Bear Call Spread,VIXhi|SPY>200,14,-0.23587843473245945,0.07505222923305527,-1.004088927917521
OPT SQQQ Bear Call Spread,VIXmid|SPY>200,22,0.16927331765192072,-0.10344480523172933,0.9615277313361257
OPT UVXY combined,VIXhi|SPY<200,15,0.2363916965784067,-0.04857363628323427,0.9299200998942401
EQ Kell wedge pop,VIXhi|SPY<200,14,0.2307326272553666,-0.04821278778470348,0.9201041709738466
OPT BJ Bull Put Spread,VIXhi|SPY>200,7,-0.23261113310604525,0.042849419256376683,-0.9170630224858425
OPT ASHR Bear Call Spread,VIXhi|SPY>200,10,-0.2125688679618633,0.055939175779437716,-0.9014406880654711
EQ bouncy ball (short),VIXmid|SPY>200,31,-0.12186827347688275,0.07710033628129313,-0.8957100541247894
OPT USO Bull Put Spread,VIXhi|SPY>200,13,0.13512514277642246,-0.03659639283528108,0.8896249825678222
OPT ETF 7-DTE long straddle,VIXlo|SPY>200,22,-0.14937869444366736,0.045018236681653195,-0.869724696332686
OPT TMF Bear Call Spread,VIXlo|SPY>200,11,-0.21170760147918896,0.1455489760169424,-0.8551422274840115
EQ Kell wedge pop,VIXlo|SPY>200,18,0.19024795775577935,-0.0543565593587941,0.8490142218415919
OPT BJ Bull Put Spread,VIXmid|SPY>200,16,-0.16076181277188026,0.08869617256379593,-0.8271701122245865
EQ reclaim,VIXmid|SPY>200,32,-0.10784734724610513,0.06636759830529546,-0.7770527347622331
