entry,month,year,n,ex,n_deep,ex_deep,ex_10d
2010-01-29,2,2010,28,-3.764203508112954,,,
2010-02-26,3,2010,30,-2.956988440634651,,,
2010-03-31,4,2010,32,-0.26155271055068363,,,
2010-04-30,5,2010,33,-0.4052336981412681,,,
2010-05-28,6,2010,36,0.8661257962259216,,,
2010-06-30,7,2010,37,1.076251831432025,,,
2010-07-30,8,2010,34,0.051704562100069414,,,
2010-08-31,9,2010,31,0.0781620246705333,,,
2010-09-30,10,2010,30,-0.7612915263920149,,,
2010-10-29,11,2010,31,-0.5283439502404889,,,
2010-11-30,12,2010,32,1.9866009350393705,,,
2010-12-31,1,2011,31,2.6964422640520374,0.0,,2.463579205105173
2011-01-31,2,2011,32,-3.9257422857237807,,,
2011-02-28,3,2011,33,0.5203813357062248,,,
2011-03-31,4,2011,35,-0.2610352193492439,,,
2011-04-29,5,2011,34,0.8861970408569976,,,
2011-05-31,6,2011,34,-2.486115144729375,,,
2011-06-30,7,2011,34,-0.6356438942775052,,,
2011-07-29,8,2011,34,-0.5674979300363713,,,
2011-08-31,9,2011,38,-1.0990850720947218,,,
2011-09-30,10,2011,38,3.223982400692831,,,
2011-10-31,11,2011,36,-2.0025126031536935,,,
2011-11-30,12,2011,36,-0.4689775225021863,,,
2011-12-30,1,2012,33,3.635783974108934,18.0,6.062548758264496,1.3551247822438859
2012-01-31,2,2012,33,1.9257630405064103,,,
2012-02-29,3,2012,34,-0.9845795128982642,,,
2012-03-30,4,2012,35,-4.889254636777707,,,
2012-04-30,5,2012,35,0.3499983068166619,,,
2012-05-31,6,2012,35,2.125693186677164,,,
2012-06-29,7,2012,36,-1.154760685228147,,,
2012-07-31,8,2012,34,0.7113461354108249,,,
2012-08-31,9,2012,32,0.9203279456400786,,,
2012-09-28,10,2012,32,-2.2378133327103416,,,
2012-10-31,11,2012,33,1.2186467586692875,,,
2012-11-30,12,2012,33,0.4900933934858077,,,
2012-12-31,1,2013,34,-0.21952155105205945,4.0,19.55547449807476,-0.34395596093102465
2013-01-31,2,2013,34,-3.1639225883741395,,,
2013-02-28,3,2013,36,-2.820576370577646,,,
2013-03-28,4,2013,38,-2.2827179788992806,,,
2013-04-30,5,2013,38,-1.2586256524281334,,,
2013-05-31,6,2013,38,-1.292467899520886,,,
2013-06-28,7,2013,38,1.0148951037076843,,,
2013-07-31,8,2013,38,2.6732403275588386,,,
2013-08-30,9,2013,36,-2.6934176279135635,,,
2013-09-30,10,2013,36,-1.3666157651523951,,,
2013-10-31,11,2013,38,-4.438834801315866,,,
2013-11-29,12,2013,39,-0.6746729449595148,,,
2013-12-31,1,2014,39,0.980277153300743,3.0,3.7934928659355074,-0.1743424002081629
2014-01-31,2,2014,41,-1.1598515177897417,,,
2014-02-28,3,2014,43,0.5427085444050085,,,
2014-03-31,4,2014,46,1.3729093831238541,,,
2014-04-30,5,2014,44,-2.01658592057863,,,
2014-05-30,6,2014,44,1.5391817567268131,,,
2014-06-30,7,2014,42,2.433683383294994,,,
2014-07-31,8,2014,41,1.4862579603970887,,,
2014-08-29,9,2014,41,-0.030893971663938657,,,
2014-09-30,10,2014,42,-0.31045479467354464,,,
2014-10-31,11,2014,45,-3.840702298840073,,,
2014-11-28,12,2014,46,-2.3025908849908907,,,
2014-12-31,1,2015,45,-3.5233139868107144,5.0,-12.916391654559668,-3.0431928884164448
2015-01-30,2,2015,46,2.8886204221167002,,,
2015-02-27,3,2015,47,-4.273995749620491,,,
2015-03-31,4,2015,48,7.077104858907001,,,
2015-04-30,5,2015,46,-10.145354701418263,,,
2015-05-29,6,2015,46,-1.92370967364882,,,
2015-06-30,7,2015,46,-12.285694107495653,,,
2015-07-31,8,2015,46,2.977518280879017,,,
2015-08-31,9,2015,49,-2.9481090646575474,,,
2015-09-30,10,2015,48,4.660772257782229,,,
2015-10-30,11,2015,50,-1.8033237552116055,,,
2015-11-30,12,2015,49,-4.121348312923588,,,
2015-12-31,1,2016,47,4.267530076886967,26.0,1.792377278655234,0.9427750730631356
2016-01-29,2,2016,48,3.1836482106843533,,,
2016-02-29,3,2016,51,5.504021596823204,,,
2016-03-31,4,2016,51,-4.309353085009199,,,
2016-04-29,5,2016,48,3.2766344649670356,,,
2016-05-31,6,2016,48,-1.8561744934494115,,,
