,trades,months,first,gross,net,month_net,t,t_nw,win_gross,win_net,h1,h2,yrs_pos,credit_med,cost_med,k,tier_was
TLT Bear Call Spread,143,53,2018-02-09,10.959923942704783,2.3201363349953614,3.937533092650346,0.8812086339005071,0.8438265958303546,85.3146853146853,81.81818181818183,4.829202275140725,0.10819662460405277,5/8,0.42999999999999994,0.09299999999999999,60,C
TMF Bear Call Spread,148,62,2019-08-30,9.630766521116199,-1.6625235877497022,-4.321592345987506,-1.2279255892284027,-1.0123787785409524,87.83783783783784,76.35135135135135,-2.8179018930384387,-1.3687833406423962,4/8,0.2875,0.086,60,P
GLD Bull Put Spread,343,91,2018-01-12,7.507723749892939,3.5477750261384084,3.3055378340336796,1.3326112727597783,1.1461287667594393,88.62973760932945,88.0466472303207,-1.474126121754828,8.257580622467657,6/9,0.42499999999999993,0.04600000000000001,72,C
USO Bull Put Spread,270,68,2020-07-10,8.372513214341899,1.5763656318193195,1.2734398693697988,0.6863434041449689,0.7897026444763544,92.96296296296296,89.25925925925927,0.9923753323454977,2.2052782620218974,5/7,0.42,0.11099999999999996,72,C
SOXX Bull Put Spread,100,92,2018-01-26,13.382828157006685,2.9505409290009883,2.0282889394110786,0.5363358246120541,0.6151261888022097,91.0,87.0,0.8864792102800709,4.572303707995995,6/9,1.6875,0.3634999999999996,84,C
INDA Bull Put Spread,68,38,2019-05-10,12.632421967015453,1.3489652922569275,0.4923523701689365,0.17242308945346904,0.1714370962701232,92.64705882352942,60.29411764705882,0.7081125300524365,4.339611515877884,4/7,0.21749999999999997,0.12599999999999997,72,A
ASHR Bull Put Spread,284,86,2018-06-29,6.040466373003304,-5.0991574175047,-3.695209175479388,-1.3034760528669127,-1.1530431637162906,87.32394366197182,61.267605633802816,-3.671746318579806,-6.44835420963919,3/8,0.1425,0.06849999999999999,72,C
SQQQ Bear Call Spread,271,87,2018-01-26,10.037939619339355,-2.2860686788248668,-4.5857054992013655,-1.0723801082405302,-1.1541086016717905,82.65682656826569,77.85977859778598,-5.428035165278286,-0.7751776908035524,5/9,0.30999999999999994,0.06099999999999997,48,C
BJ Bull Put Spread,212,78,2019-01-04,8.99768972973073,4.80991334309616,3.72446699818636,1.4416874261195316,1.2931283523657584,94.81132075471697,88.20754716981132,3.5014433741765676,5.602925445471671,6/8,0.5875,0.15100000000000008,72,B
ASHR Bear Call Spread,232,82,2018-07-27,8.186949328218668,1.1812835437718625,-0.47983625999732826,-0.16399479976214248,-0.1501438169700503,90.08620689655173,74.56896551724138,-0.25649096508342323,2.4120185233519864,6/8,0.1225,0.05600000000000001,60,C
GEV Bull Put Spread,76,23,2024-04-26,13.537424429886844,5.868078733233736,8.054827181332103,2.976716838871451,2.695934649173926,96.05263157894737,89.47368421052632,2.354984374100351,8.159227228320725,3/3,3.8000000000000003,0.6760000000000004,60,P
CLS Bull Put Spread,82,24,2024-02-23,11.432563221139791,3.1507546065107297,4.518226943501377,1.029021757591449,1.1167503819649565,91.46341463414635,86.58536585365853,2.162934798870497,3.850460303589229,3/3,1.4500000000000002,0.276,60,P
XOP Bull Put Spread,374,96,2018-01-05,3.7897596159663753,-3.086505583078597,-2.2721987956821375,-0.7013567548234544,-0.6821650373933235,79.94652406417111,78.07486631016043,-7.467339016488221,1.0661594423409428,3/9,1.1475,0.11600000000000008,72,P
