time,sym,ac,und,side,qty,px,oc,before,after,realized,comm,cash,close,mult
09:36:33,ORCL,STK,ORCL,SELL,-40,153.45,C,40.0,0.0,-52.534483,-1.1343628,6136.8656372,150.52,1
09:38:59,CRWV,STK,CRWV,BUY,50,109.945,O,0.0,50.0,120.307578,-1.00015,-5498.25015,105.26,1
09:41:29,CRWV,STK,CRWV,SELL,-50,108.71,C,50.0,0.0,-184.1796,-1.1218713,5434.3781287,105.26,1
09:45:39,AAOI  260814C00137000,OPT,AAOI,SELL,-1,5.95,C,1.0,0.0,468.698873,-0.260847,594.739153,13.28,100
09:58:36,COHR  260814C00340000,OPT,COHR,SELL,-1,5.76,C,1.0,0.0,322.692244,-1.0624556,574.9375444,0.0,100
09:59:05,GLW   260814C00162500,OPT,GLW,SELL,-1,3.06,C,1.0,0.0,180.377806,-0.8548936,305.1451064,3.49,100
10:00:18,NET,STK,NET,BUY,30,325.27,O,0.0,30.0,375.025204,-1.00009,-9759.10009,315.78,1
10:03:22,CRCL,STK,CRCL,SELL,-150,72.415,C,150.0,0.0,1162.666087,-1.25346235,10860.99653765,71.6,1
10:08:18,PANW,STK,PANW,SELL,-15,386.49,C,30.0,15.0,79.327559,-1.12239541,5796.22760459,384.27,1
10:08:18,PANW,STK,PANW,SELL,-15,386.49,C,15.0,0.0,271.12756,-0.12239541,5797.22760459,384.27,1
10:10:01,NET,STK,NET,SELL,-30,323.245,C,30.0,0.0,-437.980999,-1.20570541,9696.14429459,315.78,1
10:14:02,AAOI,STK,AAOI,SELL,-40,148.78,O,0.0,-40.0,30.91984,-1.13051472,5950.06948528,150.28,1
10:14:02,AAOI,STK,AAOI,SELL,-10,148.78,O,-40.0,-50.0,7.72996,-0.03262868,1487.76737132,150.28,1
10:18:33,HOOD  260918C00110000,OPT,HOOD,BUY,1,3.19,O,0.0,1.0,0.0,-1.0473,-320.0473,2.39,100
10:25:46,AAOI,STK,AAOI,BUY,50,148.035,C,-50.0,0.0,-3.563094,-1.00015,-7402.75015,150.28,1
10:30:32,RDDT  260821C00152500,OPT,RDDT,SELL,-1,26.63,C,1.0,0.0,2074.562912,-0.7476178,2662.2523822,25.9297,100
10:30:32,RDDT  260821P00152500,OPT,RDDT,SELL,-1,0.24,C,1.0,0.0,-452.382724,-0.6932544,23.3067456,0.2282,100
10:38:08,FCX,STK,FCX,BUY,50,67.32,O,0.0,50.0,0.0,-1.00015,-3367.00015,66.49,1
10:55:56,AAOI,STK,AAOI,SELL,-50,149.26,O,0.0,-50.0,38.6498,-1.1636378,7461.8363622,150.28,1
11:01:11,AMZN,STK,AMZN,SELL,-10,263.58,C,10.0,0.0,-101.009798,-1.05627748,2634.74372252,262.65,1
11:11:00,AAOI,STK,AAOI,SELL,-50,147.465,O,-50.0,-100.0,3.563094,-1.16178895,7372.08821105,150.28,1
11:15:07,AAOI,STK,AAOI,BUY,100,148.46,C,-100.0,0.0,-55.288621,-1.0003,-14847.0003,150.28,1
11:16:02,AEHR,STK,AEHR,SELL,-25,133.3106,C,50.0,25.0,282.19132,-1.073604959,3331.691395041,134.06,1
11:16:02,AEHR,STK,AEHR,SELL,-25,133.31,C,25.0,0.0,282.18382,-0.07360465,3332.67639535,134.06,1
11:22:54,SOXL,STK,SOXL,SELL,-6,140.59,C,10.0,4.0,-34.004592,-1.018564924,842.521435076,144.95,1
