Date,1 buy&hold QQQ,2 buy&hold TQQQ,3 MA200 gate,4 MA200 + rising,5 MA200 long/short,6 MA200 + low vol,7 vol-targeted 25%,8 Malik 50/250 long-only
2010,25.9,78.1,29.6,29.6,-13.7,59.5,40.1,52.5
2011,1.9,-12.0,-35.5,-28.0,-64.5,-14.9,-35.1,-30.9
2012,15.9,44.1,16.4,7.7,-8.7,3.5,16.4,22.0
2013,32.4,119.3,119.2,119.5,119.1,119.2,119.2,73.0
2014,20.1,60.8,54.6,54.6,48.5,11.7,54.6,7.1
2015,9.8,18.2,5.4,5.4,-15.6,-11.8,5.4,-27.9
2016,9.4,18.6,-3.7,-6.7,-32.2,-15.5,-3.7,-13.2
2017,31.5,112.9,112.9,112.9,112.9,112.9,112.9,73.6
2018,-1.8,-23.7,-17.6,-17.6,-25.6,-15.4,-16.5,10.0
2019,38.4,130.5,57.9,32.7,0.8,35.5,57.6,-2.1
2020,46.0,100.1,95.6,95.6,3.5,30.9,92.8,81.8
2021,29.2,91.3,91.3,91.3,91.3,13.5,85.7,20.3
2022,-33.2,-79.7,-46.4,-46.4,-42.9,0.0,-43.3,-15.6
2023,55.9,204.9,112.5,102.6,43.7,33.8,114.3,49.0
2024,27.7,66.7,66.7,66.7,66.7,34.5,62.4,28.8
2025,21.0,35.2,34.5,24.5,-1.8,5.0,34.0,38.5
2026,13.1,27.1,13.8,13.8,-1.2,-4.5,16.3,28.8
