Date,"A1 QQQ, MA200 gate","A2 TQQQ, MA200 gate",B TQQQ voltgt 25%,D TQQQ voltgt + low-vol gate,"E 50% TQQQ, MA200 gate",buy&hold QQQ
2010,10.0,29.6,40.1,59.5,16.7,25.9
2011,-11.8,-35.5,-35.1,-14.9,-17.4,1.9
2012,7.4,16.4,16.4,3.5,10.3,15.9
2013,32.4,119.2,119.2,119.2,50.4,32.4
2014,18.4,54.6,54.6,11.7,27.0,20.1
2015,4.0,5.4,5.4,-11.8,5.1,9.8
2016,-0.5,-3.7,-3.7,-15.5,-0.7,9.4
2017,31.5,112.9,112.9,112.9,47.6,31.5
2018,-2.2,-17.6,-16.5,-15.4,-5.9,-1.8
2019,20.3,57.9,57.6,35.5,28.3,38.4
2020,34.2,95.6,92.8,30.9,51.0,46.0
2021,29.2,91.3,85.7,13.5,43.5,29.2
2022,-18.7,-46.4,-43.3,0.0,-26.3,-33.2
2023,37.1,112.5,114.3,33.8,50.4,55.9
2024,27.7,66.7,62.4,34.5,33.9,27.7
2025,16.0,34.5,34.0,5.0,18.7,21.0
2026,8.4,13.8,16.3,-4.5,9.3,13.1
