horizon,dropped,names,adr_med,excess_raw,d_raw,d_adj,t_adj,h1,h2,agree,dates
20d,— full TT —,66,2.8333919579987707,0.5747698968526052,0.0,0.0,,0.0,0.0,True,82
20d,c1 close>150sma,66,2.8333919579987707,0.5747698968526052,0.0,0.0,,0.0,0.0,True,82
20d,c2 close>200sma,66,2.8333919579987707,0.5747698968526052,0.0,0.0,,0.0,0.0,True,82
20d,c3 150>200,70,2.848561783115906,0.5131826394950547,-0.06158725735755038,-0.053100468260677616,-1.0313004186814567,-0.060457506423863154,-0.04734278621992374,True,82
20d,c4 200 rising,66,2.8374616410289573,0.551954649540381,-0.022815247312224167,-0.02768756312779439,-1.1443259761341436,-0.04529134035762269,-0.013910693991407035,True,82
20d,c5 50>150,69,2.862551640488933,0.5560788842326558,-0.018691012619949293,-0.006113071299301744,-0.13083753951804786,-0.01372096338015853,-0.00015906880123990193,True,82
20d,c6 close>50sma,77,2.903954016987621,0.6014393909860796,0.026669494133474306,0.03825664812029812,0.28962055170611106,0.0911498325577853,-0.003138017961213586,False,82
20d,c7 >=30% off low,67,2.80698804846781,0.4822134588596779,-0.0925564379929272,-0.06743529411338645,-1.7936554651699554,-0.12113531561239581,-0.02540919033155304,True,82
20d,c8 within 25% hi,67,2.8752902067434913,0.5148731641626759,-0.05989673268992928,-0.0822807243964806,-1.3918977464964417,-0.0309540261912751,-0.12244944473098925,True,82
20d,c9 RS>=70,98,2.4909766885777387,0.442311523474881,-0.13245837337772426,-0.09002998679227499,-0.9514001614265201,-0.03226038699953203,-0.13524097793442164,True,82
20d,c10 ADDV>=$200M,166,2.896317599508871,0.3555785482005993,-0.219191348652006,-0.258991750741055,-1.4627384935611814,-0.11002581485681537,-0.3755737875200251,True,82
5d,— full TT —,66,2.8333919579987707,0.11498385674524726,0.0,0.0,,0.0,0.0,True,334
5d,c1 close>150sma,66,2.8333919579987707,0.11498385674524726,0.0,0.0,,0.0,0.0,True,334
5d,c2 close>200sma,66,2.8333919579987707,0.11498385674524726,0.0,0.0,,0.0,0.0,True,334
5d,c3 150>200,70,2.848561783115906,0.1049452599324647,-0.010038596812782578,-0.016890686060834374,-1.2441976525793672,-0.003813485018603413,-0.027423134467820385,True,334
5d,c4 200 rising,66,2.8374616410289573,0.11702293885992765,0.0020390821146803843,0.0009293997384956313,0.22027191039616056,0.007243184455904439,-0.004155756601471463,False,334
5d,c5 50>150,69,2.862551640488933,0.13234494663808494,0.01736108989283772,0.019844244056757953,1.3805387378435758,0.024759418030408608,0.015885536369871747,True,334
5d,c6 close>50sma,77,2.903954016987621,0.140839843419295,0.025855986674047742,0.026282331583053486,0.8166469796755064,0.025333670591957475,0.027046388273179463,True,334
5d,c7 >=30% off low,67,2.80698804846781,0.09853288982031216,-0.016450966924935088,-0.0120642942817838,-1.349666798298122,-0.026656072875926046,-0.0003119969275827509,True,334
5d,c8 within 25% hi,67,2.8752902067434913,0.10737301111145134,-0.0076108456337959296,-0.010640700415794985,-0.7926392615413562,0.019403077831805463,-0.03483812181521373,False,334
5d,c9 RS>=70,98,2.4909766885777387,0.08939912204283615,-0.02558473470241108,-0.01938907042393103,-0.7985705641487044,-0.010054193539535067,-0.026907430725417517,True,334
5d,c10 ADDV>=$200M,166,2.896317599508871,0.0573153632812086,-0.057668493464038705,-0.07227707751810143,-1.6966865555733903,-0.04646603935618174,-0.09306542717283676,True,334
