date,sym,t,signal,post,xname
2026-02-02,NUE,09:41,2.266304962134047,0.8051167811033247,0.08842167437536445
2026-02-02,CHRD,09:42,0.18674136321195078,-0.39868936938441957,-0.927449275312627
2026-02-02,GH,09:42,0.5246589716684014,-0.05125291964469166,-0.2739550105815243
2026-02-02,WPM,09:44,-2.5883688280468387,1.132579061654626,-1.214288100028486
2026-02-02,COHR,09:45,1.2197342071727624,-2.276394141456698,0.694253101804417
2026-02-02,NVDA,09:50,-1.4645669246342696,-1.454645862448297,2.5349026361485616
2026-02-02,IOVA,09:57,3.5785288270377746,0.905405469020922,-0.4896917888503068
2026-02-02,ILMN,10:08,-0.54267390231868,-0.46205698335911966,0.7452027416884666
2026-02-02,IREN,10:28,3.611668075618746,1.653971916982962,-0.48003001359558556
2026-02-03,FTNT,09:44,-1.4774597104063814,-1.501002167036484,-1.8800523881059832
2026-02-03,WPM,10:04,-2.6133269415520632,-0.4670926900310235,0.4423881882234674
2026-02-03,DDS,10:15,1.99212065740777,-0.36438670685290014,1.0547281206656378
2026-02-03,DK,10:24,8.096740273396419,5.908957014839245,-0.571725095848391
2026-02-03,CHRD,14:44,0.046227335764559285,-0.37817722059039216,1.4332581352453522
2026-02-04,AMZN,09:41,-1.50070013226844,-0.7308277152858275,-3.4617496939537973
2026-02-04,IREN,09:42,-6.29921954646655,-0.45937386157426,2.178771761411076
2026-02-04,ADM,09:46,-0.43274031882235553,-0.004668243960418798,2.170209982378176
2026-02-04,WPM,09:52,-2.6289764088542444,0.8002028018266069,-1.4936022754921747
2026-02-04,CHEF,10:18,0.4021764845043796,-0.3659633376363473,-1.2948948452578029
2026-02-04,AMZN,11:12,-1.5007115094352486,-0.44809378469180167,-3.4254498686350594
2026-02-05,FLR,09:40,-2.1272236602932204,-0.8617542571798401,-2.2664214659837554
2026-02-05,FTNT,09:40,-1.6094400011160248,-1.6462563521792504,-2.946508183223976
2026-02-05,MU,09:40,-3.578212720024976,0.2287974110408227,-0.7327732069670633
2026-02-05,WPM,09:40,-2.658397873841778,-2.3312157614200246,-1.713085920542338
2026-02-05,AAOI,09:56,-2.2671961060586554,-2.081403090655746,-1.0376708621010293
2026-02-05,LRCX,09:57,1.159598636879955,-0.07163873786500592,-0.09035464931684463
2026-02-05,AXTI,10:03,10.827679782903665,-1.7161181024931322,-2.87582856789033
2026-02-05,SMTC,10:15,3.3283656234476044,0.10355462685369317,1.5845560158539367
2026-02-05,TSM,10:37,0.949647317475355,-0.08220633565402258,0.6677497798922016
2026-02-05,ASML,11:17,0.3885298269073578,-0.172932015541812,-0.31010330310083933
2026-02-05,BBY,11:54,1.0451412052479458,0.7013265877919691,-1.7058516359023483
2026-02-05,FTNT,12:26,-1.60933976819575,-1.0101548305747647,-3.1287645668334307
2026-02-06,FTNT,09:40,-1.6573197022863861,0.48815348981496864,-0.26294696555282754
2026-02-06,MU,09:43,3.3062288041272314,0.9924278070423176,2.13234090282246
2026-02-06,GOOGL,09:49,-1.7249601869030906,-0.28400643507306605,-1.954920177243876
2026-02-06,CF,09:56,0.07019438444926251,0.16090099969606383,4.474009931650376
2026-02-06,FTNT,10:15,2.3365063666707986,1.9251241427596932,1.3602962730536665
2026-02-06,WDC,11:07,4.309135218964633,2.101337293447362,0.44495396989893504
2026-02-06,BE,11:33,0.6828100802477755,5.371479555333784,-0.014882538884904614
2026-02-06,GOOGL,12:52,-0.35486160397444344,-0.24406105112344534,0.180999697297927
2026-02-09,ANET,09:40,2.1255133655162517,0.7885432841866787,1.0872464273753064
2026-02-09,DELL,09:46,0.8676065737882599,-0.4634449955489191,2.2690244681361125
2026-02-09,LRCX,09:52,0.9978193352276454,-0.3650209175599069,3.8651183166966177
2026-02-09,MU,10:03,0.19870320016732723,-1.3204343738645725,2.2066718082695447
2026-02-09,OKTA,10:50,0.7307604475907725,0.6423892541697876,2.595917046135543
2026-02-10,DDS,09:42,-1.3816576783799328,-0.5119030229501739,1.0027951260597967
2026-02-10,OKTA,09:56,0.374404356705238,0.07631305707291129,-0.7115743093134711
2026-02-10,LRCX,10:18,0.9761968440759494,0.7961992975705398,-0.5670343230123165
2026-02-10,MU,10:36,-0.738218432848714,-0.6618381032342099,-0.026670103030294417
2026-02-11,BBY,09:51,-1.83107933812503,-0.12149581514837952,-0.7741937705335045
2026-02-11,WDC,10:54,-0.42932508641077005,1.18858442981629,2.2300017600686894
2026-02-11,MU,10:58,3.2351872046528563,3.492765391044106,1.1198197806006727
2026-02-11,NBIS,11:13,-3.175731074063959,0.018389944100631144,-1.7552862526223976
2026-02-11,INTC,11:40,-0.12427506213753547,-0.9159057924112646,0.5641953918661291
2026-02-11,IOVA,11:47,2.970297029702973,2.141117114424803,-0.5489798997306098
2026-02-11,HNGE,13:51,5.38336052202284,6.664949661269897,1.1743742456175488
2026-02-11,COHR,15:01,-0.9542787556736432,0.15135144961116268,-0.0029274548418833923
2026-02-12,COHR,09:40,-5.634914423609283,-1.8046917390570367,-2.327227107380373
2026-02-12,MRVL,10:01,-2.7323151472638973,-1.046458044451537,0.8459105736913552
2026-02-12,OKTA,10:17,-2.454116768685566,-0.09565944467584779,-1.8103813096080337
2026-02-13,TXG,09:41,-3.682875672711783,-3.8603049446345223,2.6066257674806304
2026-02-13,HNGE,09:43,-2.1137393054856624,-2.2243255965179993,1.2834113846104482
2026-02-13,CF,09:46,1.089161772557401,-0.024130631512179573,1.6654655312543065
2026-02-13,FLR,09:51,0.4970727935491137,-0.22604553442333217,1.085601721063445
2026-02-13,FCX,09:52,2.538361083904661,1.1328202719342946,1.8906867679254609
2026-02-13,ASML,09:53,-0.7490619526498876,-0.475701151078541,0.878146470256802
2026-02-13,SMTC,09:54,1.3273563486057016,0.5956075639845682,-1.03494626024776
2026-02-13,COHR,09:55,-0.07820046920280488,-0.8589403463215054,-0.7676863028497868
2026-02-13,AAOI,10:06,1.332725822986669,-1.941698615669285,0.9599939009283095
2026-02-13,NVDA,10:28,-0.9000754174390502,-0.8878307761831553,-1.1613735009437853
2026-02-13,DDS,15:35,0.9230576676366731,0.5425090387684536,0.9348606253389921
2026-02-13,BE,15:45,-0.07507775910764458,-1.5586223180945973,0.6768198611550166
2026-02-17,AAOI,09:40,2.096771195419822,-0.5427934179117097,1.2969233221743999
2026-02-17,MU,09:45,-0.8932553644878216,-0.8088159593923431,0.5540295466254305
2026-02-17,BE,09:46,7.8201513577682125,6.518473507391527,1.0978509478104082
2026-02-17,LRCX,09:46,1.2467755803955205,-0.22603030939574906,0.0377188492363271
2026-02-17,HPE,09:48,-2.1003380567369057,-0.4743457154467519,3.0277851602301973
2026-02-17,COHR,10:08,5.2349635298337915,0.06339062526557286,2.7742644912487235
2026-02-17,NBIS,10:16,1.7675582668543743,1.3646014347231599,0.8548726118413804
2026-02-17,ASML,10:17,1.5302328242091434,-0.08642714461571573,2.809673885286538
2026-02-17,SMTC,10:17,2.2753792298716435,1.9911356995082619,1.1975281632836083
2026-02-17,AXTI,10:18,-1.6115351993214566,-0.9508572327830089,2.532954773426247
2026-02-17,IOVA,10:29,4.208019055180623,2.7909149296432436,1.9830997050330386
2026-02-17,WPM,11:01,2.014770201477023,0.5159767329781036,-0.3578786653848032
2026-02-18,SNDK,09:41,3.2502084569031364,-0.9980771773188087,1.8109876566487326
2026-02-18,HALO,09:43,-1.9754864042349385,1.10067582588201,0.36744565701304355
2026-02-18,HPE,09:48,-1.0569852941176516,-1.7636846831664628,1.202299563481472
2026-02-18,FCX,09:49,-0.09587727708532112,0.4846655257106443,-0.6271552604458811
2026-02-18,CF,09:50,1.9036477719876599,-0.1336888569160403,1.4758589348096078
2026-02-18,NET,09:52,0.5937368642286556,-0.173849870160007,1.9207802468434565
2026-02-18,FTNT,09:58,0.5859618501433905,-0.45230473224983453,1.2713818574788298
2026-02-18,ADM,09:59,-1.1711316059142107,-1.2573434756200652,-0.13930032061088005
2026-02-18,GH,10:15,-1.5039868023095981,-0.8669613599490403,-0.08420460828774863
2026-02-18,HALO,10:47,-1.9756179396526408,-1.0270670903846184,0.18153905809615103
2026-02-18,ANET,12:47,-0.5098584518843374,-1.0809674418966075,-0.8648446727872942
2026-02-19,ANET,09:42,-1.4332411365350795,-0.5814735960540643,-0.3538791126106296
2026-02-19,NUE,09:42,-1.8238101384008054,-1.0638455140533372,1.396666482542493
2026-02-19,BBY,09:44,0.15108022359875406,0.027227729940915157,-1.811426031268426
2026-02-19,FCX,09:47,2.7253324577245275,1.657726882739959,-1.0906250265286466
2026-02-19,TIGO,09:55,-0.9603469640644402,-1.453844240788767,1.513510221573185
2026-02-19,AAPL,10:01,-1.2378348070003597,-0.4086162246433915,0.4154888490170687
2026-02-19,MRVL,10:01,1.0084353396334178,0.910802770015399,1.0511247122225398
2026-02-19,NVDA,10:01,0.5223803939360172,0.20065481693316198,-0.6601909118071162
2026-02-19,RVMD,10:02,3.364114435246468,0.5392712679593256,-0.278524585485503
2026-02-19,WPM,10:07,0.5151431337297785,0.33600711565608216,0.24109366051171902
2026-02-19,SMTC,10:24,-1.5933715742511123,-0.14069777557648155,1.8307479626647138
2026-02-19,TGTX,10:33,1.584567688597982,1.5349382117215333,0.044573531883688546
2026-02-19,GH,15:22,-1.415641680204216,-1.3575471271968638,0.5963906575147856
2026-02-20,GH,09:40,-3.34645045041857,-3.5533461068770382,1.4272132470890728
2026-02-20,ANET,09:41,-2.8395381470317727,-2.8380616456265737,0.41670398229739875
2026-02-20,DELL,09:55,3.0765340525960916,0.7305137015790683,0.1964629429350865
2026-02-20,DK,10:00,-0.47777616910380516,-0.14431013640150794,-1.0852315441344167
2026-02-20,NVDA,10:00,0.9573958831976981,0.09518597876206902,0.5681881476549614
2026-02-20,NUE,10:05,-1.8145443988985654,1.0662599873319634,-1.0982664303503882
2026-02-20,TXG,10:08,-3.886515730646356,-1.5189416577579589,-1.7088212562964111
2026-02-20,WT,10:08,-0.24360535931792215,-0.4656414101151696,0.5333306922289912
2026-02-20,PARR,10:34,-0.081785255286837,0.8401141916428637,0.22328383593271198
2026-02-20,TGTX,10:43,1.4251373626373631,0.9514137012616904,0.7595488257489421
2026-02-20,MRVL,12:39,-0.13820831762784147,0.13491643004986212,0.6922681714023956
2026-02-23,TXG,09:44,0.9345794392523255,1.6714601407084546,-0.39105991853552274
2026-02-23,MRVL,09:49,-0.29472065607381026,0.30376930793562334,-0.23990228535154903
2026-02-23,HNGE,10:01,-4.274921434640211,-3.4773598139013298,0.35223679313929335
2026-02-23,NBIS,10:18,1.873797224754381,1.8006633613574907,-0.2206929551611725
2026-02-23,WT,10:37,0.9047044632086942,0.44100184694088423,-1.2956177270895781
2026-02-24,PARR,09:40,1.3955786093614808,0.5274415381829897,1.4057262532201407
2026-02-24,WDC,09:52,-2.697162584960622,-1.397837530235698,2.484483296779168
2026-02-24,HNGE,09:56,3.349652151507332,3.3860723941021207,3.150441135428727
2026-02-24,DELL,10:11,-1.2612315555189157,-1.1040210299616289,0.6314520253151675
2026-02-24,ADM,11:51,0.6213017751479422,0.6138933059500751,0.31887182800844166
2026-02-25,TGTX,09:43,-1.948480845442535,-1.4273405931444032,1.2956074604151862
2026-02-25,AMD,10:03,-0.9290660382056837,-0.6472342101545384,1.213926605784869
2026-02-25,IREN,10:24,-4.510952071134245,-1.8013834750741733,2.7749071641623844
2026-02-25,CF,10:52,1.1841482027261652,1.2715862673499851,-0.966772280445205
2026-02-25,PTEN,10:56,1.8913971934106044,2.119699050169007,-0.1760863400559698
2026-02-25,INTC,11:12,2.0064161818280635,1.469204945317763,-1.207848359611156
2026-02-25,TXG,11:15,1.1316872427983515,0.19547217685113397,-0.07634238734043342
2026-02-26,CNH,09:43,-2.167695138485337,1.1388461764915148,0.9992935959584762
2026-02-26,CF,09:44,1.1770833333333286,-0.9339263708498358,-1.4820454849437539
2026-02-26,CHRD,09:46,1.4843373493975909,0.581841334244837,1.9791757432412425
2026-02-26,PTEN,09:58,2.4390243902439046,-0.1780885320853002,0.8389422929092061
2026-02-26,DELL,11:15,-1.0105125906609058,0.08469209490564363,0.549838419633005
2026-02-26,INTC,11:28,0.010995052226481228,0.49499227067989854,0.31330431250524704
2026-02-26,SNDK,11:32,3.444938114884155,4.5692171205386005,0.14449979193080034
2026-02-27,COHR,09:40,2.538613861386141,1.0576223427440468,-2.0483138540022963
2026-02-27,OSCR,09:41,2.517850432168367,0.09526701044380396,0.9251966791074095
2026-02-27,NBIS,09:44,-5.215092936081545,-2.9247642795737625,0.5661722579690109
2026-02-27,MU,09:45,0.93034643163179,0.00987791974291774,1.218445298053165
2026-02-27,ASML,09:46,0.8417438207245498,-0.05159740753278482,-0.9105806969146424
2026-02-27,WDC,09:48,-0.5317729916232472,-1.0526751580256954,0.060907969621544954
2026-02-27,CRM,09:49,1.9869109947644015,1.107894384373324,1.224700775188133
2026-02-27,BE,09:53,-7.0670728036814285,-5.680521685838127,0.43897559598878866
2026-02-27,TGTX,09:53,-2.503426536117437,-0.5753806466713937,2.714628852421774
2026-02-27,LRCX,10:00,-0.8774904620601931,-1.0349681111220883,2.1445492333986773
2026-02-27,PARR,10:04,2.8330319469559884,-0.05555331048360627,-1.7046736575118275
2026-02-27,MRVL,10:06,2.6765518974616764,2.235684997816064,-0.39039514198440095
2026-02-27,ZETA,10:11,-2.249134948096887,-0.05049798168348755,1.0140554319901574
2026-02-27,ADM,10:41,2.2441119834098577,0.7355414012163664,-1.0467755153768188
2026-02-27,RVMD,11:02,-0.49237069175643855,-1.5565667128530691,0.010526413493990491
2026-02-27,ANF,11:13,-0.7106598984771617,0.5985312609752214,0.6224980714124769
2026-03-02,ANF,09:40,2.7177334732424008,1.4005540850082543,3.8409402654218994
2026-03-02,INTC,09:41,0.9430822145789497,0.8965041178103261,0.22195386011028737
2026-03-02,AAPL,09:42,0.5968900885830797,-0.006865371679420917,4.86783900609095
2026-03-02,MU,09:45,0.3550929078704135,-0.26870389331217953,3.2645626998252246
2026-03-02,TGTX,09:46,-0.7759784075573539,-0.39383043921456345,0.3214520204668096
2026-03-02,WDC,09:48,-5.149173029885368,0.9390471774750312,1.0634215230548156
2026-03-02,CNH,09:53,2.197346600331662,0.844271055948013,1.8375047998782164
2026-03-02,RVMD,09:55,1.7726589884827337,0.029689997534306418,0.46692113327893764
2026-03-02,LRCX,09:57,0.06064806792582811,0.048512282109869354,1.8643741335336566
2026-03-02,NBIS,09:58,1.2587646076794634,1.8063078912101904,2.112055873037525
2026-03-02,BE,10:01,8.060945435603584,6.0638511137865265,1.2604040848463078
2026-03-02,ANET,10:04,0.03095017022594071,0.2810045790475317,0.7451176274704782
2026-03-02,OSCR,10:04,5.5811494600105815,4.7722990282581605,1.3816254873571188
2026-03-02,MRVL,10:07,0.02474022761009831,-0.03393322868759929,3.0922248871661986
2026-03-02,WDC,11:08,-0.28602535476369706,0.13204510542882408,1.824105594770568
2026-03-02,SNDK,11:13,-0.0294743472239567,-0.45344458605743504,0.3296508430378653
2026-03-03,RVMD,09:40,0.9246231155778828,0.02602881329730744,2.221013547651992
2026-03-03,INTC,09:41,0.8183306055646433,0.10617271086392026,-1.315160202487727
2026-03-03,SNDK,09:43,-2.4576693330168986,-1.8800584797890483,-0.8270704477075341
2026-03-03,ANF,09:45,4.703649019194267,1.7903673558342215,1.346732564120871
2026-03-03,NBIS,09:45,-0.5498911673731288,-1.9832983770805113,0.1991837272915372
2026-03-03,AAPL,09:46,-0.015811583558533737,0.571317052949157,0.6010203814843592
2026-03-03,MRVL,09:46,-0.7044959651594684,-1.0403224638255715,1.5044388107960198
2026-03-03,WDC,09:47,-0.1493726349332758,-0.40827138284438663,3.6437343194081873
2026-03-03,LRCX,09:48,-2.033088401027827,-1.3982531062085728,0.7156969044439928
2026-03-03,CLMT,09:51,4.253731343283573,1.3454729590606673,2.0365541331425576
2026-03-03,NET,09:51,2.045467494729647,-0.37539764943669285,-0.8583485937718441
2026-03-03,FLR,09:56,0.5149330587023604,0.058215232944062535,-2.0537625726061957
2026-03-03,BE,10:01,1.131101997618722,-2.5574825508393144,0.8234429072696114
2026-03-03,WPM,10:32,1.5296880241529642,0.6429390341321284,0.04593141579510851
2026-03-03,NUE,10:35,2.329738769390466,0.941223264433888,3.3353264864930843
2026-03-03,OSCR,10:39,1.5601783060921193,1.1018418341997387,1.1127520337632053
2026-03-03,CNH,10:51,2.244811520542145,2.071758878378612,1.911126866544895
2026-03-03,DINO,10:57,0.2781383274615301,0.9268318733348732,0.9212421340186072
2026-03-03,NBIS,11:04,1.0112763538664415,0.23860985228536155,0.0866765703246027
2026-03-03,PLTR,11:05,3.813619061046092,1.2632618502677568,-0.18395469265610384
2026-03-03,UNH,11:11,0.6438589774823367,1.1192998992510361,0.661786341965879
2026-03-03,HPE,11:43,1.8352941176470683,1.8484743821940761,-0.8735092724286075
2026-03-04,HPE,09:48,-1.1019283746556585,-0.6432840837930313,0.43586439283117934
2026-03-04,TGTX,10:16,2.1328671328671334,1.7325687755719965,-2.042973172982776
2026-03-04,AAPL,10:19,-0.4928532674325359,-0.37251722579861496,-2.898999848058222
2026-03-04,TER,10:21,-0.8511744257821419,-0.25511809255814866,-1.2010059402481124
2026-03-04,WPM,10:27,0.5356676247713521,0.5147858077134767,-1.8288498917635954
2026-03-04,RVMD,10:30,-0.18741369106332062,-0.15412518871469696,4.294999876709944
2026-03-04,ADM,10:46,-0.5327808198904882,-0.31821004668613667,1.154458173806901
2026-03-05,INTC,09:43,1.0998680158381013,1.0714842066591939,1.3738375109087302
2026-03-05,TSM,09:48,-2.274625813984832,0.8906723040839911,-2.159528488688297
2026-03-05,BE,09:51,-1.9779815388389688,0.5546490459257702,-2.142561344622799
2026-03-05,FCX,10:11,-2.6022212218271723,1.0370507536976659,-0.7669493003778319
2026-03-05,ADM,10:14,-0.36701370683842605,-0.21577852275834752,-4.282693118185229
2026-03-05,WPM,10:16,-2.3213126346238844,-0.1570959542822418,-2.0236419485027524
2026-03-05,RVMD,10:33,-0.3300990297089079,0.7892828436103579,-0.08545927018732691
2026-03-05,TER,10:33,-3.286548779299603,1.452031624068521,1.3150937883612583
2026-03-06,COHR,09:40,-5.416374132968649,-4.18061246653099,1.0178822427798995
2026-03-06,LITE,09:41,-5.575365887876227,-4.605643997892687,-4.027291754977157
2026-03-06,SMTC,09:41,-2.9592803030302983,-2.7986240070248005,-1.665304428423653
2026-03-06,SNDK,09:41,-4.462021410728845,-4.625872139361458,-3.205313295068949
2026-03-06,TER,09:41,-3.1082918195576403,-3.211399523689684,-2.3895287856900533
2026-03-06,TSM,09:41,-2.2258221144090484,-2.20828391317676,0.7977944546677515
2026-03-06,DE,09:43,0.260257195345992,1.0011736471432793,-1.3469987249425088
2026-03-06,RVMD,09:43,0.203748981255103,-0.13756013076794416,-4.221032011378274
