config,gap,putD,callD,pt,n,win_net,rocCW_mid,rocCW_net,med_net,sumPnL_net,debit,hold,early%
"USER BuLO (0.25/0.25, 50%PT)",7,0.25,0.25,50%,385,49.4,6.87,2.05,-0.8,17.33,2.19,11.8,20.0
"USER BHI  (0.25P/0.10C, hold)",7,0.25,0.1,hold,374,44.9,7.56,1.93,-7.17,12.43,1.72,12.0,0.0
"USER sym  (0.25/0.25, hold)",7,0.25,0.25,hold,385,48.1,7.03,2.22,-3.39,18.7,2.19,12.0,0.0
"TP-Ravish (0.25/0.25, g3, 25%PT)",3,0.25,0.25,25%,387,54.5,8.37,-5.07,7.37,-14.55,0.74,10.5,53.0
"TP-Ravish (0.25/0.25, g3, 20%PT)",3,0.25,0.25,20%,387,57.4,8.06,-5.38,5.79,-15.43,0.74,9.8,61.0
"TP-Bernich(0.35/0.35, g3, 25%PT)",3,0.35,0.35,25%,392,63.3,10.94,-2.05,13.3,-6.78,0.85,9.7,62.0
"TP-Bernich(0.40/0.40, g3, hold)",3,0.4,0.4,hold,391,44.2,10.7,-2.43,-26.21,-8.22,0.86,12.0,0.0
"TP-Bernich(0.35/0.35, g3, hold)",3,0.35,0.35,hold,392,45.9,8.87,-4.12,-10.53,-13.66,0.85,12.0,0.0
"CTRL tight-strike g7 (0.35, 25%PT)",7,0.35,0.35,25%,383,64.5,8.31,3.58,19.71,33.65,2.45,10.2,57.0
"CTRL low-PT g7 (0.25/0.25, 25%PT)",7,0.25,0.25,25%,385,56.4,5.66,0.84,9.25,7.12,2.19,10.8,43.0
