ticker,sector,industry,name
A,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
AA,Basic Materials,Aluminum,Alcoa Corporation
AADX,Industrials,Aerospace & Defense,"Applied Aerospace & Defense, In"
AAL,Industrials,Airlines,"American Airlines Group, Inc."
AAMI,Financial Services,Asset Management,Acadian Asset Management Inc.
AAOI,Technology,Communication Equipment,"Applied Optoelectronics, Inc."
AAON,Industrials,Building Products & Equipment,"AAON, Inc."
AAP,Consumer Cyclical,Auto Parts,Advance Auto Parts Inc.
AAPL,Technology,Consumer Electronics,Apple Inc.
ABBV,Healthcare,Drug Manufacturers - General,AbbVie Inc.
ABCB,Financial Services,Banks - Regional,Ameris Bancorp
ABCL,Healthcare,Biotechnology,AbCellera Biologics Inc.
ABG,Consumer Cyclical,Auto & Truck Dealerships,Asbury Automotive Group Inc
ABNB,Consumer Cyclical,Travel Services,"Airbnb, Inc."
ABSI,Healthcare,Biotechnology,Absci Corporation
ABT,Healthcare,Medical Devices,Abbott Laboratories
ACA,Industrials,Engineering & Construction,"Arcosa, Inc."
ACAD,Healthcare,Biotechnology,ACADIA Pharmaceuticals Inc.
ACGL,Financial Services,Insurance - Diversified,Arch Capital Group Ltd.
ACHC,Healthcare,Medical Care Facilities,"Acadia Healthcare Company, Inc."
ACI,Consumer Defensive,Grocery Stores,"Albertsons Companies, Inc."
ACIW,Technology,Software - Infrastructure,"ACI Worldwide, Inc."
ACLS,Technology,Semiconductor Equipment & Materials,"Axcelis Technologies, Inc."
ACM,Industrials,Engineering & Construction,AECOM
ACMR,Technology,Semiconductor Equipment & Materials,"ACM Research, Inc."
ACN,Technology,Information Technology Services,Accenture plc
ADBE,Technology,Software - Application,Adobe Inc.
ADC,Real Estate,REIT - Retail,Agree Realty Corporation
ADEA,Technology,Software - Application,Adeia Inc.
ADI,Technology,Semiconductors,"Analog Devices, Inc."
ADM,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
ADP,Technology,Software - Application,"Automatic Data Processing, Inc."
ADPT,Healthcare,Diagnostics & Research,Adaptive Biotechnologies Corpor
